报告期,流动资产*,货币资金,交易性金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收账款融资,预付款项,其他应收款（合计）,应收股利,应收利息,其他应收款,买入返售金融资产,存货,其中：消耗性生物资产,合同资产,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,其他流动资产,其他金融类流动资产,结算备付金,拆出资金,应收保费,应收分保账款,应收分保合同准备金,流动资产差额（特殊报表科目）,流动资产差额（合计平衡项目）,流动资产总计*,非流动资产*,发放贷款及垫款,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,债权投资,其他债权投资,可供出售金融资产,其他权益工具投资,持有至到期投资,其他非流动金融资产,长期应收款,长期股权投资,投资性房地产,固定资产（合计）,固定资产,固定资产清理,在建工程（合计）,在建工程,工程物资,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动性资产,非流动性资产差额（特殊报表科目）,非流动性资产差额（合计平衡项目）,非流动资产合计*,资产差额（特殊报表科目）,资产差额（合计平衡项目）,资产总计*,流动负债*,短期借款,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付款项,预收款项,合同负债,应付手续费及佣金,应付职工薪酬,应交税费,其他应付款（合计）,应付利息,应付股利,其他应付款,划分为持有待售的负债,一年内到期的非流动负债,预提费用,递延收益-流动负债,应付短期债券,其他流动负债,其他金融类流动负债,向中央银行借款,吸收存款及同业存放,拆入资金,卖出回购金融资产款,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,流动负债差额（特殊报表科目）,流动负债差额（合计平衡项目）,流动负债合计*,非流动负债*,长期借款,应付债券,长期应付款（合计）,长期应付款,专项应付款,长期应付职工薪酬,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债差额（特殊报表科目）,非流动负债差额（合计平衡项目）,非流动负债合计*,负债差额（特殊报表科目）,负债差额（合计平衡项目）,负债合计*,所得者权益(或股东权益)*,实收资本（或股本）,其他权益工具,其中：优先股,永续债,资本公积金,减：库存股,其他综合收益,专项储备,盈余公积金,一般风险准备,未分配利润,外币报表折算差额,未确认的投资损失,股东权益差额（特殊报表科目）,股权权益差额（合计平衡项目）,归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,负债及股东权益差额（特殊报表项目）,负债及股东权益差额（合计平衡项目）,负债及股东权益总计,公告日期#
20221231,--,191043409500.0,1981328100.0,575638000.0,61492600600.0,3526083700.0,57966516900.0,18965714600.0,15843284400.0,8678379900.0,--,--,8678379900.0,--,76668898800.0,--,174863000.0,--,403711500.0,--,11907028600.0,0.0,--,--,--,--,--,--,--,387734857000.0,--,--,--,--,--,--,--,20491264200.0,--,2645306600.0,44316100.0,17595207400.0,--,89070834700.0,89070834700.0,--,35397650600.0,35397650600.0,--,--,--,9539963200.0,--,704065200.0,2294776000.0,9483660400.0,25101316500.0,--,--,213217494900.0,--,--,600952351900.0,--,14415402500.0,--,--,220764444200.0,126229468200.0,--,--,22444785300.0,--,9476018400.0,4792441200.0,15014070600.0,--,8319600.0,15005751100.0,--,7232224400.0,--,--,--,1622032600.0,0.0,--,--,--,--,--,--,--,--,--,100.0,295761419300.0,--,59099358400.0,19177888600.0,1050000000.0,1050000000.0,0.0,--,19697374600.0,1807813000.0,19966701700.0,6910284100.0,--,--,128281770600.0,--,--,424043189900.0,--,2442514500.0,--,--,--,88904372100.0,253991000.0,8931300000.0,--,1214302900.0,--,63242753100.0,--,--,--,--,164481251600.0,12427910400.0,176909162000.0,--,--,600952351900.0,20230310
20220930,--,158589590400.0,1872628100.0,--,56187301000.0,2060935500.0,54126365500.0,23678742400.0,12283273500.0,4137737600.0,--,--,--,--,79025040400.0,--,37896000.0,--,117605400.0,--,8955878900.0,0.0,--,--,--,--,--,--,-200.0,344885693500.0,--,--,--,--,--,--,--,16939402200.0,--,2447854400.0,206596500.0,16148787800.0,--,74307767700.0,74307767700.0,--,38870681700.0,38870681700.0,--,--,--,7989903700.0,--,1002941600.0,1809975400.0,7347010300.0,29358395300.0,--,--,197055445300.0,--,--,541941138800.0,--,14104703300.0,--,20427700.0,210020665800.0,119432231200.0,--,--,20919604000.0,--,7434024200.0,2611381800.0,13415971900.0,--,11281100.0,--,--,8295346800.0,--,--,--,1398400500.0,0.0,--,--,--,--,--,--,--,--,--,--,278220526000.0,--,47507184100.0,14150246000.0,1310000000.0,--,--,--,13670695200.0,1714036000.0,16308196300.0,7419759400.0,--,-100.0,102435170100.0,--,100.0,380655696200.0,--,2440471000.0,--,--,--,88382735300.0,253991000.0,7825371500.0,--,1213281100.0,--,50106491500.0,--,--,--,-100.0,149714359300.0,11571083300.0,161285442600.0,--,--,541941138800.0,20221022
20220630,--,154264447500.0,1243421300.0,--,39817148100.0,2362856400.0,37454291700.0,8662324500.0,12117397900.0,3940219400.0,--,--,3940219400.0,--,75505395700.0,--,20129300.0,--,117855500.0,--,7659618000.0,0.0,--,--,--,--,--,--,100.0,303347957300.0,--,--,--,--,--,--,--,16045312000.0,--,2333756000.0,220568200.0,14187663100.0,--,62198685500.0,62198685500.0,--,37463214300.0,37463214300.0,--,--,--,6815918200.0,--,1002941600.0,1666427600.0,6175703600.0,29115145600.0,--,--,177885713700.0,--,--,481233671000.0,--,14937309400.0,--,968715900.0,180222875800.0,107701837000.0,--,--,19517953200.0,--,5041659000.0,1703180400.0,11504994800.0,100.0,6590800.0,11498403900.0,--,8731818900.0,--,--,--,1320644900.0,0.0,--,--,--,--,--,--,--,--,--,--,243949152300.0,--,38872517900.0,13434684300.0,1160000000.0,1160000000.0,0.0,--,10989376900.0,1459589400.0,14374329700.0,6911647100.0,--,--,87594184300.0,--,-100.0,331543336500.0,--,2440471000.0,--,--,--,88237358700.0,438727300.0,6041677900.0,--,1213281100.0,--,42177114000.0,--,--,--,--,139671175400.0,10019159000.0,149690334500.0,--,--,481233671000.0,20220824
20220331,--,100289630900.0,1935152000.0,--,26664688800.0,1786860400.0,24877828400.0,8265768400.0,10100118500.0,4267155900.0,--,--,--,--,61578271700.0,--,23696100.0,--,227220900.0,--,8924856400.0,0.0,--,--,--,--,--,--,--,222276559600.0,--,--,--,--,--,--,--,12063428700.0,--,2080065300.0,511561200.0,12380408000.0,--,56266248400.0,56266248400.0,--,28893882000.0,28893882000.0,--,--,--,5357768600.0,--,653619200.0,1708148800.0,6201003000.0,27208014400.0,--,-200.0,153979092300.0,--,--,376255651900.0,--,15403153700.0,--,1787115400.0,147919492200.0,83593860700.0,--,--,15050335800.0,--,5529734300.0,1981850300.0,7802863800.0,--,6590800.0,--,--,7197313100.0,--,--,--,1449820600.0,0.0,--,--,--,--,--,--,--,--,--,--,204121679200.0,--,33235483200.0,12638046700.0,1010000000.0,--,--,--,10894420700.0,1009284700.0,12919522900.0,6466877500.0,--,--,78538624300.0,--,--,282660303500.0,--,2330851200.0,--,--,--,43295032600.0,443534900.0,3290376800.0,--,1158471200.0,--,35580140300.0,--,--,--,--,85211337100.0,8384011300.0,93595348500.0,--,-100.0,376255651900.0,20220430
20211231,--,89071889700.0,1363972900.0,243105100.0,25217376200.0,1463828000.0,23753548200.0,6486380800.0,6466439300.0,3114909600.0,--,--,3114909600.0,--,40199691900.0,--,77285500.0,--,201655900.0,--,5292231900.0,0.0,--,--,--,--,--,--,-100.0,177734938700.0,--,--,--,--,--,--,--,11306853200.0,--,1714865300.0,619282400.0,10949033600.0,--,41275333300.0,41275333300.0,--,30998159500.0,30998159500.0,--,--,--,4479606400.0,--,527850700.0,1264339100.0,5542554400.0,20575419100.0,--,--,129931922300.0,--,-100.0,307666860900.0,--,12123056900.0,--,--,107190037600.0,58405751300.0,--,--,11537915300.0,--,5122787800.0,2403797500.0,6176214400.0,0.0,6590800.0,6169623600.0,--,3548532800.0,--,--,--,1242490300.0,0.0,--,--,--,--,--,--,--,--,--,--,149344832600.0,--,22119078800.0,15855052000.0,1010000000.0,1010000000.0,0.0,--,9953762700.0,1038576900.0,12099359100.0,3228720400.0,--,-100.0,65699853800.0,--,--,215044686400.0,--,2330851200.0,--,--,--,43163696500.0,443534900.0,4208319800.0,--,1158471200.0,--,34095467500.0,--,--,--,--,84513271300.0,8108903200.0,92622174500.0,--,--,307666860900.0,20220422
20210930,--,80735121590.38,1754005408.73,1679344985.15,20203698266.37,5863666031.21,14340032235.16,--,3282854834.31,2734554426.94,--,--,--,--,34961665056.94,--,77075924.92,--,176775294.63,--,3689743310.86,0.0,--,--,--,--,--,--,--,149294839099.23,--,--,--,--,--,--,--,5246887397.35,--,--,521066919.71,10031478677.96,--,31850222746.77,31850222746.77,--,21495217684.82,21495217684.82,--,--,--,3530624985.15,--,349692478.44,755110152.8,4311764310.21,21438993970.78,--,--,99856957130.14,--,--,249151796229.37,--,8648141083.6,--,--,78226256293.5,45594390099.07,--,--,13196959051.03,--,3538683641.3,2171709495.66,5990382032.37,--,10638731.54,--,--,1572686982.26,--,--,--,1152044044.4,0.0,--,--,--,--,--,--,--,--,--,--,114496862624.12,--,17159358715.27,17528377295.31,1171669290.75,--,--,--,10171233831.28,360049010.39,7944056738.7,--,--,--,54472495682.41,--,--,168969358306.53,--,2329007802.0,--,--,--,41512967187.03,443534934.1,2278562062.2,--,1157782633.55,--,25859863285.73,--,--,--,--,72694648036.41,7487789886.43,80182437922.84,--,--,249151796229.37,20211028
20210630,--,74686697280.12,2214851732.73,1184105581.4,19467134327.39,5485309961.18,13981824366.21,--,3848415008.73,4058611364.67,--,--,4058611364.67,--,24165705805.13,--,77075924.92,--,143447332.7,--,3150312575.08,0.0,--,--,--,--,--,--,--,132996356932.87,--,--,--,--,--,--,--,3522420337.03,--,--,463424807.46,9240532691.61,--,25132132439.37,25132132439.37,0.0,15450275778.57,15450275778.57,0.0,--,--,3395293147.7,--,329506902.78,478944306.35,3890656231.9,12646811292.58,--,--,74787140887.04,--,--,207783497819.91,--,7936400830.37,--,--,59520529903.74,33850033847.32,--,--,10758865173.59,--,3023749746.8,1454565477.15,7444740885.08,0.0,565000646.18,6879740238.9,--,1493766156.37,--,--,--,1057174566.45,0.0,--,--,--,--,--,--,--,--,--,--,92689792739.55,--,8701599250.29,14273326292.78,1150000000.0,1150000000.0,0.0,--,8709869807.16,235972124.69,6400308476.35,--,--,--,39605688511.2,--,--,132295481250.75,--,2329007802.0,--,--,--,41446874263.9,693512300.6,1952271954.99,--,1157782633.55,--,22565878445.75,--,--,--,--,68758302799.59,6729713769.57,75488016569.16,--,--,207783497819.91,20210826
20210331,--,71677310067.0,1774375580.91,727619072.06,21708164201.74,9447306209.1,12260857992.64,--,1983836972.02,3656541108.09,--,--,--,--,17194779915.91,--,75269024.76,--,46920942.02,--,1777499958.73,0.0,--,--,--,--,--,--,--,120622316843.24,--,--,--,--,--,--,--,2182342357.49,--,--,497767224.94,5574560949.21,--,20760089316.68,20760089316.68,--,5602125260.39,5602125260.39,--,--,--,2527779959.26,--,147951887.23,420276294.97,3497853311.61,11262011782.97,--,--,52706588084.12,--,--,173328904927.36,--,6213829887.31,--,--,41191034700.86,23346295000.95,--,--,8125493258.78,--,3098793999.64,1336465854.43,4533862168.27,--,6172824.12,--,--,1473265562.64,--,--,--,904377178.92,0.0,--,--,--,--,--,--,--,--,--,--,66877122610.85,--,7046382303.41,14339029833.92,1150000000.0,--,--,--,7708599437.28,54350808.15,4674614610.02,--,--,--,35110766315.06,--,--,101987888925.91,--,2329474028.0,--,--,--,41380785863.11,710020552.82,890877714.39,--,1157782633.55,--,20595335940.37,--,--,--,--,65644235626.6,5696780374.85,71341016001.45,--,--,173328904927.36,20210430
20201231,--,68424116100.0,3288071500.0,1330347100.0,21170680000.0,9877156300.0,11293523700.0,--,997118600.0,3303956800.0,--,--,3303956800.0,--,13224641000.0,--,75269000.0,--,81548600.0,--,969240500.0,0.0,--,--,--,--,--,--,100.0,112864989300.0,--,--,--,--,--,--,--,1997027000.0,--,--,372156600.0,4813072900.0,--,19621648400.0,19621648443.02,--,5750351800.0,5750351800.0,--,--,--,2517935700.0,--,147951900.0,363551700.0,3167109900.0,5002631600.0,--,100.0,43753437600.0,--,--,156618426900.0,--,6335080200.0,--,--,31271433800.0,15636589500.0,--,--,6875227800.0,--,2657564900.0,1321059100.0,4407776300.0,0.0,6172800.0,4401603500.0,--,1349038700.0,--,--,--,760009000.0,0.0,--,--,--,--,--,--,--,--,--,--,54977189800.0,--,6068163300.0,14382256000.0,1193938600.0,1150000000.0,43938600.0,--,6797704900.0,85518800.0,3918939200.0,--,--,-100.0,32446520700.0,--,--,87423710500.0,--,2329474000.0,--,--,--,41662151600.0,710020600.0,1126993000.0,--,1157782600.0,--,18640918700.0,--,--,--,100.0,64207299400.0,4987417100.0,69194716400.0,--,--,156618426900.0,20210428
20200930,--,66437209386.46,1967213405.45,1155305887.36,15839444465.09,6851381952.07,8988062513.02,--,655033779.17,4922955835.98,--,--,--,--,9346975874.54,--,--,--,--,--,1416333485.15,0.0,--,--,--,--,--,--,--,101740472119.2,--,--,--,--,--,--,--,1488612517.18,--,--,--,2311733016.79,--,17198092089.37,17198092089.37,--,5656172336.78,5656172336.78,--,--,--,2470422536.68,--,147951887.23,342491525.84,2535329791.94,3877580433.51,--,--,36028386135.32,--,--,137768858254.52,--,4361165244.81,--,--,22604131935.88,11510910950.46,--,--,5417110399.38,--,1653018543.8,933795455.63,3635544672.23,--,14380319.72,--,--,1356368401.84,--,--,--,581206979.29,0.0,--,--,--,--,--,--,--,--,--,--,40542341632.86,--,5419429150.29,14761040736.73,729364515.6,--,--,--,6048903332.43,121078988.67,3564969995.83,--,--,--,30644786719.55,--,--,71187128352.41,--,2329474028.0,--,--,--,41267668240.95,709694163.22,893883527.01,--,1097245469.55,--,16477692586.43,--,--,--,--,61356269688.72,5225460213.39,66581729902.11,--,--,137768858254.52,20201028
