报告期,营业总收入*,营业收入,其他类金融业务收入,利息收入,已赚保费,手续费及佣金收入,营业总成本*,营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,资产减值损失,信用减值损失,其他业务成本（金融类）,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,加：其他收益,投资净收益,其中：对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,资产处置收益,汇兑净收益,加：营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加：营业外收入,减：营业外支出,其中:非流动资产处置净损失,加：利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减：所得税,加：未确认的投资损失,加：净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,持续经营净利润,终止经营净利润,减：少数股东损益,归属于母公司所有者净利润,加：其他综合收益,综合收益总额*,减：归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,10767763002.77,10767763002.77,0.0,--,--,--,10566147103.71,10406021404.58,2002092.43,17249704.6,45378477.87,7905973.38,87589450.85,84363043.9,847040.3,-9680487.39,1595689.01,0.0,--,--,--,--,--,--,--,4532590.23,32786957.33,--,--,-37427547.62,-6619.03,--,--,--,193416481.59,394611.77,32513.72,--,--,--,193778579.64,38251885.87,--,--,--,155526693.77,155817397.18,-290703.41,135613.94,155391079.83,112960581.2,268487274.97,135613.94,268351661.03,--,0.37,0.37,20221026
20220630,8645201905.07,8645201905.07,0.0,--,--,--,8454457704.83,8349827473.33,1141758.49,10453254.11,28023482.03,4742970.54,60268766.33,60202169.96,554404.84,-10126219.98,1593149.82,0.0,--,--,--,--,--,--,--,3027116.14,32786957.34,--,--,-13895560.63,-6619.03,--,--,--,204123023.9,347160.71,32513.0,--,--,--,204437671.61,39606057.06,--,--,--,164831614.55,164576594.91,255019.64,-41351.34,164872965.89,52114434.73,216946049.28,-41351.34,216987400.62,--,0.39,0.39,20220825
20220331,3763171822.19,3763171822.19,0.0,--,--,--,3685058223.92,3628023787.67,571052.05,10665245.24,12221837.58,2224545.74,31351755.64,11801106.29,64815.1,816029.01,-1545537.34,0.0,--,--,--,--,--,--,--,1269876.67,30415.05,--,--,-10410000.0,-7723.23,--,--,--,68266658.43,78045.79,--,--,--,--,68344704.22,13661347.09,--,--,--,54683357.13,54828320.4,-144963.27,-234144.31,54917501.44,--,54683357.13,-234144.31,54917501.44,--,0.13,0.13,20220428
20211231,9205693338.55,9205693338.55,0.0,--,--,--,9011929372.7,8849310156.2,3998297.19,13819864.64,75395076.31,8436049.39,60969928.97,53955420.03,4234719.74,-4835554.61,-1195260.67,0.0,--,--,--,--,--,--,--,4401166.46,63990416.95,--,--,9324984.29,3152952.97,--,--,--,268602671.24,606786.79,2557.52,--,--,--,269206900.51,47712787.41,--,--,--,221494113.1,227996765.02,-6502651.92,-2375117.78,223869230.88,-400000.0,221094113.1,-2375117.78,223469230.88,--,0.53,0.53,20220416
20210930,4637219464.25,4637219464.25,0.0,--,--,--,4527958922.68,4426093872.51,3172807.45,6229996.24,49379196.48,6189850.78,36893199.22,31416777.61,3818756.24,-1414771.83,-1336678.52,0.0,--,--,--,--,--,--,--,3673615.36,63663250.27,--,--,129292.15,2878307.2,--,--,--,176853556.2,608129.18,996.06,--,--,--,177460689.32,38546927.24,--,--,--,138913762.08,143515949.64,-4602187.56,-1745723.39,140659485.47,--,138913762.08,-1745723.39,140659485.47,--,0.33,0.33,20211029
20210630,146087664.4,146087664.4,0.0,--,--,--,135189739.08,104636024.61,1853209.66,1580443.44,24326275.03,4306052.37,-1512266.03,1169334.58,2739924.36,517961.55,-155461.97,0.0,--,--,--,--,--,--,--,2411572.2,63656724.79,--,--,--,--,--,--,--,77328721.89,530725.68,--,--,--,--,77859447.57,17586826.15,--,--,--,60272621.42,62202932.72,-1930311.3,-738509.24,61011130.66,--,60272621.42,-738509.24,61011130.66,--,0.15,0.15,20210814
20210331,72311826.26,72311826.26,0.0,--,--,--,67586409.65,50179297.95,947260.55,884977.89,14057231.17,2110062.62,-592420.53,952978.87,1570542.42,-344363.78,13874.29,0.0,--,--,--,--,--,--,--,1531306.35,1433754.38,--,--,58525275.08,--,--,--,--,65885262.93,52767.65,--,--,--,--,65938030.58,16167946.83,--,--,--,49770083.75,50763969.39,-993885.64,-416194.39,50186278.14,--,49770083.75,-416194.39,50186278.14,--,0.12,0.12,20210429
20201231,264781879.18,264781879.18,0.0,--,--,--,223611982.95,183647503.57,3717043.7,5436184.85,30493004.97,11470848.81,-11152602.95,627252.15,11845198.32,-7976705.59,-3472148.34,0.0,--,--,--,--,--,--,--,5861903.34,14241908.06,--,--,23572770.4,427387.08,--,--,--,73825011.18,791510.11,252704.99,--,--,--,74363816.3,16500070.54,--,--,--,57863745.76,75012036.89,-17148291.13,-6511694.43,64375440.19,--,57863745.76,-6511694.43,64375440.19,--,0.15,0.15,20210331
20200930,188689920.49,188689920.49,0.0,--,--,--,152897488.17,124336354.11,2654360.46,7910549.42,18761208.96,7857372.29,-8622357.07,625422.13,9291959.56,-2597258.88,-1595507.57,0.0,--,--,--,--,--,--,--,3671618.35,10335528.67,--,--,1234702.05,327826.69,--,--,--,47169341.63,658667.61,2035.0,--,--,--,47825974.24,9164820.7,--,--,--,38661153.54,38661153.54,--,-3267858.69,41929012.23,--,38661153.54,-3267858.69,41929012.23,--,0.1,0.1,20201030
20200630,107567284.95,107567284.95,0.0,--,--,--,89997167.8,72562304.72,1482735.29,4629896.15,11817133.17,4527081.38,-5021982.91,625422.13,5670757.79,--,-1570271.45,0.0,--,--,--,--,--,--,--,2560076.68,6887853.17,--,--,773321.91,327826.69,--,--,--,26548924.15,609747.11,2035.0,--,--,--,27156636.26,5492213.73,--,--,--,21664422.53,21664422.53,--,-1774749.46,23439171.99,--,21664422.53,-1774749.46,23439171.99,--,0.06,0.06,20200828
