报告期,经营活动产生的现金流量*,销售商品、提供劳务收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入（金融类）,保户储金净增加额,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息和手续费净增加额,收到原保险合同保费取得的现金,收到再保业务现金净额,处置交易性金融资产净增加额,拆入资金净增加额,回购业务资金净增加额,经营活动现金流入差额（特殊报表项目）,经营活动现金流入差额（合计平衡项目）,经营活动现金流入小计*,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出（金融类）,客户贷款及垫款净增加额,存放央行和同业款项净增加额,支付原保险合同赔付款项的现金,支付手续费的现金,支付保单红利的现金,经营活动现金流出差额（特殊报表科目）,经营活动现金流出差额（合计平衡项目）,经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目)）,经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额（特殊报表科目）,投资活动现金流入差额（合计平衡项目）,投资活动现金流入小计*,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出差额（特殊报表科目）,投资活动现金流出差额（合计平衡项目）,投资活动现金流出小计*,投资活动产生的现金流量净额差额（合计平衡项目）,投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,发行债券收到的现金,筹资活动现金流入差额（特殊报表科目）,筹资活动现金流入差额（合计平衡项目）,筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出差额（特殊报表科目）,筹资活动现金流出差额（合计平衡项目）,筹资活动现金流出小计*,筹资活动产生的现金流量净额差额（合计平衡项目）,筹资活动产生的现金流量净额*,汇率变动对现金的影响*,直接法-现金及现金等价物净增加额差值（特殊报表科目）,直接法-现金及现金等价物净增加额差值（合计平衡项目）,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,未确认投资损失,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),公告日期#
20220930,--,1560482541000.0,4956872000.0,47209914000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1612649327000.0,1464134234000.0,76451363000.0,59025008000.0,65531987000.0,0.0,--,--,--,--,--,--,--,1665142592000.0,--,-52493265000.0,--,4520883000.0,1768484000.0,556390000.0,217600000.0,28844476000.0,--,--,35907833000.0,16932212000.0,16052637000.0,--,21980319000.0,--,--,54965168000.0,--,-19057335000.0,--,3786747000.0,3786747000.0,395470324000.0,20620447000.0,--,--,--,419877518000.0,294287908000.0,37539039000.0,7731428000.0,23859376000.0,--,--,355686323000.0,--,64191195000.0,1025014000.0,--,--,-6334391000.0,301558029000.0,295223638000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221029
20220630,--,1018959258000.0,4072843000.0,34090343000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1057122444000.0,984322870000.0,59945532000.0,45025470000.0,36700592000.0,0.0,--,--,--,--,--,--,--,1125994464000.0,--,-68872020000.0,--,3343922000.0,1640671000.0,438280000.0,217600000.0,16480303000.0,1202525000.0,--,23323301000.0,16069694000.0,5669470000.0,--,9294018000.0,--,--,31033182000.0,--,-7709881000.0,--,3676299000.0,3676299000.0,290264610000.0,19833462000.0,27960000000.0,--,--,341734371000.0,197859532000.0,29102821000.0,3231813000.0,16940153000.0,64726000.0,64726000.0,243967232000.0,--,97767139000.0,274540000.0,--,--,21459778000.0,301558029000.0,323017807000.0,--,41172074000.0,1606364000.0,4577768000.0,258922000.0,178278000.0,--,--,-209148000.0,--,27192000.0,8596860000.0,-3609706000.0,-1973766000.0,372307000.0,-41477218000.0,-115612880000.0,32550219000.0,--,--,-1985989000.0,--,--,--,--,323017807000.0,301558029000.0,--,--,--,--,20220830
20220331,--,499832733000.0,536279000.0,15125299000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,515494311000.0,583526196000.0,25778410000.0,14134301000.0,14536106000.0,0.0,--,--,--,--,--,--,--,637975013000.0,--,-122480702000.0,--,91620000.0,280130000.0,16442000.0,--,3336671000.0,--,--,3724863000.0,3668945000.0,7296478000.0,--,3452269000.0,--,--,14417692000.0,--,-10692829000.0,--,92220000.0,92220000.0,129719916000.0,4650000.0,--,--,--,129816786000.0,47668704000.0,4721702000.0,138801000.0,2241262000.0,--,--,54631668000.0,--,75185118000.0,-51130000.0,--,--,-58039543000.0,301558029000.0,243518486000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220430
20211231,--,2020204424000.0,228438000.0,18237429000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,2038670291000.0,1825291250000.0,93169465000.0,74249685000.0,31598570000.0,0.0,--,--,--,--,--,--,--,2024308970000.0,--,14361321000.0,--,5800117000.0,4768125000.0,2796912000.0,3059952000.0,9038667000.0,--,--,25463773000.0,31118089000.0,12244805000.0,343490000.0,14201810000.0,--,--,57908194000.0,--,-32444421000.0,--,32254382000.0,32254382000.0,392944290000.0,16056412000.0,26701560000.0,--,--,467956644000.0,338892813000.0,44853002000.0,12320924000.0,31501698000.0,226163000.0,226163000.0,415473676000.0,--,52482968000.0,-706107000.0,--,--,33693761000.0,267864268000.0,301558029000.0,--,77732492000.0,3418017000.0,8996699000.0,502857000.0,428222000.0,--,--,-332668000.0,--,236593000.0,10068344000.0,-4710415000.0,-3958175000.0,760553000.0,-38689232000.0,-105759362000.0,50429921000.0,--,--,4066787000.0,--,--,--,--,301558029000.0,267864268000.0,--,--,--,--,20220416
20210930,--,1478314602000.0,418643000.0,32830507000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1511563752000.0,1369663902000.0,71745598000.0,59108161000.0,54410852000.0,0.0,--,--,--,--,--,--,--,1554928513000.0,--,-43364761000.0,--,2254786000.0,3318745000.0,1213916000.0,48000.0,13598815000.0,--,--,20386310000.0,17904350000.0,7545648000.0,--,18170824000.0,--,--,43620822000.0,--,-23234512000.0,--,9977493000.0,9977493000.0,308501441000.0,11558454000.0,--,--,--,330037388000.0,209857092000.0,31985087000.0,8090641000.0,34208403000.0,--,--,276050582000.0,--,53986806000.0,-40181000.0,--,--,-12652648000.0,267866214000.0,255213566000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211027
20210630,--,959433534000.0,554188000.0,21227976000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,981215698000.0,890810500000.0,53756052000.0,43854021000.0,42540554000.0,0.0,--,--,--,--,--,--,--,1030961127000.0,--,-49745429000.0,--,722515000.0,2873558000.0,1030707000.0,48000.0,12671228000.0,51053000.0,--,17349109000.0,15476448000.0,5622024000.0,--,7953149000.0,--,--,29051621000.0,--,-11702512000.0,--,5983593000.0,5983593000.0,205714315000.0,11555070000.0,15601714000.0,--,--,238854692000.0,130950049000.0,21982960000.0,3679238000.0,20230968000.0,153982000.0,153982000.0,173317959000.0,--,65536733000.0,-626311000.0,--,--,3462481000.0,267864268000.0,271326749000.0,--,40076139000.0,204265000.0,4086747000.0,237247000.0,164795000.0,--,--,-137804000.0,--,142618000.0,4822494000.0,-1787041000.0,-1743218000.0,581237000.0,-22912243000.0,-102691882000.0,22876445000.0,--,--,1901430000.0,--,--,--,--,271326749000.0,267864268000.0,--,--,--,--,20210828
20210331,--,475449232000.0,332444000.0,15163772000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,490945448000.0,472818566000.0,27480732000.0,17578962000.0,18846029000.0,0.0,--,--,--,--,--,--,--,536724289000.0,--,-45778841000.0,--,838463000.0,44333000.0,33691000.0,--,1964967000.0,--,--,2881454000.0,2041271000.0,4199909000.0,284244000.0,3983808000.0,--,--,10509232000.0,--,-7627778000.0,--,409930000.0,409930000.0,83670660000.0,286502000.0,--,--,--,84367092000.0,44412101000.0,4834477000.0,5600000.0,229659000.0,--,--,49476237000.0,--,34890855000.0,-103552000.0,--,--,-18619316000.0,267864268000.0,249244952000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210430
20201231,--,1718954014000.0,195961000.0,16380131000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1735530106000.0,1543707419000.0,78606639000.0,65843217000.0,27099216000.0,0.0,--,--,--,--,--,--,--,1715256491000.0,--,20273615000.0,--,6358245000.0,3944880000.0,3277269000.0,20018000.0,15930043000.0,--,--,29530455000.0,49499349000.0,13207131000.0,2496697000.0,16956675000.0,--,--,82159852000.0,--,-52629397000.0,--,57099738000.0,4709973800.0,271675668000.0,14260156000.0,21637147000.0,--,--,364672709000.0,254873899000.0,40943900000.0,10065197000.0,37519166000.0,517410000.0,517410000.0,333854375000.0,--,30818334000.0,-2328275000.0,--,--,-3865723000.0,271729991000.0,267864268000.0,--,70931264000.0,328450000.0,8226672000.0,479235000.0,351560000.0,--,--,98763000.0,--,-50773000.0,7990843000.0,-6165537000.0,-995618000.0,1123424000.0,-88316821000.0,-44644415000.0,69862826000.0,--,--,-2334865000.0,--,--,--,--,267864268000.0,271729991000.0,--,--,--,--,20210417
20200930,--,1219644889000.0,207048000.0,27401095000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1247253032000.0,1206984325000.0,57189896000.0,50610404000.0,20881449000.0,0.0,--,--,--,--,--,--,--,1335666074000.0,--,-88413042000.0,--,2286853000.0,2862079000.0,518945000.0,--,15076404000.0,--,--,20744281000.0,15128382000.0,5654184000.0,1199210000.0,12656070000.0,--,--,34637846000.0,--,-13893565000.0,--,33686230000.0,6437362000.0,200244847000.0,11152296000.0,--,--,--,245083373000.0,124176159000.0,28106495000.0,3598947000.0,26721114000.0,--,--,179003768000.0,--,66079605000.0,-707835000.0,--,--,-36934837000.0,271727808000.0,234792971000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201029
20200630,--,742121946000.0,159847000.0,22579427000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,764861220000.0,745882283000.0,38837012000.0,33075459000.0,17711672000.0,0.0,--,--,--,--,--,--,--,835506426000.0,--,-70645206000.0,--,1825307000.0,2732233000.0,407802000.0,--,10196002000.0,428856000.0,--,15590200000.0,13315435000.0,4275524000.0,1154210000.0,8908619000.0,--,--,27653788000.0,--,-12063588000.0,--,24088660000.0,6085792000.0,140131048000.0,10954550000.0,13199667000.0,--,--,188373925000.0,77458739000.0,19550808000.0,1235314000.0,26185724000.0,--,--,123195271000.0,--,65178654000.0,388728000.0,--,--,-17141412000.0,271727808000.0,254586396000.0,--,32934800000.0,391531000.0,4214128000.0,202560000.0,131288000.0,--,--,-12763000.0,--,-199572000.0,6756746000.0,-3527067000.0,-1741889000.0,1599785000.0,-32694539000.0,-96547919000.0,12493300000.0,--,--,1920292000.0,--,--,--,--,254586396000.0,271727808000.0,--,--,--,--,20200828
20200331,--,295343325000.0,38287000.0,3208591000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,298590203000.0,348890252000.0,17442418000.0,13793626000.0,9440275000.0,0.0,--,--,--,--,--,--,--,389566571000.0,--,-90976368000.0,--,492946000.0,343071000.0,14722000.0,--,165568000.0,--,--,1016307000.0,952900000.0,5507599000.0,0.0,1660485000.0,--,--,8120984000.0,--,-7104677000.0,--,3740946000.0,--,98953790000.0,40023000.0,--,--,--,102734759000.0,23384896000.0,7845590000.0,--,22043794000.0,--,--,53274280000.0,--,49460479000.0,-456590000.0,--,--,-49077156000.0,271727808000.0,222650652000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200430
20191231,--,1504062812000.0,89985000.0,19369597000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1523522394000.0,1394717262000.0,73848103000.0,59391122000.0,29785984000.0,0.0,--,--,--,--,--,--,--,1557742471000.0,--,-34220077000.0,--,8393599000.0,4957371000.0,2186400000.0,516232000.0,16235302000.0,--,--,32288904000.0,20436792000.0,11280575000.0,--,20384348000.0,--,--,52101715000.0,--,-19812811000.0,--,29815290000.0,29815290000.0,184449477000.0,10533485000.0,15130566000.0,--,--,239928818000.0,161987155000.0,37387427000.0,8009883000.0,14023834000.0,222492000.0,222492000.0,213620908000.0,--,26307910000.0,642592000.0,--,--,-27082386000.0,298810194000.0,271727808000.0,--,63205243000.0,1266669000.0,8261361000.0,447821000.0,338210000.0,--,--,-568141000.0,--,484752000.0,10179757000.0,-4212538000.0,-3083170000.0,107125000.0,-70420830000.0,-125133902000.0,83217173000.0,--,--,-1387681000.0,--,--,--,--,271727808000.0,298810194000.0,--,--,--,--,20200425
20190930,--,1098481470000.0,152252000.0,22213725000.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1120847447000.0,1113885941000.0,48676433000.0,49738733000.0,15221002000.0,0.0,--,--,--,--,--,--,--,1227522109000.0,--,-106674662000.0,--,5108429000.0,3148868000.0,1657463000.0,544354000.0,11012202000.0,--,--,21471316000.0,12673350000.0,8834643000.0,--,18008598000.0,--,--,39516591000.0,--,-18045275000.0,--,9786126000.0,9786126000.0,162217197000.0,9998609000.0,--,--,--,182001932000.0,111551976000.0,27074738000.0,5926301000.0,8726960000.0,--,--,147353674000.0,--,34648258000.0,171736000.0,--,--,-89899943000.0,298810194000.0,208910251000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20191026
