报告期,营业总收入*,营业收入,其他类金融业务收入,利息收入,已赚保费,手续费及佣金收入,营业总成本*,营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,资产减值损失,信用减值损失,其他业务成本（金融类）,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,加：其他收益,投资净收益,其中：对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,资产处置收益,汇兑净收益,加：营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加：营业外收入,减：营业外支出,其中:非流动资产处置净损失,加：利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减：所得税,加：未确认的投资损失,加：净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,持续经营净利润,终止经营净利润,减：少数股东损益,归属于母公司所有者净利润,加：其他综合收益,综合收益总额*,减：归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,956624860.76,956624860.76,0.0,--,--,--,1051234486.77,623216416.18,3120859.59,373198097.56,111044456.34,--,-59345342.91,8071354.22,46027179.59,-3315270.66,0.0,0.0,--,--,--,--,--,--,--,--,4649289.54,--,--,303875.56,--,--,--,--,-92971731.57,47494.87,--,--,--,--,-97703686.44,-4856551.77,--,--,--,-92847134.67,-92847134.67,--,-69657625.09,-23189509.58,-112734419.5,-205581554.17,-168445154.78,-37136399.39,--,-0.0359,-0.0359,20221028
20220630,1222300385.74,1222300385.74,0.0,--,--,--,945416543.65,483244297.86,-1109058.06,425961382.83,114736205.47,--,-77416284.43,18989138.14,40568357.62,-16796301.28,--,0.0,--,--,--,--,--,--,--,--,-87426.69,--,--,-13960947.4,--,--,--,--,246178501.62,--,--,--,--,--,246205176.85,61189479.01,--,--,--,185015697.84,185015697.84,--,35535832.29,149479865.55,-400882898.83,-215867200.99,-72554179.67,-143313021.32,--,0.2294,0.2294,20220826
20220331,1575946294.55,1575946294.55,0.0,--,--,--,971217683.41,426631233.39,6811616.8,393614273.4,114349974.45,--,29810585.36,296724.37,33704367.4,-1429342.99,--,0.0,--,--,--,--,--,--,--,--,7452065.58,--,--,1404584.08,--,--,--,--,612155917.81,--,--,--,--,--,612155917.81,166790056.74,--,--,--,445365861.07,445365861.07,--,158431875.09,286933985.98,627071603.56,1072437464.63,345910594.5,726526870.13,--,0.4396,0.4396,20220427
20211231,787800652.47,787800652.47,0.0,--,--,--,829947848.63,300428115.87,-8317080.54,417669728.43,140628623.73,--,-20461538.86,-5983458.78,5759353.17,6038011.66,-15068839.76,0.0,--,--,--,--,--,--,--,--,110331.4,--,--,28551252.77,--,--,--,--,-22837223.44,--,27591.92,--,--,--,-18257902.84,16105944.05,--,--,--,-34363846.89,-34363846.89,--,82140.58,-34445987.47,-185422205.07,-219786051.96,-9355996.15,-210430055.81,--,-0.0523,-0.0523,20220427
20210930,1567541369.48,1567541369.48,0.0,--,--,--,1009347845.74,399362599.89,11210853.6,519976608.3,119553903.58,--,-40756119.63,-14017721.28,35825010.23,-3247915.07,27267.31,0.0,--,--,--,--,--,--,--,--,4366646.79,--,--,5404692.49,--,--,--,--,565064998.61,--,308347.94,--,--,--,564756650.67,143194858.1,--,--,--,421561792.57,421561792.57,--,119502692.23,302059100.34,-744990954.21,-323429161.64,-177010588.23,-146418573.41,--,0.462,0.462,20211026
20210630,2258949536.86,2258949536.86,0.0,--,--,--,978771266.54,429669548.51,9473808.32,363018161.09,116029987.09,--,60579761.54,23111163.07,28565859.25,-956549.59,--,0.0,--,--,--,--,--,--,--,--,-41698732.08,--,--,--,--,--,--,--,1294213659.1,--,140834.37,--,--,--,1294072824.73,362467198.44,--,--,--,931605626.29,931605626.29,--,344127484.67,587478141.62,194394415.07,1126000041.36,406050785.49,719949255.87,--,0.9004,0.9004,20210827
20210331,1952670677.02,1952670677.02,0.0,--,--,--,1028273976.73,642850491.21,3231353.36,321389546.79,85323338.34,--,-24520752.98,5088989.39,27983650.82,-2320338.58,--,0.0,--,--,--,--,--,--,--,--,46865299.17,--,--,--,--,--,--,-0.01,968941660.88,--,2684.62,--,--,--,968938976.26,266035361.33,--,--,--,702903614.93,702903614.93,--,256665565.92,446238049.01,-151136207.38,551767407.55,228901967.84,322865439.71,--,0.6836,0.6836,20210429
20201231,1724516989.56,1724516989.56,0.0,--,--,--,874047797.77,327398760.58,5901689.92,-15084426.96,321569283.75,--,234262490.48,-35384858.96,-84261061.6,16868001.06,-27208295.4,0.0,--,--,--,--,--,--,--,0.0,8972437.74,--,--,24042958.38,--,--,--,--,873144293.57,771846.45,4725215.69,--,--,--,869190924.33,267562428.3,--,--,--,601628496.03,601628496.03,--,242225378.83,359403117.2,637226627.27,1238855123.3,322807765.83,916047357.47,--,0.5508,0.5508,20210429
20200930,1587168012.57,1587168012.57,0.0,--,--,--,927745554.13,425508971.96,1098640.26,457570808.66,69359456.82,--,-25792323.57,8153723.17,90917010.23,-4738453.3,-4773628.01,0.0,--,--,--,--,--,--,--,--,10060404.11,--,--,-4244939.86,--,--,--,--,655728841.38,0.0,3563.52,--,--,--,655725277.86,162807032.55,--,--,--,492918245.31,492918245.31,--,157053570.38,335864674.93,-231659612.96,261258632.35,126741134.69,134517497.66,--,0.514,0.514,20201030
20200630,1123940651.1,1123940651.1,0.0,--,--,--,805871579.5,519715520.39,2054767.4,345225979.7,55612185.08,--,-116704193.35,36823793.14,89419880.54,-18800599.99,-604431.77,0.0,--,--,--,--,--,--,--,--,56940.46,--,--,--,--,--,--,--,278184995.88,--,--,--,--,--,278276582.42,92152561.11,--,--,--,186124021.31,186124021.31,--,63001881.13,123122140.18,242693237.32,428817258.63,138108197.3,290709061.33,--,0.189,0.189,20200828
20200331,1499568769.76,1499568769.76,0.0,--,--,--,1201782494.3,517726370.79,2233669.3,676253245.3,114584197.97,32679.72,-109047668.78,8282272.22,9077934.84,564664.83,-635572.41,0.0,--,--,--,--,--,--,--,--,3271308.04,--,--,--,19330.43,--,--,--,301006006.35,--,--,--,--,--,301006006.35,75543801.26,--,--,--,225462205.09,225462205.09,--,72705285.84,152756919.25,-1671458615.12,-1445996410.03,-405600825.66,-1040395584.37,--,0.234,0.234,20200428
20191231,1697497095.08,1697497095.08,0.0,--,--,--,1580763815.66,484551690.05,58020.3,845444551.04,190206147.12,6815966.19,53687440.96,791832.43,-51206531.47,18627372.44,-15835644.77,0.0,--,--,--,--,--,--,--,21553288.83,6269271.65,--,--,--,-617515.95,--,--,--,166726041.67,6928033.62,272160.35,--,--,--,173381914.94,89735378.3,--,--,--,83646536.64,83646536.64,--,-37690488.55,121337025.19,241377017.45,325023554.09,2355016.31,322668537.78,--,0.1859,0.1859,20200624
20190930,1445500395.46,1445500395.46,0.0,--,--,--,1082123022.45,478592491.62,1744859.93,587414251.03,86608943.7,3109992.21,-75347516.04,10164996.78,69772867.38,-763034.29,-8808384.94,0.0,--,--,--,--,--,--,--,300000.0,4343716.87,--,--,--,147184.9,--,--,--,358596855.55,42723.62,124625.0,--,--,--,358514954.17,78234589.81,--,--,--,280280364.36,280280364.36,--,98887148.61,181393215.75,-51469059.45,228811304.91,33808891.06,195002413.85,--,0.278,0.278,20191031
20190630,1457487420.2,1457487420.2,0.0,--,--,--,1159834171.3,656785013.66,4277368.12,366006356.55,140877479.28,501186.49,-8613232.8,-47725105.5,-5533128.87,--,--,0.0,--,--,--,--,--,--,--,1500000.0,375597.5,--,--,--,--,--,--,--,276550145.28,-420992.84,-243203.1,--,--,--,276372355.54,76295562.75,--,--,--,200076792.79,200076792.79,--,79154721.53,120922071.26,254644652.41,454721445.2,186548077.57,268173367.63,--,0.185,0.185,20190830
20190331,1199454663.24,1199454663.24,0.0,--,--,--,928784056.83,333873959.68,4331849.7,542129895.88,40553407.94,5236846.38,2658097.25,104721332.63,103377573.69,--,--,0.0,--,--,--,--,--,--,--,13600.0,3725190.91,--,--,--,--,--,--,--,274409397.32,425030.84,469473.47,--,--,--,274364954.69,92545966.45,--,--,--,181818988.24,181818988.24,--,76856506.98,104962481.26,-93255274.11,88563714.13,32567468.73,55996245.4,--,0.161,0.161,20190430
20181231,1438380172.51,1438380172.51,0.0,--,--,--,1227629877.45,876587421.91,5739806.38,585444729.43,-145644539.53,7602070.71,-113213238.57,-135634933.89,-152729527.68,11113627.12,--,0.0,--,--,--,--,--,--,--,1143453.0,-48155.79,--,--,--,--,--,--,--,208573275.06,2808266.36,4875601.1,--,--,--,206505940.32,94513753.26,--,--,--,111992187.06,111992187.06,--,49774668.47,62217518.59,-302394083.46,-190401896.4,-126178314.32,-64223582.08,--,0.0955,0.0955,20190430
