报告期,流动资产*,货币资金,交易性金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收账款融资,预付款项,其他应收款（合计）,应收股利,应收利息,其他应收款,买入返售金融资产,存货,其中：消耗性生物资产,合同资产,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,其他流动资产,其他金融类流动资产,结算备付金,拆出资金,应收保费,应收分保账款,应收分保合同准备金,流动资产差额（特殊报表科目）,流动资产差额（合计平衡项目）,流动资产总计*,非流动资产*,发放贷款及垫款,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,债权投资,其他债权投资,可供出售金融资产,其他权益工具投资,持有至到期投资,其他非流动金融资产,长期应收款,长期股权投资,投资性房地产,固定资产（合计）,固定资产,固定资产清理,在建工程（合计）,在建工程,工程物资,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动性资产,非流动性资产差额（特殊报表科目）,非流动性资产差额（合计平衡项目）,非流动资产合计*,资产差额（特殊报表科目）,资产差额（合计平衡项目）,资产总计*,流动负债*,短期借款,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付款项,预收款项,合同负债,应付手续费及佣金,应付职工薪酬,应交税费,其他应付款（合计）,应付利息,应付股利,其他应付款,划分为持有待售的负债,一年内到期的非流动负债,预提费用,递延收益-流动负债,应付短期债券,其他流动负债,其他金融类流动负债,向中央银行借款,吸收存款及同业存放,拆入资金,卖出回购金融资产款,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,流动负债差额（特殊报表科目）,流动负债差额（合计平衡项目）,流动负债合计*,非流动负债*,长期借款,应付债券,长期应付款（合计）,长期应付款,专项应付款,长期应付职工薪酬,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债差额（特殊报表科目）,非流动负债差额（合计平衡项目）,非流动负债合计*,负债差额（特殊报表科目）,负债差额（合计平衡项目）,负债合计*,所得者权益(或股东权益)*,实收资本（或股本）,其他权益工具,其中：优先股,永续债,资本公积金,减：库存股,其他综合收益,专项储备,盈余公积金,一般风险准备,未分配利润,外币报表折算差额,未确认的投资损失,股东权益差额（特殊报表科目）,股权权益差额（合计平衡项目）,归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,负债及股东权益差额（特殊报表项目）,负债及股东权益差额（合计平衡项目）,负债及股东权益总计,公告日期#
20220930,--,188825485.09,10612990.0,--,197516822.78,--,197516822.78,--,41737650.25,4569519.76,--,--,--,--,10716579.51,--,1798264.04,--,--,--,1901797.48,0.0,--,--,--,--,--,--,--,457679108.91,--,--,--,--,--,--,--,--,--,--,--,5879727.79,--,18512524.94,18512524.94,--,784457.36,784457.36,--,--,--,316725.57,--,8441122.41,86692767.1,1101301.48,68106.42,--,--,138330886.2,--,--,596009995.11,--,62967412.94,--,--,91711735.25,--,--,--,117010955.02,--,2760655.22,5673579.26,166675671.52,--,931102.81,--,--,62636.39,--,--,--,10796852.55,0.0,--,--,--,--,--,--,--,--,--,--,457659498.15,--,--,--,1000000.0,--,--,--,--,467292.83,1272436.0,--,--,--,19871306.99,--,--,477530805.14,--,311573901.0,--,--,--,160991257.64,--,--,--,34545734.18,--,-489929777.42,--,--,--,--,17181115.4,101298074.57,118479189.97,--,--,596009995.11,20221031
20220630,--,160050978.53,4224659.74,--,194983489.94,--,194983489.94,--,42281934.37,4261176.74,--,--,4261176.74,--,10711776.81,--,1797979.04,--,--,--,3082793.59,0.0,--,--,--,--,--,--,--,421394788.76,--,--,--,--,--,--,--,--,--,--,--,5879727.79,--,17447348.42,17447348.42,--,2801651.19,2801651.19,--,--,--,300408.63,--,8441122.41,85241510.41,1105875.34,2328024.57,--,--,140865344.35,--,--,562260133.11,--,43051501.82,--,--,91924253.78,--,--,--,108542622.1,--,4042546.88,4666320.99,165241264.5,0.0,931102.81,164310161.69,--,2732904.0,--,--,--,9989875.82,0.0,--,--,--,--,--,--,--,--,--,--,430191289.89,--,--,--,1000000.0,1000000.0,0.0,--,--,524065.73,1315149.0,--,--,--,17872855.11,--,--,448064145.0,--,311573901.0,--,--,--,160991257.64,--,--,--,34545734.18,--,-488303574.75,--,--,--,--,18807318.07,95388670.04,114195988.11,--,--,562260133.11,20220730
20220331,--,155964954.55,1161472.26,--,175504910.51,--,175504910.51,--,141070779.67,2306041.7,--,--,--,--,10502043.33,--,1798264.04,--,--,--,22238070.11,0.0,--,--,--,--,--,--,--,510546536.17,--,--,--,--,--,--,--,--,--,--,--,5955202.47,--,16973489.92,16973489.92,--,2813651.19,2813651.19,--,--,--,293338.95,--,8461122.41,87230810.42,1045721.47,68106.42,--,--,141055185.38,--,--,651601721.55,--,55079728.16,--,--,94927525.65,--,--,--,97769749.55,--,3284212.37,3199890.35,262155526.79,--,931102.81,--,--,62636.39,--,--,--,6963450.69,0.0,--,--,--,--,--,--,--,--,--,--,523442719.95,--,--,--,1000000.0,--,--,--,--,599762.95,1357862.0,--,--,--,21077256.09,--,--,544519976.04,--,311573901.0,--,--,--,160991257.64,--,--,--,34545734.18,--,-490310594.49,--,--,--,--,16800298.33,90281447.18,107081745.51,--,--,651601721.55,20220430
20211231,--,153004696.71,501820.0,--,196118660.64,--,196118660.64,--,143427841.78,4302200.59,--,--,4302200.59,--,10639681.82,--,1798264.04,--,--,--,6830332.14,0.0,--,--,--,--,--,--,--,516623497.72,--,--,--,--,--,--,--,--,--,--,--,5975202.47,--,16508575.28,16508575.28,--,1285926.42,1285926.42,--,--,--,217790.73,--,8441122.41,89579391.14,1045721.47,1508751.82,--,--,142622102.48,--,--,659245600.2,--,32909875.37,--,--,89561543.09,--,--,--,123843377.54,--,6170834.42,4876642.32,260148989.52,0.0,931102.81,259217886.71,--,2349270.07,--,--,--,9141894.32,0.0,--,--,--,--,--,--,--,--,--,--,529002426.65,--,--,--,1000000.0,1000000.0,0.0,--,--,637611.56,1400575.0,--,--,--,19923894.75,--,--,548926321.4,--,311573901.0,--,--,--,160991257.64,--,--,--,34545734.18,--,-490470498.74,--,--,--,--,16640394.08,93678884.72,110319278.8,--,--,659245600.2,20220430
20210930,--,99437580.79,540065.0,--,237227539.58,--,237227539.58,--,137103654.17,2904126.88,--,--,--,--,12575665.45,--,2991615.46,--,4681180.3,--,4947583.25,0.0,--,--,--,--,--,--,--,502409010.88,--,--,--,--,--,--,--,--,--,--,--,6085924.4,--,12220091.59,12220091.59,--,6727416.93,6727416.93,--,--,--,750364.13,--,11230893.42,50723603.11,1129141.64,1900229.41,--,--,108023805.39,--,--,610432816.27,--,45059097.23,--,--,51214952.54,--,--,--,81947178.41,--,3479764.49,5767397.09,268305848.3,--,931102.81,--,--,--,--,--,--,5000550.7,0.0,--,--,--,--,--,--,--,--,--,--,460774788.76,--,--,--,1000000.0,--,--,--,--,743532.7,1093288.0,--,--,--,20942999.98,--,--,481717788.74,--,311573901.0,--,--,--,151793443.4,--,--,--,34545734.18,--,-479746039.71,--,--,--,--,18167038.87,110547988.66,128715027.53,--,--,610432816.27,20211030
20210630,--,82631395.69,555478.0,--,226174810.32,--,226174810.32,--,156563204.4,2162272.17,--,--,2162272.17,--,12477426.45,--,3008912.26,--,4681180.3,--,4363139.96,0.0,--,--,--,--,--,--,--,492617819.55,--,--,--,--,--,--,--,--,--,--,--,6065924.4,--,11920820.79,11920820.79,0.0,1440128.0,1440128.0,0.0,--,--,1082127.34,--,11230893.42,50408979.99,1129141.64,1900229.41,--,--,103245822.38,--,--,595863641.93,--,48054298.62,--,--,51022610.75,--,--,--,69200283.94,--,3486414.26,4843830.54,264092012.9,0.0,931102.81,263160910.09,--,--,--,--,--,4440979.09,0.0,--,--,--,--,--,--,--,--,--,--,445140430.1,--,--,--,1000000.0,1000000.0,0.0,--,--,873857.12,1136001.0,--,--,--,21738143.82,--,--,466878573.92,--,311573901.0,--,--,--,151793443.4,--,--,--,34545734.18,--,-477643025.54,--,--,--,--,20270053.04,108715014.97,128985068.01,--,--,595863641.93,20210831
20210331,--,78865117.52,590404.0,--,214241028.58,--,214241028.58,--,150369475.21,2363577.84,--,--,--,--,15284262.25,--,2495017.7,--,4998399.23,--,5740678.67,0.0,--,--,--,--,--,--,--,474947961.0,--,--,--,--,--,--,--,--,--,--,--,6299139.15,--,11694819.37,11694819.37,--,3798838.69,3798838.69,--,--,--,1383793.46,--,11230893.42,40295204.75,958566.55,3312229.41,--,--,78973484.8,--,--,553921445.8,--,30041861.12,--,--,53261645.31,--,--,--,60408049.77,--,3367579.4,5283575.71,258606990.78,--,931102.81,--,--,--,--,--,--,3624482.99,0.0,--,--,--,--,--,--,--,--,--,--,414594185.08,--,--,--,1000000.0,--,--,--,--,1005404.81,1178714.0,--,--,--,3184118.81,--,--,417778303.89,--,311573901.0,--,--,--,151793443.4,--,--,--,34545734.18,--,-470387455.1,--,--,--,--,27525623.48,108617518.43,136143141.91,--,--,553921445.8,20210429
20201231,--,67038039.76,657312.0,--,188790738.61,--,188790738.61,--,173330468.15,2335040.81,--,--,2335040.81,--,14930625.94,--,2495017.7,--,25889176.43,--,4234322.19,0.0,--,--,--,--,--,--,--,479700741.59,--,--,--,--,--,--,--,--,--,--,--,6299139.15,--,11595159.6,11595159.6,--,--,--,--,--,--,1543611.64,--,11230893.42,41449400.16,958566.55,3362629.41,--,--,76439399.93,--,--,556140141.52,--,13015277.78,--,--,60692361.58,--,--,--,63291795.29,--,4066620.69,11290234.48,261337193.26,0.0,931102.81,260406090.45,--,--,--,--,--,4567759.71,0.0,--,--,--,--,--,--,--,--,--,--,418261242.79,--,--,--,1000000.0,1000000.0,0.0,--,--,1175981.8,1221427.0,--,--,--,3397408.8,--,--,421658651.59,--,311573901.0,--,--,--,151793443.4,--,--,--,34545734.18,--,-471344548.19,--,--,--,--,26568530.39,107912959.54,134481489.93,--,--,556140141.52,20210331
20200930,--,148679469.36,879660.0,--,97859036.05,--,97859036.05,--,2982621.85,4670812.72,34919.92,--,--,--,17910689.78,--,--,--,9325956.15,--,4600337.45,0.0,--,--,--,--,--,--,--,286908583.36,--,--,--,--,--,--,--,--,--,--,25740057.11,6615997.85,--,11136863.99,11136863.99,--,--,--,--,--,--,1875237.48,--,11230893.42,42506341.37,567212.36,--,--,--,99672603.58,--,--,386581186.94,--,30041680.55,--,--,46459936.56,--,--,--,48941352.24,--,2321979.8,5234339.23,129395883.55,--,931102.81,--,--,--,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,262395171.93,--,--,--,1000000.0,--,--,--,--,1347265.07,1264140.0,--,--,--,3611405.07,--,--,266006577.0,--,311573901.0,--,--,--,151793443.4,--,--,--,34545734.18,--,-482994969.13,--,--,--,--,14918109.45,105656500.49,120574609.94,--,--,386581186.94,20201029
20200630,--,44858962.65,699937.0,--,43743484.73,--,43743484.73,--,2541050.54,2713251.31,34919.92,0.0,2678331.39,--,17818096.26,--,--,--,9325956.15,--,4189960.02,0.0,--,--,--,--,--,--,--,125890698.66,--,--,--,--,--,--,--,--,--,--,34431547.77,6615997.85,--,11281506.68,11281506.68,0.0,--,--,--,--,--,2219529.98,--,11230893.42,44020518.15,567212.36,--,--,--,110367206.21,--,--,236257904.87,--,20027791.66,--,--,14719712.19,--,--,--,43479365.53,--,2378603.16,3466372.15,28785855.6,0.0,931102.81,27854752.79,--,--,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,112857700.29,--,--,--,1000000.0,1000000.0,0.0,--,--,1519960.88,1306853.0,--,--,--,3826813.88,--,--,116684514.17,--,311573901.0,--,--,--,151793443.4,--,--,--,34545734.18,--,-481589248.82,--,--,--,--,16323829.76,103249560.94,119573390.7,--,--,236257904.87,20200828
