报告期,营业收入*,利息净收入,利息收入,减:利息支出,手续费及佣金净收入,手续费及佣金收入,减:手续费及佣金支出,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出*,营业税金及附加,管理费用,其他资产减值损失,其他业务成本,加:营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20190930,9622073000.0,6293666000.0,15718249000.0,9424583000.0,1182997000.0,1287355000.0,104358000.0,1325825000.0,--,--,811039000.0,-13328000.0,4032000.0,17842000.0,--,5143801000.0,83414000.0,2381217000.0,--,--,--,--,4478272000.0,4896000.0,4964000.0,--,--,--,4478204000.0,823399000.0,--,--,--,3654805000.0,64863000.0,3589942000.0,38124000.0,3692929000.0,67772000.0,3625157000.0,--,0.55,0.55,20191029
20190630,6256592000.0,3939595000.0,10318812000.0,6379217000.0,775576000.0,840485000.0,64909000.0,892963000.0,--,--,662821000.0,-24357000.0,1331000.0,8663000.0,--,3200239000.0,54730000.0,1660085000.0,--,--,--,--,3056353000.0,4088000.0,1527000.0,--,--,--,3058914000.0,548880000.0,--,--,--,2510034000.0,40717000.0,2469317000.0,29871000.0,2539905000.0,40689000.0,2499216000.0,--,0.38,0.38,20190821
20190331,2860180000.0,1903988000.0,5115247000.0,3211259000.0,361921000.0,392396000.0,30475000.0,333042000.0,--,--,355551000.0,-99832000.0,180000.0,5330000.0,--,1513849000.0,27549000.0,884547000.0,--,--,--,--,1346331000.0,3715000.0,443000.0,--,--,--,1349603000.0,274782000.0,--,--,--,1074821000.0,27647000.0,1047174000.0,52804000.0,1127625000.0,28137000.0,1099488000.0,--,0.18,0.18,20190430
20181231,11156817000.0,6642683000.0,18992970000.0,12350287000.0,1874319000.0,1987506000.0,113187000.0,2636837000.0,--,--,-36143000.0,7164000.0,16738000.0,15219000.0,--,7371126000.0,91522000.0,3119435000.0,--,--,--,--,3785691000.0,29008000.0,4793000.0,--,--,--,3809906000.0,708450000.0,--,--,--,3101456000.0,42625000.0,3058831000.0,71193000.0,3172649000.0,43173000.0,3129476000.0,--,0.47,0.47,20190329
20180930,8038639000.0,4613354000.0,13854020000.0,9240666000.0,1292395000.0,1352954000.0,60559000.0,1538865000.0,--,--,523541000.0,57837000.0,3331000.0,9316000.0,--,3647938000.0,65896000.0,2126713000.0,--,--,--,--,4390701000.0,4866000.0,916000.0,--,--,--,4394651000.0,918879000.0,--,--,--,3475772000.0,39981000.0,3435791000.0,10096000.0,3485868000.0,39981000.0,3445887000.0,--,0.65,0.65,20181022
20180630,5159466000.0,2821624000.0,8920749000.0,6099125000.0,958576000.0,993991000.0,35415000.0,1205815000.0,--,--,395339000.0,-229455000.0,971000.0,6596000.0,--,2125292000.0,43398000.0,1385361000.0,--,10000.0,--,--,3034174000.0,3243000.0,816000.0,--,--,--,3036601000.0,653836000.0,--,--,--,2382765000.0,16212000.0,2366553000.0,23387000.0,2406152000.0,17988000.0,2388164000.0,--,0.44,0.44,20180830
20180331,2560386000.0,1610658000.0,4635649000.0,3024991000.0,468126000.0,479738000.0,11612000.0,396577000.0,--,--,398091000.0,-315646000.0,621000.0,1959000.0,--,1089122000.0,21099000.0,689642000.0,--,--,--,--,1471264000.0,1696000.0,96000.0,--,--,--,1472864000.0,314077000.0,--,--,--,1158787000.0,3582000.0,1155205000.0,17810000.0,1176597000.0,3900000.0,1172697000.0,--,0.22,0.22,20180830
20171231,10194343000.0,8106042000.0,18466751000.0,10360709000.0,1865133000.0,1935084000.0,69951000.0,458374000.0,--,--,-125275000.0,-217009000.0,82499000.0,24579000.0,--,4701505000.0,79186000.0,2636878000.0,--,28491000.0,--,--,5492838000.0,61389000.0,6967000.0,--,--,--,5547260000.0,1213723000.0,--,--,--,4333537000.0,53513000.0,4280024000.0,-25863000.0,4307674000.0,53513000.0,4254161000.0,--,0.8,0.8,20180830
20170930,7258289000.0,5895634000.0,14636358000.0,8740724000.0,1435968000.0,1482089000.0,46121000.0,49527000.0,--,--,-27803000.0,-107721000.0,--,12684000.0,--,2876844000.0,50073000.0,1726487000.0,--,10707000.0,--,--,4381445000.0,47707000.0,4245000.0,--,--,--,4424907000.0,1011162000.0,--,--,--,3413745000.0,61935000.0,3351810000.0,50000.0,3413795000.0,61935000.0,3351860000.0,--,0.63,0.63,20171101
20170630,4859827000.0,4059594000.0,8536680000.0,4477086000.0,909310000.0,932107000.0,22797000.0,33456000.0,--,--,-7697000.0,-54683000.0,--,20766000.0,--,1870912000.0,35255000.0,1133806000.0,--,7020000.0,--,--,2988915000.0,11225000.0,336000.0,--,18810000.0,--,3007725000.0,682726000.0,--,--,--,2324999000.0,53603000.0,2271396000.0,-4614000.0,2320385000.0,53603000.0,2266782000.0,--,0.43,0.43,20180830
20170331,2442997000.0,2128943000.0,4958307000.0,2829364000.0,376488000.0,388675000.0,12187000.0,-43318000.0,--,--,-13003000.0,-9591000.0,2000000.0,1478000.0,--,1060995000.0,7326000.0,581932000.0,--,1700000.0,--,--,1382002000.0,3021000.0,68000.0,--,--,--,1384955000.0,309534000.0,--,--,--,1075421000.0,23636000.0,1051785000.0,-2033000.0,1073388000.0,23636000.0,1049752000.0,--,0.2,0.2,20170428
20161231,9897296000.0,8299993000.0,15057410000.0,6757417000.0,1214441000.0,1259800000.0,45359000.0,215214000.0,--,--,-44880000.0,174371000.0,--,38157000.0,--,4769695000.0,212439000.0,2210240000.0,--,644000.0,--,--,5127601000.0,139732000.0,10300000.0,--,--,--,5257033000.0,1212447000.0,--,--,--,4044586000.0,45818000.0,3998768000.0,-4484000.0,4040102000.0,45818000.0,3994284000.0,--,0.75,0.75,20180830
