报告期,营业总收入*,营业收入,其他类金融业务收入,利息收入,已赚保费,手续费及佣金收入,营业总成本*,营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,资产减值损失,信用减值损失,其他业务成本（金融类）,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,加：其他收益,投资净收益,其中：对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,资产处置收益,汇兑净收益,加：营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加：营业外收入,减：营业外支出,其中:非流动资产处置净损失,加：利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减：所得税,加：未确认的投资损失,加：净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,持续经营净利润,终止经营净利润,减：少数股东损益,归属于母公司所有者净利润,加：其他综合收益,综合收益总额*,减：归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,1546818300.49,1546818300.49,0.0,--,--,--,1436661480.53,1282119153.33,15012832.07,62049025.47,55166574.91,50915660.87,-28601766.12,589870.21,1466961.15,-3987418.06,-7184295.86,0.0,--,--,--,--,--,--,--,8281286.54,6763234.06,--,--,--,--,--,--,--,114029626.64,1027995.07,438265.92,--,--,--,114619355.79,22890317.73,--,--,--,91729038.06,91729038.06,--,16830103.26,74898934.8,--,91729038.06,16830103.26,74898934.8,--,0.44,0.44,20221027
20220630,1134483822.09,1134483822.09,0.0,--,--,--,1050225621.03,953309790.2,10823933.53,41840184.43,33443523.28,28238881.99,-17430692.4,-1610277.75,1030241.05,-2144697.97,-12206049.22,0.0,--,--,--,--,--,--,--,4395880.58,--,--,--,--,--,--,--,--,74303334.45,45031.11,393678.89,--,--,--,73954686.67,15011344.32,--,--,--,58943342.35,58943342.35,--,10976852.03,47966490.32,--,58943342.35,10976852.03,47966490.32,--,0.28,0.28,20220830
20220331,528230296.08,528230296.08,0.0,--,--,--,483113715.57,436771561.25,7756802.68,17713575.93,14629824.32,5041947.8,1200003.59,1650000.02,592083.1,-1755922.4,-5645055.26,0.0,--,--,--,--,--,--,--,1840715.14,--,--,--,--,--,--,--,--,39556317.99,25694.41,362917.98,--,--,--,39219094.42,6557214.38,--,--,--,32661880.04,32661880.04,--,3842464.29,28819415.75,--,32661880.04,3842464.29,28819415.75,--,0.17,0.17,20220429
20211231,1645903602.38,1645903602.38,0.0,--,--,--,1608344199.22,1416030267.15,16248648.85,53197002.38,66547152.08,58020899.4,-1699770.64,5264277.8,3129397.86,-57619217.75,95032699.42,0.0,--,--,--,--,--,--,--,5595002.14,22098877.75,20549636.12,--,--,-10935.4,--,--,--,102655829.32,628384.53,244398.87,--,--,--,103039814.98,8241797.64,--,--,--,94798017.34,94798017.34,--,1608769.32,93189248.02,-3404927.97,91393089.37,1608769.32,89784320.05,--,0.55,0.55,20220419
20210930,1114331399.08,1114331399.08,0.0,--,--,--,1056986810.78,945009290.24,12209287.75,44731550.73,46102847.2,14756400.07,-5822565.21,3144333.35,2172393.02,-71487479.51,61643471.58,0.0,--,--,--,--,--,--,--,83803.79,22362064.0,20812822.37,--,--,-10935.4,--,--,--,69935512.76,230981.98,107530.46,--,--,--,70058964.28,10508844.64,--,--,--,59550119.64,59550119.64,--,--,59550119.64,-3319927.97,56230191.67,--,56230191.67,--,0.35,0.35,20211027
20210630,752274650.6,752274650.6,0.0,--,--,--,706488348.77,627066873.73,10067899.44,25540181.25,27760578.32,8938993.19,7113822.84,5088111.12,1061496.2,-51065444.11,45098198.13,0.0,--,--,--,--,--,--,--,83803.79,11921986.5,11921986.5,--,--,-10935.4,--,--,--,51813910.74,207812.09,16500.01,--,--,--,52005222.82,7800783.42,--,--,--,44204439.4,44204439.4,--,--,44204439.4,-3231102.97,40973336.43,0.0,40973336.43,--,0.26,0.26,20210824
20210331,271840273.09,271840273.09,0.0,--,--,--,255809243.72,217737741.31,6012765.83,9712569.93,12261790.01,4379436.62,5704940.02,2530000.01,424492.41,--,-1423737.39,0.0,--,--,--,--,--,--,--,83803.79,5833565.49,5833565.49,--,--,--,--,--,--,20524661.26,35255.4,16500.01,--,--,--,20543416.65,3081512.5,--,--,--,17461904.15,17461904.15,--,--,17461904.15,-71895.01,17390009.14,--,17390009.14,--,0.1,0.1,20210420
20201231,1388383103.51,1388383103.51,0.0,--,--,--,1296373990.8,1092532646.06,17536871.13,39728933.98,58951415.03,53293181.85,34330942.75,16239052.08,3152459.72,-35904606.86,-7732057.46,0.0,--,--,--,--,--,--,--,838034.84,19532121.76,13873543.6,--,--,7578.86,--,--,--,68750183.85,3652284.39,398338.12,--,--,--,72004130.12,6655332.02,--,--,--,65348798.1,65348798.1,--,--,65348798.1,3404927.97,68753726.07,--,68753726.07,--,0.38,0.38,20210420
20200930,792166260.95,792166260.95,0.0,--,--,--,730651662.62,622645178.16,11261450.04,29721158.07,38617138.24,10728194.36,17678543.75,12719243.11,2490806.89,-47879775.46,19337004.69,0.0,--,--,--,--,--,--,--,58834.84,15502823.2,15502823.2,--,--,13403.61,--,--,--,48546889.21,3293226.19,173477.06,--,--,--,51666638.34,7749995.75,--,--,--,43916642.59,43916642.59,--,--,43916642.59,--,43916642.59,--,43916642.59,--,0.26,0.26,20201023
20200630,540486209.92,540486209.92,0.0,--,--,--,480232033.12,412658415.94,8563088.13,21621145.3,26535433.37,7059283.28,3794667.1,8609618.11,1798988.93,-28556706.11,3123124.39,0.0,--,--,--,--,--,--,--,58834.84,10200773.89,10200773.89,--,--,12603.52,--,--,--,45092807.33,403589.58,65909.8,--,--,--,45430487.11,6814573.07,--,--,--,38615914.04,38615914.04,--,--,38615914.04,--,38615914.04,--,38615914.04,--,0.23,0.23,20200825
