报告期,资产*,货币资金,其中:客户资金存款,结算备付金,其中:客户备付金,拆出资金,融出资金,金融投资,其中:交易性金融资产,债权投资,其他债权投资,其他权益工具投资,以摊余成本计量的金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,衍生金融资产,买入返售金融资产,持有待售资产,应收款项,合同资产,应收利息,存出保证金,代理业务资产,可供出售金融资产,持有至到期投资,长期股权投资,固定资产,在建工程,无形资产,其中:交易席位费,商誉,递延所得税资产,投资性房地产,其他资产,资产差额(特殊报表科目),资产差额(合计平衡项目),资产总计*,负债*,短期借款,其中:质押借款,应付短期融资款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,代理买卖证券款,代理承销证券款,应付职工薪酬,长期应付职工薪酬,应交税费,应付款项,应付利息,合同负债,持有待售的负债,代理业务负债,长期借款,应付债券,递延所得税负债,预计负债,其他负债,负债差额(特殊报表科目),负债差额(合计平衡项目),负债合计*,所得者权益(或股东权益)*,股本,其他权益工具,其中:优先股,永续债,资本公积金,减:库存股,其他综合收益,盈余公积金,未分配利润,一般风险准备,外币报表折算差额,未确认的投资损失,股东权益差额(特殊报表科目),股东权益差额(合计平衡项目),归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,负债及股东权益差额(特殊报表项目),负债及股东权益差额(合计平衡项目),负债及股东权益总计*,公告日期#
20220930,--,22643523401.68,20317716171.23,10811738205.54,10479041532.29,--,10413404734.04,15165344137.81,13337852803.23,--,1782491334.58,45000000.0,--,--,1620531.69,335471333.0,--,258664045.69,--,--,5369375361.7,--,--,--,--,66783361.16,--,128102114.17,--,--,292538340.06,--,87981774.31,--,--,65736118337.33,--,--,--,2862351003.89,1005069444.45,303195218.15,--,4655253000.0,21725820824.59,--,290692256.55,--,119543933.24,308136450.98,--,--,--,--,--,4128174736.04,12013695.77,8407696.0,23818901.49,13764265433.62,--,49358281714.57,--,2778000000.0,--,--,--,7341149140.21,--,27061359.52,640407869.76,2657519164.08,2924059442.74,--,--,--,--,16368196976.31,9639646.45,16377836622.76,--,--,65736118337.33,20221029
20220630,--,26485212871.01,24572594727.26,4521657887.92,4255419779.92,--,10695205553.18,15787757615.49,14219740401.24,--,1523017214.25,45000000.0,--,--,1732869.92,433723865.44,--,315121967.04,--,--,5169209012.18,--,--,--,--,70491413.98,--,127637339.57,--,--,336942501.58,--,80886545.01,--,--,64202305294.21,--,--,--,1644779983.01,1906618888.9,4476437.22,--,5868730388.9,23190461441.29,--,545876293.11,--,93418324.1,369772302.27,--,--,--,--,--,4143818188.09,12853120.74,8407696.0,27117666.86,10093436534.95,--,48074302350.56,--,2778000000.0,--,--,--,7341149140.21,--,27683296.53,640407869.76,2430107247.92,2904194279.03,--,--,--,--,16121541833.45,6461110.2,16128002943.65,--,--,64202305294.21,20220830
20220331,--,26431310194.42,24542510357.63,4737159316.25,4472046793.37,--,11427717048.79,16829538906.93,15265346219.31,--,1519192687.62,45000000.0,--,--,1362994.57,521293524.32,--,219192493.44,--,--,4393035335.54,--,--,--,--,76790614.14,--,131229339.14,--,--,334977306.0,--,78504038.34,--,--,65357818533.27,--,--,--,784495030.0,2502877777.78,3894068.12,--,4503460000.0,20924197523.01,--,554280346.47,--,113796027.5,281415018.64,--,--,--,--,--,7803671831.92,17663797.38,7758898.0,26104237.96,11721357432.77,--,49408034199.76,--,2778000000.0,--,--,--,7341149140.21,--,28220127.24,599937080.01,2310935992.01,2885035632.64,--,--,--,--,15943277972.11,6506361.4,15949784333.51,--,--,65357818533.27,20220429
20211231,--,18253640403.03,15403882925.77,10416685010.99,10129316663.67,--,11898471299.37,16045468457.93,14475310604.9,--,1525157853.03,45000000.0,--,--,981370.39,510324250.36,--,255499426.63,--,--,4469134831.43,--,--,--,--,83245615.99,--,137303499.33,--,--,331324034.47,--,76473611.11,--,--,62672287069.09,--,--,--,1280565312.72,2503618840.34,2902166.86,--,4899303207.22,20365092781.49,--,585921968.18,--,73512248.29,278397108.21,--,--,--,--,--,7741295667.53,21229575.86,7458898.0,25810404.61,8995183313.38,--,46963297005.97,--,2778000000.0,--,--,--,7341149140.21,--,27393636.79,599937080.01,2090135720.57,2865702969.78,--,--,--,--,15702318547.36,6671515.76,15708990063.12,--,--,62672287069.09,20220330
20210930,--,25400427173.22,22769754009.52,5739716007.4,5337879227.46,--,12007695017.21,14644503700.45,12859694950.91,--,1739808749.54,45000000.0,--,--,317117.09,2233544855.52,--,1478732675.07,--,--,3846505808.5,--,--,--,--,82788917.82,--,123657406.05,--,--,310471038.97,--,76198703.45,--,--,66154089222.98,--,--,--,592428957.59,1200306849.32,9036829.32,--,4395309000.0,20452195628.68,--,722453551.52,--,144694326.75,387227510.58,--,--,--,--,--,10289322407.27,19689927.72,7458898.0,1331999327.33,10710897771.31,--,50459849951.68,--,2778000000.0,--,--,--,7341149140.21,--,30369862.42,518995500.5,2339679679.94,2678658965.8,--,--,--,--,15686853148.87,7386122.43,15694239271.3,--,--,66154089222.98,20211029
20210630,--,24106234073.31,21005445665.39,3919437455.86,3570469602.07,--,11711391848.42,12985087863.68,10738197370.27,--,2201890493.41,45000000.0,--,--,--,770573301.55,--,1707061309.71,--,--,3915580786.76,--,--,--,--,82260334.25,--,120341257.41,--,--,279303519.1,--,65676001.28,--,--,59886297753.03,--,--,--,623897281.88,1803391722.23,8259621.94,641318.7,2697871807.19,19741016201.04,106100013.76,558965905.54,--,122806206.18,377659008.5,--,--,--,--,--,8706835448.36,2095535.4,7158898.0,1328910113.93,8238203563.78,--,44531831598.94,--,2778000000.0,--,--,--,7341149140.21,--,18942393.68,518995500.5,2031103073.16,2659302346.36,--,--,--,--,15347492453.91,6973700.18,15354466154.09,--,--,59886297753.03,20210828
20210331,--,22069384549.96,19505352977.0,4267342940.57,3891380529.45,--,11704914407.78,12633056002.79,10396933941.85,--,2191122060.94,45000000.0,--,--,--,1053810506.15,--,1725982537.52,--,--,3654378543.36,--,--,--,--,84678942.22,--,120607783.88,--,--,284937311.43,--,64248092.53,--,--,57903292173.93,--,--,--,416864894.6,1352838888.89,7485235.05,1119960.18,3042313000.0,19119243835.49,--,559614423.27,--,143680419.97,352125643.35,--,--,--,--,--,8832597174.38,--,7058898.0,1326651243.2,7250705877.41,--,42636228442.67,--,2778000000.0,--,--,--,7341149140.21,--,19374345.0,468580618.69,2013102697.44,2640601819.61,--,--,--,--,15260808620.95,6255110.31,15267063731.26,--,--,57903292173.93,20210429
20201231,--,14606769913.7,12412975283.07,8963979874.33,8713735339.41,--,11678827178.59,11104253307.43,9200366603.51,--,1858886703.92,45000000.0,--,--,--,2327391234.57,--,1710584673.4,--,--,3011303928.8,--,--,--,--,85328719.24,--,122825494.16,--,--,282169323.68,--,66327881.29,--,--,53959761529.19,--,--,--,583116699.38,2503818597.23,11775968.92,1524676.8,1349256662.94,17288491759.36,--,584069685.6,--,102736534.69,367406159.32,--,--,--,--,--,8752775804.51,--,--,1325235208.93,6083224835.52,--,38953432593.2,--,2778000000.0,--,--,--,7341149140.21,--,19905514.58,468580618.69,1768982792.11,2623275044.99,--,--,--,--,14999893110.58,6435825.41,15006328935.99,--,--,53959761529.19,20210330
20200930,--,22983845590.73,21090966582.24,3978054003.92,3668860463.8,--,11166944182.59,10635283199.49,9136254832.42,--,1454028367.07,45000000.0,--,--,--,2545041520.02,--,1874466567.18,--,--,2570048741.01,--,--,--,--,79696096.81,--,112576155.82,--,--,217602684.89,--,47543374.17,--,--,56211102116.63,--,--,--,822071178.27,981456131.28,17785385.68,2203277.86,1842644462.61,17075949682.18,--,679977394.12,--,123768594.53,4401237689.32,--,--,--,--,--,8788430626.42,--,--,1323909884.86,5180281543.12,--,41239715850.25,--,2778000000.0,--,--,--,7341149140.21,--,20497713.79,367750855.07,2055383903.75,2402585701.35,--,--,--,--,14965367314.17,6018952.21,14971386266.38,--,--,56211102116.63,20201030
20200630,--,21988497545.13,19756091382.47,2565631917.95,2332932566.2,--,9041929901.43,11053705242.3,10022601933.75,--,986103308.55,45000000.0,--,--,--,5349432711.06,--,3103056347.63,--,--,3244141707.84,--,--,--,--,75947845.71,--,113559789.28,--,--,204567720.1,--,47287202.79,--,--,56787757931.22,--,--,--,119325883.92,--,9644502.01,1352841.27,3235767685.92,16704443807.82,--,702512442.56,--,105986823.18,445010971.14,--,--,--,--,--,10268066270.25,--,--,2524628984.45,7962967773.92,--,42079707986.44,--,2778000000.0,--,--,--,7341149140.21,--,35393415.04,367750855.07,1794103092.51,2386057244.56,--,--,--,--,14702453747.39,5596197.39,14708049944.78,--,--,56787757931.22,20200822
