报告期,资产*,货币资金,拆出资金,金融投资,其中:交易性金融资产,债权投资,其他债权投资,其他权益工具投资,以摊余成本计量的金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,衍生金融资产,买入返售金融资产,持有待售的资产,应收保费,应收利息,应收代位追偿款,应收分保账款,应收分保未到期责任准备金,应收分保未决赔款准备金,应收分保寿险责任准备金,应收分保长期健康险责任准备金,应收款项,合同资产,保户质押贷款,可供出售金融资产,持有至到期投资,长期股权投资,存出资本保证金,应收款项类投资,固定资产,在建工程,无形资产,商誉,独立账户资产,递延所得税资产,投资性房地产,定期存款,其他资产,资产差额(特殊报表科目),资产差额(合计平衡项目),资产总计*,负债*,短期借款,拆入资金,交易性金融负债,衍生金融负债,卖出回购金融资产款,预收保费,应付手续费及佣金,应付分保账款,应付职工薪酬,应交税费,应付利息,应付款项,合同负债,持有待售的负债,应付赔付款,应付保单红利,存入保证金,保户储金及投资款,未到期责任准备金,未决赔款准备金,寿险责任准备金,长期健康险责任准备金,长期借款,应付债券,独立账户负债,递延所得税负债,预计负债,其他负债,负债差额(特殊报表科目),负债差额(合计平衡项目),负债合计*,所得者权益(或股东权益)*,股本,其他权益工具,其中:优先股,永绩债,资本公积金,减:库存股,其他综合收益,盈余公积金,未分配利润,一般风险准备,外币报表折算差额,未确认的投资损失,股东权益差额(特殊报表科目),股东权益差额(合计平衡项目),归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,负债及股东权益差额(特殊报表项目),负债及股东权益差额(合计平衡项目),负债及股东权益总计*,公告日期#
20220930,--,121213000000.0,--,214014000000.0,214014000000.0,--,--,--,--,--,--,26179000000.0,--,40354000000.0,57614000000.0,--,1496000000.0,1110000000.0,781000000.0,786000000.0,4427000000.0,--,--,--,1613800000000.0,1571231000000.0,268320000000.0,6333000000.0,--,46579000000.0,5938000000.0,8396000000.0,--,7000000.0,11362000000.0,13038000000.0,499754000000.0,5867000000.0,607476000000.0,--,5128085000000.0,--,1429000000.0,--,3609000000.0,--,87816000000.0,3758000000.0,4746000000.0,1564000000.0,9382000000.0,1075000000.0,--,--,--,--,60128000000.0,103795000000.0,--,362701000000.0,24878000000.0,28351000000.0,3568050000000.0,224576000000.0,18183000000.0,34996000000.0,7000000.0,545000000.0,--,101455000000.0,23137000000.0,--,4665971000000.0,--,28265000000.0,--,--,--,54069000000.0,--,12583000000.0,101228000000.0,208918000000.0,48383000000.0,--,--,--,--,453446000000.0,8668000000.0,462114000000.0,--,--,5128085000000.0,20221028
20220630,--,94761000000.0,--,201597000000.0,201597000000.0,--,--,--,--,--,--,44943000000.0,--,50228000000.0,51114000000.0,--,737000000.0,1251000000.0,530000000.0,700000000.0,4342000000.0,--,--,--,1618290000000.0,1565158000000.0,269621000000.0,6333000000.0,--,47028000000.0,5963000000.0,8441000000.0,--,8000000.0,136000000.0,13144000000.0,510832000000.0,5757000000.0,670445000000.0,--,5173524000000.0,--,1433000000.0,--,4188000000.0,--,175450000000.0,3443000000.0,5646000000.0,1443000000.0,10719000000.0,1137000000.0,--,--,--,--,60339000000.0,120084000000.0,--,348367000000.0,30365000000.0,28390000000.0,3488487000000.0,215975000000.0,17532000000.0,34996000000.0,8000000.0,3815000000.0,--,93852000000.0,37767000000.0,--,4685367000000.0,--,28265000000.0,--,--,--,54003000000.0,--,44754000000.0,101228000000.0,203239000000.0,48361000000.0,--,--,--,--,479850000000.0,8307000000.0,488157000000.0,--,--,5173524000000.0,20220826
20220331,--,82882000000.0,--,189408000000.0,189408000000.0,--,--,--,--,--,--,42241000000.0,--,53355000000.0,48768000000.0,--,516000000.0,1016000000.0,521000000.0,688000000.0,4206000000.0,--,--,--,1377687000000.0,1531012000000.0,266818000000.0,6333000000.0,--,47353000000.0,6021000000.0,8335000000.0,--,8000000.0,3861000000.0,13256000000.0,542230000000.0,5921000000.0,681148000000.0,--,4915845000000.0,--,1449000000.0,--,3085000000.0,--,79813000000.0,3062000000.0,6519000000.0,1082000000.0,11932000000.0,1328000000.0,--,--,--,--,59365000000.0,114403000000.0,--,329718000000.0,32783000000.0,26070000000.0,3404564000000.0,204751000000.0,16956000000.0,34995000000.0,8000000.0,316000000.0,--,90665000000.0,17584000000.0,--,4442455000000.0,--,28265000000.0,--,--,--,54215000000.0,--,21733000000.0,96132000000.0,216423000000.0,48340000000.0,--,--,--,--,465108000000.0,8282000000.0,473390000000.0,--,--,4915845000000.0,20220428
20211231,--,60875000000.0,--,206764000000.0,206764000000.0,--,--,--,--,--,--,12915000000.0,--,20361000000.0,50801000000.0,--,485000000.0,823000000.0,412000000.0,636000000.0,4274000000.0,--,--,--,1429287000000.0,1533753000000.0,257953000000.0,6333000000.0,--,46847000000.0,6789000000.0,8409000000.0,--,9000000.0,121000000.0,13374000000.0,529488000000.0,6104000000.0,691754000000.0,--,4891085000000.0,--,1476000000.0,--,3416000000.0,--,239446000000.0,48699000000.0,5352000000.0,808000000.0,13165000000.0,967000000.0,--,--,--,--,56818000000.0,124949000000.0,--,313585000000.0,14062000000.0,26234000000.0,3182083000000.0,197520000000.0,17210000000.0,34994000000.0,9000000.0,7481000000.0,--,95018000000.0,18953000000.0,--,4404427000000.0,--,28265000000.0,--,--,--,54304000000.0,--,50299000000.0,96132000000.0,201265000000.0,48320000000.0,--,--,--,--,478585000000.0,8073000000.0,486658000000.0,--,--,4891085000000.0,20220325
20210930,--,57837000000.0,--,176049000000.0,176049000000.0,--,--,--,--,--,--,15613000000.0,--,39659000000.0,57051000000.0,--,866000000.0,919000000.0,341000000.0,674000000.0,4271000000.0,--,--,--,1322555000000.0,1471596000000.0,251957000000.0,6333000000.0,--,41678000000.0,10769000000.0,8140000000.0,--,9000000.0,115000000.0,13276000000.0,548045000000.0,5767000000.0,696045000000.0,--,4732196000000.0,--,1551000000.0,--,3842000000.0,--,187748000000.0,2747000000.0,5392000000.0,1813000000.0,9665000000.0,1145000000.0,--,--,--,--,57671000000.0,122655000000.0,--,309691000000.0,26178000000.0,25905000000.0,3137038000000.0,194532000000.0,17606000000.0,34994000000.0,9000000.0,8932000000.0,--,87601000000.0,14769000000.0,--,4253801000000.0,--,28265000000.0,--,--,--,54250000000.0,--,45002000000.0,91036000000.0,209191000000.0,43088000000.0,--,--,--,--,470832000000.0,7563000000.0,478395000000.0,--,--,4732196000000.0,20211029
20210630,--,82040000000.0,--,171791000000.0,171791000000.0,--,--,--,--,--,--,9358000000.0,--,50566000000.0,48656000000.0,--,678000000.0,604000000.0,243000000.0,662000000.0,4110000000.0,--,--,--,1339433000000.0,1350933000000.0,253903000000.0,6333000000.0,--,41867000000.0,10661000000.0,8201000000.0,--,9000000.0,120000000.0,13367000000.0,554883000000.0,5653000000.0,695928000000.0,--,4652793000000.0,--,1572000000.0,--,5445000000.0,--,169885000000.0,2891000000.0,6356000000.0,1045000000.0,9988000000.0,1243000000.0,--,--,--,--,57798000000.0,123914000000.0,--,304541000000.0,30892000000.0,24479000000.0,3064772000000.0,185099000000.0,17662000000.0,34993000000.0,9000000.0,14261000000.0,--,80216000000.0,34567000000.0,--,4174130000000.0,--,28265000000.0,--,--,--,54348000000.0,--,53048000000.0,91036000000.0,201681000000.0,43071000000.0,--,--,--,--,471449000000.0,7214000000.0,478663000000.0,--,--,4652793000000.0,20210826
20210331,--,86022000000.0,--,153583000000.0,153583000000.0,--,--,--,--,--,--,7339000000.0,--,54051000000.0,46697000000.0,--,741000000.0,728000000.0,291000000.0,633000000.0,3760000000.0,--,--,--,1294078000000.0,1246052000000.0,248587000000.0,6333000000.0,--,40606000000.0,11406000000.0,8258000000.0,--,9000000.0,161000000.0,14106000000.0,550786000000.0,5623000000.0,687339000000.0,--,4469985000000.0,--,1575000000.0,--,5275000000.0,--,108474000000.0,2987000000.0,6754000000.0,486000000.0,10977000000.0,4756000000.0,--,--,--,--,56987000000.0,124427000000.0,--,296220000000.0,32489000000.0,21404000000.0,2994175000000.0,174767000000.0,17897000000.0,34993000000.0,9000000.0,10320000000.0,--,70848000000.0,16768000000.0,--,3995040000000.0,--,28265000000.0,--,--,--,54387000000.0,--,43599000000.0,86027000000.0,212410000000.0,43059000000.0,--,--,--,--,467747000000.0,7198000000.0,474945000000.0,--,--,4469985000000.0,20210429
20201231,--,57633000000.0,--,161564000000.0,161564000000.0,--,--,--,--,--,--,7947000000.0,--,20730000000.0,45147000000.0,--,1135000000.0,523000000.0,209000000.0,570000000.0,3658000000.0,--,--,--,1215603000000.0,1189369000000.0,239584000000.0,6333000000.0,--,40438000000.0,11332000000.0,8341000000.0,--,10000000.0,87000000.0,14217000000.0,545678000000.0,5751000000.0,673531000000.0,--,4252466000000.0,--,1641000000.0,--,3732000000.0,--,122249000000.0,53021000000.0,7057000000.0,1036000000.0,11814000000.0,1080000000.0,--,--,--,--,55031000000.0,122510000000.0,--,288202000000.0,14701000000.0,21991000000.0,2768584000000.0,167949000000.0,17915000000.0,34992000000.0,10000000.0,15286000000.0,--,68035000000.0,16029000000.0,--,3795529000000.0,--,28265000000.0,--,--,--,53999000000.0,--,54862000000.0,86027000000.0,183856000000.0,43047000000.0,--,--,--,--,450056000000.0,6881000000.0,456937000000.0,--,--,4252466000000.0,20210326
20200930,--,54463000000.0,--,162292000000.0,162292000000.0,--,--,--,--,--,--,25390000000.0,--,40529000000.0,49867000000.0,--,857000000.0,565000000.0,195000000.0,589000000.0,3723000000.0,--,--,--,1079855000000.0,1115462000000.0,226969000000.0,6333000000.0,--,37263000000.0,12647000000.0,8021000000.0,--,10000000.0,137000000.0,14256000000.0,544825000000.0,5382000000.0,666901000000.0,--,4059708000000.0,--,1624000000.0,--,2708000000.0,--,70598000000.0,15923000000.0,5433000000.0,1514000000.0,9752000000.0,1274000000.0,--,--,--,--,55046000000.0,110749000000.0,--,288350000000.0,25642000000.0,22135000000.0,2722499000000.0,159897000000.0,18378000000.0,34991000000.0,10000000.0,7254000000.0,--,63003000000.0,16127000000.0,--,3635628000000.0,--,28265000000.0,--,--,--,53783000000.0,--,25674000000.0,81018000000.0,190780000000.0,37982000000.0,--,--,--,--,417502000000.0,6578000000.0,424080000000.0,--,--,4059708000000.0,20201029
20200630,--,82722000000.0,--,150397000000.0,150397000000.0,--,--,--,--,--,--,61202000000.0,--,48395000000.0,41053000000.0,--,480000000.0,506000000.0,165000000.0,581000000.0,3541000000.0,--,--,--,1052029000000.0,1001314000000.0,227764000000.0,6333000000.0,--,36525000000.0,13915000000.0,8057000000.0,--,10000000.0,128000000.0,13450000000.0,536256000000.0,5031000000.0,672888000000.0,--,3966033000000.0,--,1826000000.0,--,4259000000.0,--,48127000000.0,2888000000.0,7550000000.0,1343000000.0,10549000000.0,1151000000.0,--,--,--,--,54774000000.0,114038000000.0,--,284872000000.0,29456000000.0,22007000000.0,2654557000000.0,152072000000.0,18535000000.0,34991000000.0,10000000.0,10151000000.0,--,50690000000.0,37050000000.0,--,3543856000000.0,--,28265000000.0,7791000000.0,--,--,55185000000.0,--,31428000000.0,81018000000.0,174252000000.0,37967000000.0,--,--,--,--,415906000000.0,6271000000.0,422177000000.0,--,--,3966033000000.0,20200827
