报告期,经营活动产生的现金流量*,收到原保险合同保费取得的现金,收到再保业务现金净额,收到其他与经营活动有关的现金,保户储金净增加额,拆入/拆出资金净增加额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,支付原保险合同赔付款项的现金,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付手续费的现金,支付的各项税费,支付其他与经营活动有关的现金,支付保单红利的现金,投资活动现金流出差额(合计平衡项目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,经营活动产生的现金流量净额差值(合计平衡项目),经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,质押贷款净增加额,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差值(特殊报表科目),间接法-经营活动现金流量净额差值(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20200331,--,102421000000.0,--,1186000000.0,5920000000.0,--,1000000.0,--,109528000000.0,30270000000.0,7229000000.0,--,11284000000.0,1850000000.0,11705000000.0,3296000000.0,--,--,65907000000.0,273000000.0,43621000000.0,-27550000000.0,123468000000.0,16716000000.0,3000000.0,--,318000000.0,--,140505000000.0,166845000000.0,997000000.0,204000000.0,9000000.0,--,--,168055000000.0,--,-27550000000.0,--,--,--,--,2615000000.0,366000000.0,--,2981000000.0,--,728000000.0,257000000.0,--,--,985000000.0,--,1996000000.0,25000000.0,18092000000.0,42546000000.0,60638000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200425
20191231,--,353406000000.0,--,4732000000.0,9006000000.0,--,4000000.0,--,367148000000.0,124698000000.0,23532000000.0,--,47924000000.0,12227000000.0,34180000000.0,8602000000.0,--,--,255353000000.0,4190000000.0,111795000000.0,-96855000000.0,274369000000.0,61689000000.0,61000000.0,--,3000000.0,--,336122000000.0,417465000000.0,8140000000.0,3475000000.0,954000000.0,2943000000.0,--,432977000000.0,--,-96855000000.0,--,229000000.0,--,--,6515000000.0,3215000000.0,--,9959000000.0,6750000000.0,12211000000.0,1542000000.0,--,--,20503000000.0,--,-10544000000.0,29000000.0,4425000000.0,38121000000.0,42546000000.0,--,28354000000.0,2454000000.0,1686000000.0,611000000.0,--,--,--,-15000000.0,--,-801000000.0,--,-67762000000.0,--,--,--,-3839000000.0,13621000000.0,--,137486000000.0,--,111795000000.0,--,--,--,14501000000.0,15026000000.0,28045000000.0,23095000000.0,--,--,4425000000.0,20200323
20190930,--,267860000000.0,--,3489000000.0,9510000000.0,--,1000000.0,--,280860000000.0,93229000000.0,18063000000.0,--,35584000000.0,9448000000.0,26147000000.0,7168000000.0,--,--,191563000000.0,1924000000.0,89297000000.0,-81353000000.0,213902000000.0,44937000000.0,55000000.0,--,3000000.0,--,258897000000.0,329902000000.0,6102000000.0,1674000000.0,129000000.0,2443000000.0,--,340250000000.0,--,-81353000000.0,--,--,--,--,6482000000.0,--,--,6482000000.0,4000000000.0,11620000000.0,1176000000.0,1374000000.0,--,18170000000.0,--,-11688000000.0,64000000.0,-3680000000.0,38121000000.0,34441000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20191031
20190630,--,186425000000.0,--,2158000000.0,8217000000.0,--,2000000.0,--,196802000000.0,62032000000.0,12761000000.0,--,25189000000.0,6933000000.0,18716000000.0,5118000000.0,--,--,131997000000.0,1248000000.0,64805000000.0,-76446000000.0,157799000000.0,31489000000.0,36000000.0,--,3000000.0,--,189327000000.0,258224000000.0,3980000000.0,1127000000.0,--,2442000000.0,--,265773000000.0,--,-76446000000.0,--,--,--,--,4665000000.0,14345000000.0,--,19010000000.0,4000000000.0,1766000000.0,672000000.0,--,--,6438000000.0,--,12572000000.0,10000000.0,941000000.0,38121000000.0,39062000000.0,--,16526000000.0,1508000000.0,822000000.0,272000000.0,--,--,--,-1000000.0,--,-898000000.0,--,-32408000000.0,--,--,--,-15215000000.0,-3563000000.0,--,97762000000.0,--,64805000000.0,--,--,--,22156000000.0,15026000000.0,16906000000.0,23095000000.0,--,--,941000000.0,20190826
20190331,--,108621000000.0,--,1013000000.0,7377000000.0,--,--,--,117011000000.0,33306000000.0,7188000000.0,--,13160000000.0,2524000000.0,10470000000.0,3245000000.0,--,--,70697000000.0,804000000.0,46314000000.0,-35215000000.0,88648000000.0,15282000000.0,2000000.0,--,--,--,103932000000.0,134754000000.0,2306000000.0,503000000.0,--,1584000000.0,--,139147000000.0,--,-35215000000.0,--,--,--,--,4540000000.0,--,--,4540000000.0,4002000000.0,997000000.0,44000000.0,4887000000.0,--,9930000000.0,--,-5390000000.0,-38000000.0,5671000000.0,38121000000.0,43792000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20190427
20181231,--,319175000000.0,--,3674000000.0,3467000000.0,--,53000000.0,--,326369000000.0,102744000000.0,21632000000.0,--,54765000000.0,14242000000.0,32828000000.0,6528000000.0,--,--,236920000000.0,4181000000.0,89449000000.0,-91748000000.0,235774000000.0,52836000000.0,59000000.0,226000000.0,--,--,288895000000.0,353150000000.0,10424000000.0,4177000000.0,5000000.0,12887000000.0,--,380643000000.0,--,-91748000000.0,--,--,--,9980000000.0,3435000000.0,8595000000.0,--,22010000000.0,910000000.0,9544000000.0,2000000.0,--,--,10456000000.0,--,11554000000.0,80000000.0,9335000000.0,28786000000.0,38121000000.0,--,18434000000.0,1102000000.0,1517000000.0,542000000.0,--,--,--,-18000000.0,--,2168000000.0,--,-53477000000.0,--,--,--,-4480000000.0,12603000000.0,--,111058000000.0,--,89449000000.0,--,--,--,15026000000.0,11660000000.0,23095000000.0,17126000000.0,--,--,9335000000.0,20190325
20180930,--,245300000000.0,--,2875000000.0,3484000000.0,--,36000000.0,--,251695000000.0,74710000000.0,16358000000.0,--,42800000000.0,11629000000.0,23910000000.0,5308000000.0,--,--,178152000000.0,3437000000.0,73543000000.0,-68643000000.0,184008000000.0,38455000000.0,34000000.0,360000000.0,--,--,222857000000.0,276497000000.0,8586000000.0,1766000000.0,--,4651000000.0,--,291500000000.0,--,-68643000000.0,--,--,--,9980000000.0,929000000.0,--,--,10909000000.0,1000000000.0,9088000000.0,259000000.0,9073000000.0,--,19420000000.0,--,-8511000000.0,58000000.0,-3553000000.0,28786000000.0,25233000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20181027
20180630,--,169507000000.0,--,1643000000.0,2161000000.0,--,27000000.0,--,173338000000.0,46876000000.0,11429000000.0,--,28968000000.0,9035000000.0,17609000000.0,3419000000.0,--,--,119572000000.0,2236000000.0,53766000000.0,-66785000000.0,126279000000.0,26694000000.0,26000000.0,313000000.0,--,--,153312000000.0,210389000000.0,5929000000.0,1078000000.0,--,2701000000.0,--,220097000000.0,--,-66785000000.0,--,--,--,4990000000.0,11138000000.0,--,--,16128000000.0,1000000000.0,1196000000.0,--,--,--,2196000000.0,--,13932000000.0,13000000.0,926000000.0,28786000000.0,29712000000.0,--,8449000000.0,424000000.0,746000000.0,237000000.0,--,--,--,-5000000.0,--,1540000000.0,--,-27541000000.0,--,--,--,-16434000000.0,-1561000000.0,--,87911000000.0,--,53766000000.0,--,--,--,16835000000.0,11660000000.0,12877000000.0,17126000000.0,--,--,926000000.0,20180827
20180331,--,98655000000.0,--,648000000.0,1519000000.0,--,14000000.0,--,100836000000.0,24001000000.0,6354000000.0,--,14689000000.0,1934000000.0,7919000000.0,1829000000.0,--,--,57523000000.0,797000000.0,43313000000.0,-18792000000.0,63113000000.0,12480000000.0,11000000.0,--,--,--,75604000000.0,89576000000.0,3374000000.0,446000000.0,--,1000000000.0,--,94396000000.0,--,-18792000000.0,--,--,--,4990000000.0,248000000.0,--,--,5238000000.0,1000000000.0,710000000.0,20372000000.0,--,--,22082000000.0,--,-16844000000.0,-55000000.0,7622000000.0,28786000000.0,36408000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20180428
20171231,--,282577000000.0,--,1202000000.0,5368000000.0,--,86000000.0,--,289233000000.0,89549000000.0,18816000000.0,--,47917000000.0,10285000000.0,29546000000.0,4412000000.0,--,--,203182000000.0,2657000000.0,86051000000.0,-104209000000.0,331019000000.0,55230000000.0,334000000.0,--,--,--,386583000000.0,469683000000.0,10832000000.0,4218000000.0,--,6059000000.0,--,490792000000.0,--,-104209000000.0,--,669000000.0,--,--,28379000000.0,--,--,29048000000.0,8498000000.0,9921000000.0,--,--,--,18419000000.0,--,10629000000.0,-80000000.0,-7609000000.0,36395000000.0,28786000000.0,--,14991000000.0,713000000.0,1422000000.0,468000000.0,--,--,--,-168000000.0,--,-1443000000.0,--,-51946000000.0,--,--,--,-5693000000.0,17413000000.0,--,110294000000.0,--,86051000000.0,--,--,--,11660000000.0,15257000000.0,17126000000.0,21138000000.0,--,--,-7609000000.0,20180330
20170930,--,213015000000.0,--,863000000.0,6067000000.0,--,50000000.0,--,219995000000.0,67590000000.0,14282000000.0,--,37020000000.0,8128000000.0,22573000000.0,3696000000.0,--,--,154768000000.0,1479000000.0,65227000000.0,-107527000000.0,260457000000.0,40903000000.0,328000000.0,--,--,--,301688000000.0,395390000000.0,8123000000.0,2265000000.0,--,3437000000.0,--,409215000000.0,--,-107527000000.0,--,508000000.0,--,--,50217000000.0,--,--,50725000000.0,7502000000.0,9026000000.0,--,--,--,16528000000.0,--,34197000000.0,-74000000.0,-8177000000.0,36395000000.0,28218000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20171028
20170630,--,143819000000.0,--,745000000.0,5010000000.0,--,299000000.0,--,149873000000.0,46009000000.0,10075000000.0,--,27075000000.0,6329000000.0,15788000000.0,2644000000.0,--,--,108706000000.0,786000000.0,41167000000.0,-68380000000.0,185581000000.0,31843000000.0,326000000.0,--,--,--,217750000000.0,276960000000.0,4217000000.0,1516000000.0,--,3437000000.0,--,286130000000.0,--,-68380000000.0,--,508000000.0,--,--,24343000000.0,--,--,24851000000.0,2000000.0,1350000000.0,--,--,--,1352000000.0,--,23499000000.0,-37000000.0,-3751000000.0,36395000000.0,32644000000.0,--,6645000000.0,471000000.0,695000000.0,183000000.0,--,--,--,-5000000.0,--,-767000000.0,--,-23959000000.0,--,--,--,-7203000000.0,-5625000000.0,--,70732000000.0,--,41167000000.0,--,--,--,16452000000.0,15257000000.0,16192000000.0,21138000000.0,--,--,-3751000000.0,20170828
20170331,--,80120000000.0,--,238000000.0,3744000000.0,--,150000000.0,--,84252000000.0,25124000000.0,5628000000.0,--,14347000000.0,2053000000.0,8800000000.0,1654000000.0,--,--,57826000000.0,220000000.0,26426000000.0,-53745000000.0,91200000000.0,18209000000.0,320000000.0,--,--,--,109729000000.0,160380000000.0,2131000000.0,963000000.0,--,--,--,163474000000.0,--,-53745000000.0,--,--,--,--,22766000000.0,--,--,22766000000.0,2000000.0,691000000.0,--,--,--,693000000.0,--,22073000000.0,-8000000.0,-5254000000.0,36395000000.0,31141000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20170429
20161231,--,241716000000.0,--,2037000000.0,7066000000.0,--,461000000.0,--,251280000000.0,87282000000.0,16372000000.0,--,34906000000.0,12167000000.0,31532000000.0,3722000000.0,--,--,188143000000.0,2162000000.0,63137000000.0,-43929000000.0,316312000000.0,45534000000.0,57000000.0,163000000.0,2000000.0,--,362068000000.0,391486000000.0,8293000000.0,6079000000.0,7000000.0,132000000.0,--,405997000000.0,--,-43929000000.0,--,--,--,--,12011000000.0,--,--,12011000000.0,8002000000.0,11094000000.0,--,--,--,19096000000.0,--,-7085000000.0,81000000.0,12204000000.0,24191000000.0,36395000000.0,--,12284000000.0,1141000000.0,1199000000.0,422000000.0,--,--,--,-23000000.0,--,768000000.0,--,-45630000000.0,--,--,--,-4603000000.0,25297000000.0,--,72282000000.0,--,63137000000.0,--,--,--,15257000000.0,9500000000.0,21138000000.0,14691000000.0,--,--,12204000000.0,20170330
