报告期,营业总收入*,营业收入,其他类金融业务收入,利息收入,已赚保费,手续费及佣金收入,营业总成本*,营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,资产减值损失,信用减值损失,其他业务成本（金融类）,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,加：其他收益,投资净收益,其中：对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,资产处置收益,汇兑净收益,加：营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加：营业外收入,减：营业外支出,其中:非流动资产处置净损失,加：利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减：所得税,加：未确认的投资损失,加：净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,持续经营净利润,终止经营净利润,减：少数股东损益,归属于母公司所有者净利润,加：其他综合收益,综合收益总额*,减：归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,1087351587.17,1087351587.17,0.0,--,--,--,1069672236.77,915598812.29,3716875.99,32178595.66,48333173.05,51909726.48,17935053.3,20659673.28,1752974.0,-1549856.43,1737039.63,0.0,--,--,--,--,--,--,--,9760570.72,48885.56,-51114.44,--,--,-26082.96,--,--,--,27649906.92,576737.63,286304.49,--,--,--,27940340.06,-141434.77,--,--,--,28081774.83,28081774.83,--,6874181.65,21207593.18,376013.77,28457788.6,6874181.65,21583606.95,--,0.0936,0.0936,20221028
20220630,727527730.64,727527730.64,0.0,--,--,--,721546819.42,625497745.18,2488349.04,20029945.16,29443467.94,33411099.69,10676212.41,13715970.75,3177574.74,--,616087.26,0.0,--,--,--,--,--,--,--,6064501.28,148672.38,48672.38,--,--,-37874.8,--,--,--,12772297.34,306946.76,252595.28,--,--,--,12826648.82,-2066090.08,--,--,--,14892738.9,14892738.9,--,4052319.4,10840419.5,154433.39,15047172.29,4052319.4,10994852.89,--,0.048,0.048,20220831
20220331,346157249.79,346157249.79,0.0,--,--,--,344511749.46,298298388.54,772738.13,10297514.56,15059737.32,13981175.55,6102195.36,6957671.74,1735887.49,--,1214205.46,0.0,--,--,--,--,--,--,--,1269980.44,-401321.26,--,--,--,4428.31,--,--,--,3732793.28,2270268.81,10.82,--,--,--,6003051.27,-533351.09,--,--,--,6536402.36,6536402.36,--,1444564.69,5091837.67,-10405.88,6525996.48,1444564.69,5081431.79,--,0.022,0.022,20220429
20211231,1539634813.24,1539634813.24,0.0,--,--,--,1495667774.86,1306406834.99,5659790.07,34361628.97,56724933.05,75137963.13,17376624.65,17027954.75,2519579.3,--,-3832095.14,0.0,--,--,--,--,--,--,--,29492093.76,938225.17,-1032624.15,--,--,79597.61,--,--,--,70644859.78,1057036.19,332871.12,--,--,--,71369024.85,-930503.61,--,--,--,72299528.46,72299528.46,--,9084202.56,63215325.9,-36924.58,72262603.88,9084202.56,63178401.32,--,0.279,0.279,20220426
20210930,1117943715.06,1117943715.06,0.0,--,--,--,1074065715.2,939979632.88,4201982.61,28865755.63,40984250.19,49162467.3,10871626.59,11268244.92,2603283.29,--,-1111377.34,0.0,--,--,--,--,--,--,--,15525243.3,1737353.59,--,--,--,-27627.22,--,--,--,60001592.19,104982.74,186507.3,--,--,--,59920067.63,3471984.47,--,--,--,56448083.16,56448083.16,--,6169882.11,50278201.05,-2797.26,56445285.9,6169882.11,50275403.79,--,0.2219,0.2219,20211030
20210630,758296042.47,758296042.47,0.0,--,--,--,725527553.05,636495869.05,2744974.02,18257971.42,27488707.34,34439896.03,6100135.19,6178173.66,1263484.43,--,-1192692.37,0.0,--,--,--,--,--,--,--,14227517.05,1816986.31,--,--,--,-27627.22,--,--,--,47592673.19,76305.19,175000.0,--,--,--,47493978.38,3192322.8,--,--,--,44301655.58,44301655.58,--,3608642.78,40693012.8,27869.94,44329525.52,3608642.78,40720882.74,--,0.18,0.18,20210831
20210331,322993611.73,322993611.73,0.0,--,--,--,312916315.11,274113231.06,853636.38,9036343.09,12278641.38,14479986.83,2154476.37,2327291.34,259885.53,--,730706.49,0.0,--,--,--,--,--,--,--,12227190.92,785342.47,--,--,--,--,--,--,--,23820536.5,34672.06,--,--,--,--,23855208.56,2640031.49,--,--,--,21215177.07,21215177.07,--,941674.26,20273502.81,45275.21,21260452.28,941674.26,20318778.02,--,0.116,0.116,20210423
20201231,1152815665.61,1152815665.61,0.0,--,--,--,1085811738.72,939218681.92,4371046.9,26666159.37,45751777.25,55746354.94,14057718.34,13058059.07,2592743.57,--,-1274992.06,0.0,--,--,--,--,--,--,--,11522844.87,248459.41,--,--,--,417688.47,--,--,--,77917927.58,57310.55,715344.41,--,--,--,77259893.72,5440114.92,--,--,--,71819778.8,71819778.8,--,7076807.71,64742971.09,-49143.97,71770634.83,7076807.71,64693827.12,--,0.529,0.529,20210320
20200930,755341318.51,755341318.51,0.0,--,--,--,709178284.22,593547722.09,2713412.62,29825998.27,33276874.13,37591640.54,12222636.57,11572688.04,1528933.33,--,2010322.32,0.0,--,--,--,--,--,--,--,8492814.27,106684.93,--,--,--,330852.94,--,--,--,57103708.75,82213.21,714351.85,--,--,--,56471570.11,5110743.07,--,--,--,51360827.04,51360827.04,--,4118075.84,47242751.2,-6939.36,51353887.68,4118075.84,47235811.84,--,0.3975,0.3975,20201026
20200630,489907594.81,489907594.81,0.0,--,--,--,453452057.68,381429074.43,1708860.4,18560135.98,20896813.45,24023895.05,6833278.37,7820995.21,1110609.93,--,2794350.68,0.0,--,--,--,--,--,--,--,5112741.75,106684.93,--,--,--,330852.94,--,--,--,44800167.43,22276.24,570503.89,--,--,--,44251939.78,4785323.76,--,--,--,39466616.02,39466616.02,--,2327605.89,37139010.13,24965.51,39491581.53,2327605.89,37163975.64,--,0.313,0.313,20200818
