报告期,营业总收入*,营业收入,其他类金融业务收入,利息收入,已赚保费,手续费及佣金收入,营业总成本*,营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,资产减值损失,信用减值损失,其他业务成本（金融类）,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,加：其他收益,投资净收益,其中：对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,资产处置收益,汇兑净收益,加：营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加：营业外收入,减：营业外支出,其中:非流动资产处置净损失,加：利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减：所得税,加：未确认的投资损失,加：净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,持续经营净利润,终止经营净利润,减：少数股东损益,归属于母公司所有者净利润,加：其他综合收益,综合收益总额*,减：归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,341865840.81,341865840.81,0.0,--,--,--,249389316.63,163413197.88,1754920.32,29238924.85,27214102.75,43644183.38,-15876012.55,6514190.43,1521889.42,-1903934.46,-2984229.03,0.0,--,--,--,--,--,--,--,6875770.34,168194.18,-955850.62,--,-7004200.0,-169.23,--,--,--,87627955.98,18032.66,331868.86,--,--,--,87314119.78,9255546.56,--,--,--,78058573.22,78058573.22,--,-1602545.33,79661118.55,1197146.3,79255719.52,-1602545.33,80858264.85,--,0.57,0.57,20221026
20220630,262799338.7,262799338.7,0.0,--,--,--,229937759.24,140056534.07,1489592.94,27907877.35,24978058.08,46213236.56,-10707539.76,6231164.88,1109506.73,-1465550.56,3487.15,0.0,--,--,--,--,--,--,--,4484958.02,4872258.21,-871786.83,--,-3771100.0,--,--,--,--,36989702.47,0.72,31582.33,--,--,--,36958120.86,1810099.87,--,--,--,35148020.99,35148020.99,--,-1401285.52,36549306.51,1094117.16,36242138.15,-1401285.52,37643423.67,--,0.27,0.27,20220830
20220331,262537977.84,262537977.84,0.0,--,--,--,224996666.14,143953951.44,2418018.55,22767467.91,20920803.76,29019535.79,5916888.69,6428707.9,1866695.16,-1549038.57,-2090586.32,0.0,--,--,--,--,--,--,--,8346923.64,4402607.51,-409935.08,--,2582400.0,--,--,--,--,49233617.96,17.7,58536.33,--,--,--,49175099.33,2578855.36,--,--,--,46596243.97,46596243.97,--,564311.56,46031932.41,-141541.41,46454702.56,564311.56,45890391.0,--,0.33,0.33,20220426
20211231,302736082.23,302736082.23,0.0,--,--,--,293478315.13,173287361.57,2971670.94,25246660.3,34622103.56,48212743.35,9137775.41,3393639.56,1407390.6,-7714499.04,1114819.32,0.0,--,--,--,--,--,--,--,7262025.04,6400989.12,-260129.64,--,-216300.0,0.0,--,--,--,16104801.54,3550.92,439280.33,--,--,--,15669072.13,-616962.54,--,--,--,16286034.67,16286034.67,--,2550545.11,13735489.56,-208864.14,16077170.53,2550545.11,13526625.42,--,0.1,0.1,20220426
20210930,365452065.94,365452065.94,0.0,--,--,--,231175106.29,166852008.67,1656475.79,24672023.6,15507125.68,25508183.43,-3020710.88,27645.89,732848.04,1865519.11,-3788680.19,0.0,--,--,--,--,--,--,--,10103344.48,3666064.17,873347.78,--,175800.0,0.0,--,--,--,146299007.22,13384.33,314053.56,--,--,--,145998337.99,14230894.32,--,--,--,131767443.67,131767443.67,--,4180038.01,127587405.66,30324.68,131797768.35,4180038.01,127617730.34,--,0.92,0.92,20211028
20210630,219420646.91,219420646.91,0.0,--,--,--,207972978.49,116845694.33,2160663.74,27947840.98,22097732.56,33308484.6,5612562.28,-20412.5,778786.79,-2130843.76,3404932.96,0.0,--,--,--,--,--,--,--,6279349.74,3909433.62,-792974.17,--,423500.0,--,--,--,--,23337453.07,6696.65,86572.14,--,--,--,23257577.58,-197931.95,--,--,--,23455509.53,23455509.53,--,2292673.01,21162836.52,-221736.67,23233772.86,2292673.01,20941099.85,--,0.15,0.15,20210824
20210331,326427309.56,326427309.56,0.0,--,--,--,237283962.89,159299144.85,2373426.34,25951445.34,18677796.08,34272586.06,-3290435.78,-65100.0,833034.29,41428.96,-2520422.04,0.0,--,--,--,--,--,--,--,3506162.4,2563977.85,-1433073.31,--,-423500.0,--,--,--,--,92310993.84,3491.15,11390.74,--,--,--,92303094.25,9943552.2,--,--,--,82359542.05,82359542.05,--,1582296.83,80777245.22,594324.06,82953866.11,1582296.83,81371569.28,--,0.58,0.58,20210420
20201231,295227286.33,295227286.33,0.0,--,--,--,273183781.97,151019116.18,2392454.73,40212234.59,14669651.22,47574544.53,17315780.72,-41626.57,747306.22,-2314194.22,8067172.54,0.0,--,--,--,--,--,--,--,8849909.64,2057746.48,-1503330.98,--,--,--,--,--,--,38704194.87,1918.32,163255.26,--,--,--,38542857.93,4687414.42,--,--,--,33855443.51,33855443.51,--,-648039.86,34503483.37,2782537.36,36637980.87,-648039.86,37286020.73,--,0.24,0.24,20210420
20200930,651519397.07,651519397.07,0.0,--,--,--,388145506.03,292835480.8,3139731.14,25470176.82,21214920.05,30856920.54,14628276.68,0.0,315410.62,-1907746.77,-15720348.58,0.0,--,--,--,--,--,--,--,10881115.3,2416288.59,-1670770.97,--,--,0.0,--,--,--,259043199.58,8634.92,6886.54,--,--,--,259044947.96,33762812.23,--,--,--,225282135.73,225282135.73,--,3180282.24,222101853.49,-1656570.02,223625565.71,3180282.24,220445283.47,--,1.62,1.62,20201029
20200630,245096081.89,245096081.89,0.0,--,--,--,189994969.42,110842215.0,1618948.41,25938427.82,23478679.72,27788072.8,328625.67,44372.82,566104.3,-4867794.74,-2699610.11,0.0,--,--,--,--,--,--,--,3941964.17,1091663.35,-414710.65,--,--,0.0,--,--,--,52567335.15,-712.99,10233.25,--,--,--,52556388.91,3860077.85,--,--,--,48696311.06,48696311.06,--,2869547.35,45826763.71,19419.65,48715730.71,2869547.35,45846183.36,--,0.31,0.31,20200827
