报告期,营业收入*,手续费及佣金净收入,代理买卖证券业务净收入,证券承销业务净收入,受托客户资产管理业务净收入,利息净收入,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出,营业支出*,营业税金及附加,管理费用,其他资产减值损失,其他业务成本,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20190930,2367283373.05,361507328.93,188471933.71,66123100.67,27344353.56,-50932514.46,363378032.23,35228479.25,--,223665965.52,622037.48,1069848.7,1467960341.38,12333.27,2019875911.35,2019875911.35,7762776.82,526064111.0,15540370.49,1453979777.3,--,--,347407461.7,5978882.35,1462543.97,--,--,--,351923800.08,71290556.12,--,--,--,280633243.96,2459381.21,278173862.75,11448662.64,292081906.6,2459381.21,289622525.39,--,0.12,0.12,20191029
20190630,1604109293.4,445091289.42,192934549.37,137479460.25,33477323.74,-34952131.42,344966709.43,20660791.76,--,-201410256.4,464711.96,1135495.92,1048782732.12,30742.37,1599995086.96,1599995086.96,7284537.34,432500781.07,-11619534.7,1049712919.9,--,--,4114206.44,14275172.87,183239.77,--,--,--,18206139.54,-3304170.84,--,--,--,21510310.38,-323838.86,21834149.24,-9695783.2,11814527.18,-330188.86,12144716.04,--,0.01,0.01,20190823
20190331,2275771875.87,366127285.48,233908687.71,41781335.1,24215584.87,-44028411.14,117256971.28,31071761.57,--,970058046.41,-415912.09,1093784.44,865686475.12,-6363.63,1511917539.21,1511917539.21,7382405.87,666267362.07,-17777493.74,874294254.78,--,--,763854336.66,1287494.44,515383.36,--,--,--,764626447.74,181997865.75,--,--,--,582628581.99,14721981.01,567906600.98,17973861.61,600602443.6,14721981.01,585880462.59,--,0.24,0.24,20190425
20181231,2642932028.69,347096980.14,140095228.39,84680201.86,59110966.79,62255804.37,691034404.71,8440121.85,--,84283068.0,18583.15,5659870.03,1443633977.19,8949341.1,2712781203.67,2712781203.67,7547918.36,696947309.72,--,1442611460.36,--,--,-69849174.98,31723137.02,3447896.64,--,--,--,-41573934.6,-72511385.28,--,--,--,30937450.68,525833.62,30411617.06,-133565012.14,-102627561.46,15930667.95,-118558229.41,--,0.01,0.01,20190411
20180930,2073963673.91,313007986.55,172679006.05,51516962.86,30101936.55,-15168042.98,256742042.21,13320300.31,--,58084518.59,363879.93,-3093550.49,1464024677.81,2162.29,2056623511.36,2056623511.36,8751001.47,513908745.05,--,1469453137.0,--,--,17340162.55,9724659.22,874637.39,--,--,--,26190184.38,3665075.43,--,--,--,22525108.95,159837.52,22365271.43,-99580339.84,-77055230.89,-754663.28,-76300567.61,--,0.01,0.01,20181030
20180630,1117733680.53,312137080.63,178942562.51,31242289.72,39359758.08,-3180623.61,295444149.81,23926287.3,--,3226699.82,-229941.14,6774225.37,503564383.14,-2293.49,980922123.24,980922123.24,5852399.34,441092469.85,--,510015448.3,--,--,136811557.29,6372919.02,1533507.54,--,--,--,141650968.77,22698206.34,--,--,--,118952762.43,3282176.02,115670586.41,-234402636.33,-115449873.9,2836943.89,-118286817.79,--,0.05,0.05,20180818
20180331,945476451.54,348515334.08,183202886.34,59129206.67,40163575.05,34393432.94,159645503.02,27215755.09,--,92100915.81,-777929.56,9919733.57,310461562.94,-8782101.26,780669204.4,780669204.4,5685199.8,447976068.66,--,300029799.68,--,--,164807247.14,9764167.96,1535573.91,--,--,--,173035841.19,33496599.49,--,--,--,139539241.7,6633740.19,132905501.51,-211163093.4,-71623851.7,6678379.54,-78302231.24,--,0.06,0.06,20180425
20171231,1374588528.95,421145780.82,166569393.87,104638100.6,61587209.78,-36210866.67,500278024.99,8405876.84,--,-12281585.33,-321233.61,--,493334518.89,--,1392172615.95,1392172615.95,3490943.3,685474418.93,--,486593310.03,--,--,-17584087.0,281653.99,3228525.4,--,--,--,-20530958.41,-57078387.41,--,--,--,36547429.0,10501455.8,26045973.2,-146128753.35,-109581324.35,9415314.77,-118996639.12,--,0.01,0.01,20180330
20170930,1445462060.21,452705422.61,221969849.74,98449940.95,46467456.77,-38366840.73,549262614.74,22175762.3,--,30937835.39,-424511.14,--,451347539.34,--,1037231700.58,1037231700.58,9758278.06,563267519.76,--,438180675.17,--,--,408230359.63,8553475.51,2259780.19,--,--,--,414524054.95,74458704.02,--,--,--,340065350.93,10111364.65,329953986.28,-44230415.68,295834935.25,9983168.22,285851767.03,--,0.14,0.14,20171027
20170630,1048808341.58,370026640.88,177760265.47,62208105.82,43428126.45,-52851735.53,269443199.89,21994748.77,--,19769299.71,-396072.67,--,442817009.3,--,923290041.86,923290041.86,6936031.73,452581857.8,--,457693215.62,--,--,125518299.72,8011108.6,599169.14,--,--,--,132930239.18,4133912.29,--,--,--,128796326.89,11207138.43,117589188.46,-206241433.09,-77445106.2,11407669.08,-88852775.28,--,0.05,0.05,20170826
20170331,1065593378.18,406690382.16,187505248.66,54736943.69,56619593.88,43737.36,237439119.12,19367170.74,--,-30244831.3,-119785.92,--,451784756.76,--,818509441.4,818509441.4,6706493.25,383365783.04,--,446109790.57,--,--,247083936.78,6935958.59,370660.43,--,--,--,253649234.94,56355353.16,--,--,--,197293881.78,3936470.74,193357411.04,47465554.27,244759436.05,4195873.63,240563562.42,--,0.08,0.08,20170429
