报告期,经营活动产生的现金流量*,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息和手续费净增加额,拆入/拆出资金净增加额,回购业务资金净增加额,收到其他与经营活动有关的现金,代理买卖证券收到的现金净额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出差额(特殊报表科目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目),经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20220930,--,--,--,2639431953.16,--,--,5330562491.79,1361451503.45,3107703560.05,--,12439149508.45,958757835.45,1500000000.0,304990062.96,1535522863.33,66288000.0,--,5002233931.24,--,7436915577.21,--,--,79073705.36,72166.7,--,--,--,79145872.06,243865942.43,30355292.34,--,--,--,274221234.77,--,-195075362.71,--,--,--,9744577738.8,--,--,--,9744577738.8,11666977738.8,387963273.91,86389158.42,--,--,12141330171.13,--,-2396752432.33,7133374.82,4852221156.99,28578297968.19,33430519125.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221029
20220630,--,--,--,1887031829.98,--,1048038000.0,395323861.45,2825509167.18,1577128334.62,--,7733031193.23,443242805.96,600000000.0,171760303.52,260936597.55,--,--,1970576414.6,--,5762454778.63,--,--,30762600.0,58596.04,--,--,--,30821196.04,--,14665408.76,--,--,--,14665408.76,--,16155787.28,--,--,--,5255510000.0,--,--,--,5255510000.0,8393860000.0,226086345.46,58640348.81,--,--,8678586694.27,--,-3423076694.27,3280500.08,2358814371.72,28578297968.19,30937112339.91,--,518731220.79,--,16833171.31,17879481.97,2024634.96,--,--,26681.4,--,103473315.05,121208307.32,--,-8376455.12,--,695575187.62,4254582750.48,--,46114949.96,--,5762454778.63,--,--,--,26415454451.99,18161612957.2,4521657887.92,10416685010.99,--,--,2358814371.72,20220830
20220331,--,--,--,1582139062.48,--,--,3188053453.06,558631461.25,476475623.67,--,5805299600.46,225859334.85,--,42146377.69,1244157951.83,404781000.0,--,2779115055.17,--,3026184545.29,--,20820429.22,14054977.02,55113.89,--,--,--,34930520.13,14019579.05,5687184.65,--,--,--,19706763.7,--,15223756.43,--,--,--,1751610000.0,--,--,--,1751610000.0,2245960000.0,10543381.99,30531955.14,--,--,2287035337.13,--,-535425337.13,-294861.39,2505688103.2,28578297968.19,31083986071.39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220429
20211231,--,--,--,4433742415.74,--,5464545582.43,5070773103.68,3076804512.45,--,--,18045865614.3,1108621740.69,--,434305468.3,2863463739.15,--,--,10859920135.23,--,7185945479.07,--,1092677509.06,66577205.14,3938243.18,--,--,--,1163192957.38,801301483.02,83930745.12,--,--,--,885232228.14,--,277960729.24,--,--,--,9334250000.0,--,--,--,9334250000.0,9639740000.0,617080895.77,110596838.96,1402548627.0,--,11769966361.73,--,-2435716361.73,-1500593.88,5026689252.7,23551608715.49,28578297968.19,--,963134520.8,--,31894909.7,31517302.93,4340321.61,--,--,227813.29,--,105896042.15,387532106.97,9750412.7,21229575.86,--,-3817228154.45,9397792021.61,--,99013316.69,--,7185945479.07,--,--,--,18161612957.2,14587628841.16,10416685010.99,8963979874.33,--,--,5026689252.7,20220330
20210930,--,--,--,3010392784.64,--,3238805392.3,5632080390.56,3163394472.57,--,--,15044673040.07,607268871.48,1299693150.68,372101378.86,1841201285.78,--,--,8513289950.94,--,6531383089.13,--,802893679.5,48349584.18,1266448.19,--,--,--,852509711.87,671455283.02,48915858.62,--,--,--,720371141.64,--,132138570.23,--,--,--,6214660000.0,--,--,--,6214660000.0,4705230000.0,490698923.74,82425372.38,42236127.0,--,5320590423.12,--,894069576.88,-402058.55,7557189177.69,23551608715.49,31108797893.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211029
20210630,--,--,--,1876888794.14,--,3003048347.9,2347741462.3,2452599878.12,--,--,9680278482.46,406404809.89,700000000.0,237441017.15,1398706828.76,--,--,4623869277.91,--,5056409204.55,--,211137047.17,40417014.22,744018.59,--,--,--,252298079.98,561027284.99,28069908.42,--,--,--,589097193.41,--,-336799113.43,--,--,--,2749000000.0,--,--,--,2749000000.0,2708290000.0,217389697.41,57999184.61,28003023.0,--,3011681905.02,--,-262681905.02,-641156.46,4456287029.64,23551608715.49,28007895745.13,--,616321970.75,--,15600661.79,14854947.84,2205393.81,--,--,113838.76,--,-61250585.5,166273020.73,--,2095535.4,--,-813902121.84,5095232382.62,--,15998355.61,--,5056409204.55,--,--,--,24088458289.27,14587628841.16,3919437455.86,8963979874.33,--,--,4456287029.64,20210828
20210331,--,--,--,916995698.52,--,2990058218.23,980836112.39,1830742668.22,--,--,6718632697.36,213842184.03,1150000000.0,76955405.32,617053437.45,--,--,3406175548.33,--,3312457149.03,--,201402125.54,19564259.92,428014.4,--,--,--,221394399.86,534230660.42,13893851.58,--,--,--,548124512.0,--,-326730112.14,--,--,--,894290000.0,--,--,--,894290000.0,1060110000.0,5468635.35,31427859.42,13924737.0,--,1110931231.77,--,-216641231.77,446621.37,2769532426.49,23551608715.49,26321141141.98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210429
20201231,--,--,--,4381380064.72,900000000.0,2488063692.57,769207134.89,3086761368.75,--,--,11625412260.93,963137369.97,--,444031054.75,2253581098.53,--,--,8649380119.55,--,2976032141.38,--,15152795043.52,173988666.77,236370.06,--,--,--,15327020080.35,15065415454.99,105590323.67,--,--,--,15171005778.66,--,156014301.69,--,1493260386.42,--,9605110000.0,--,--,--,11098370386.42,9458350000.0,493165100.34,6769733.34,1189344056.0,--,11147628889.68,--,-49258503.26,-4310568.95,3078477370.86,20473131344.63,23551608715.49,--,884918690.45,--,28178202.81,27503738.5,6048417.79,--,--,196370.14,--,97836866.95,367729171.27,-53947343.82,--,--,-3002600142.84,4469975632.58,--,217851657.7,--,2976032141.38,--,--,--,14587628841.16,13445020529.32,8963979874.33,7028110815.31,--,--,3078477370.86,20210330
20200930,--,--,--,3085127639.99,--,2695719871.77,94539216.01,6928481037.52,--,--,12803867765.29,787592052.34,610767808.0,318176890.27,1540963193.88,--,--,7878909471.62,--,4924958293.67,--,11935149949.62,136929119.69,181477.22,--,--,--,12072260546.53,10481177232.19,43143464.65,285001286.34,--,--,10809321983.18,--,1262938563.35,--,1493260386.42,--,8166430000.0,--,--,--,9659690386.42,7781440000.0,370292444.07,15449733.34,1189498874.0,--,9356681051.41,--,303009335.01,-13818348.22,6477087843.81,20473131344.63,26950219188.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201030
20200630,--,--,--,1947912608.89,--,1190273914.77,2547361786.32,2510118716.5,--,--,8195667026.48,354496483.12,1600000000.0,208717841.11,2056733909.95,--,--,6483193293.45,--,1712473733.03,--,5183617257.19,63340601.42,22797.63,--,--,--,5246980656.24,5330980781.47,23691872.9,--,--,--,5354672654.37,--,-107691998.13,--,1493260386.42,--,5051970000.0,--,--,--,6545230386.42,3868080000.0,206096132.01,14496922.57,--,--,4088673054.58,--,2456557331.84,8608235.64,4069947302.38,20473131344.63,24543078647.01,--,571151798.78,--,13904930.42,13588735.84,3233321.94,--,--,14890.95,--,-15284914.14,178369853.22,-38973157.88,--,--,-4232796136.18,5217212732.98,-1192786.47,-1535386.35,--,1712473733.03,--,--,--,21977446729.06,13445020529.32,2565631917.95,7028110815.31,--,--,4069947302.38,20200822
