报告期,经营活动产生的现金流量*,收到原保险合同保费取得的现金,收到再保业务现金净额,收到其他与经营活动有关的现金,保户储金净增加额,拆入/拆出资金净增加额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,支付原保险合同赔付款项的现金,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付手续费的现金,支付的各项税费,支付其他与经营活动有关的现金,支付保单红利的现金,投资活动现金流出差额(合计平衡项目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,经营活动产生的现金流量净额差值(合计平衡项目),经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,质押贷款净增加额,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差值(特殊报表科目),间接法-经营活动现金流量净额差值(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20220930,--,591708000000.0,--,153394000000.0,19973000000.0,--,507575000000.0,--,1272650000000.0,209368000000.0,63412000000.0,--,113366000000.0,49112000000.0,129534000000.0,15310000000.0,--,--,926838000000.0,346736000000.0,345812000000.0,-259396000000.0,1399218000000.0,168261000000.0,301000000.0,3642000000.0,244000000.0,--,1571666000000.0,1818458000000.0,7069000000.0,5535000000.0,--,--,--,1831062000000.0,--,-259396000000.0,--,2371000000.0,133274000000.0,600325000000.0,13434000000.0,166708000000.0,--,916112000000.0,941971000000.0,51889000000.0,21125000000.0,17716000000.0,--,1032701000000.0,--,-116589000000.0,8068000000.0,-22105000000.0,403125000000.0,381020000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221027
20220630,--,408870000000.0,--,97561000000.0,19509000000.0,--,469714000000.0,--,995654000000.0,137690000000.0,47480000000.0,--,77671000000.0,37302000000.0,75012000000.0,12070000000.0,--,--,677554000000.0,290329000000.0,318100000000.0,-256151000000.0,938045000000.0,113206000000.0,145000000.0,5315000000.0,244000000.0,--,1056955000000.0,1304916000000.0,5354000000.0,2836000000.0,--,--,--,1313106000000.0,--,-256151000000.0,--,2355000000.0,105528000000.0,433105000000.0,11045000000.0,180731000000.0,--,732764000000.0,735910000000.0,44804000000.0,13606000000.0,14450000000.0,--,808770000000.0,--,-76006000000.0,3566000000.0,-10491000000.0,403125000000.0,392634000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220824
20220331,--,223770000000.0,--,63487000000.0,16378000000.0,--,332544000000.0,--,636179000000.0,73683000000.0,29315000000.0,--,40578000000.0,11195000000.0,37388000000.0,9123000000.0,--,--,389463000000.0,188181000000.0,246716000000.0,-153069000000.0,434568000000.0,49127000000.0,102000000.0,1451000000.0,243000000.0,--,485491000000.0,634159000000.0,3182000000.0,1219000000.0,--,--,--,638560000000.0,--,-153069000000.0,--,179000000.0,50409000000.0,246563000000.0,3851000000.0,96614000000.0,--,397616000000.0,373775000000.0,8639000000.0,7945000000.0,12389000000.0,--,402748000000.0,--,-5132000000.0,-1031000000.0,87484000000.0,403125000000.0,490609000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220430
20211231,--,787398000000.0,--,150260000000.0,21376000000.0,--,475088000000.0,--,1434122000000.0,268717000000.0,80518000000.0,--,160341000000.0,57193000000.0,214053000000.0,17925000000.0,--,--,1344006000000.0,545259000000.0,90116000000.0,27933000000.0,2012477000000.0,233027000000.0,679000000.0,4003000000.0,5234000000.0,--,2255420000000.0,2198579000000.0,16356000000.0,12186000000.0,--,366000000.0,--,2227487000000.0,--,27933000000.0,--,14383000000.0,197965000000.0,1252176000000.0,22718000000.0,4300000000.0,--,1491542000000.0,1335187000000.0,92829000000.0,11309000000.0,188629000000.0,--,1627954000000.0,--,-136412000000.0,-3260000000.0,-21623000000.0,424748000000.0,403125000000.0,--,121802000000.0,105042000000.0,7190000000.0,2803000000.0,1908000000.0,--,--,-14000000.0,--,22613000000.0,--,--,--,--,--,-535833000000.0,311264000000.0,--,53341000000.0,--,90116000000.0,--,--,--,348088000000.0,307812000000.0,55037000000.0,116936000000.0,--,--,-21623000000.0,20220318
20210930,--,579166000000.0,--,157205000000.0,23362000000.0,--,391321000000.0,--,1151054000000.0,196873000000.0,63867000000.0,--,121107000000.0,44593000000.0,227187000000.0,14690000000.0,--,--,1101324000000.0,433007000000.0,49730000000.0,56755000000.0,1499107000000.0,171112000000.0,558000000.0,3225000000.0,3925000000.0,--,1677927000000.0,1598657000000.0,13208000000.0,9071000000.0,--,236000000.0,--,1621172000000.0,--,56755000000.0,--,6533000000.0,165487000000.0,903627000000.0,17429000000.0,--,--,1093076000000.0,951887000000.0,65880000000.0,9429000000.0,132681000000.0,--,1159877000000.0,--,-66801000000.0,-2106000000.0,37578000000.0,424748000000.0,462326000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211028
20210630,--,398949000000.0,--,135019000000.0,20795000000.0,--,239342000000.0,--,794105000000.0,127364000000.0,47696000000.0,--,82240000000.0,34047000000.0,166952000000.0,11658000000.0,--,--,774639000000.0,304682000000.0,19466000000.0,30224000000.0,957961000000.0,112653000000.0,346000000.0,1159000000.0,3596000000.0,--,1075715000000.0,1028677000000.0,10044000000.0,6764000000.0,--,6000000.0,--,1045491000000.0,--,30224000000.0,--,6504000000.0,118515000000.0,590225000000.0,6508000000.0,800000000.0,--,722552000000.0,583867000000.0,53207000000.0,7209000000.0,97851000000.0,--,742134000000.0,--,-19582000000.0,-2645000000.0,27463000000.0,424748000000.0,452211000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210827
20210331,--,215367000000.0,--,64243000000.0,16865000000.0,--,168369000000.0,--,464844000000.0,67133000000.0,30013000000.0,--,44569000000.0,12211000000.0,65123000000.0,8885000000.0,--,--,399972000000.0,172038000000.0,64872000000.0,-18635000000.0,476743000000.0,53161000000.0,21000000.0,674000000.0,285000000.0,--,530884000000.0,538997000000.0,5641000000.0,4875000000.0,--,6000000.0,--,549519000000.0,--,-18635000000.0,--,2938000000.0,52181000000.0,291569000000.0,4524000000.0,--,--,351212000000.0,316735000000.0,12853000000.0,1296000000.0,48517000000.0,--,379401000000.0,--,-28189000000.0,-51000000.0,17997000000.0,424748000000.0,442745000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210423
20201231,--,809892000000.0,--,210094000000.0,45564000000.0,--,666228000000.0,--,1731778000000.0,237019000000.0,71907000000.0,--,191233000000.0,65785000000.0,261896000000.0,16355000000.0,--,--,1419703000000.0,575508000000.0,312075000000.0,-447138000000.0,2036192000000.0,225084000000.0,390000000.0,3000000000.0,1776000000.0,--,2266442000000.0,2680660000000.0,21947000000.0,9995000000.0,--,978000000.0,--,2713580000000.0,--,-447138000000.0,--,37223000000.0,183876000000.0,993850000000.0,11086000000.0,99542000000.0,--,1325577000000.0,954298000000.0,85011000000.0,7838000000.0,17789000000.0,--,1064936000000.0,--,260641000000.0,-4296000000.0,121282000000.0,303466000000.0,424748000000.0,--,159359000000.0,79458000000.0,6448000000.0,2701000000.0,1797000000.0,--,--,-7000000.0,--,4770000000.0,--,--,--,--,--,-474718000000.0,471783000000.0,--,60484000000.0,--,312075000000.0,--,--,--,307812000000.0,208953000000.0,116936000000.0,94513000000.0,--,--,121282000000.0,20210204
20200930,--,598592000000.0,--,180769000000.0,42169000000.0,--,508690000000.0,--,1330220000000.0,175439000000.0,56362000000.0,--,149386000000.0,50513000000.0,181992000000.0,13097000000.0,--,--,1065907000000.0,439118000000.0,264313000000.0,-333699000000.0,1583885000000.0,161493000000.0,337000000.0,2442000000.0,1851000000.0,--,1750008000000.0,2060694000000.0,17058000000.0,5619000000.0,--,336000000.0,--,2083707000000.0,--,-333699000000.0,--,36130000000.0,163946000000.0,697902000000.0,9606000000.0,75722000000.0,75722000000.0,983306000000.0,695085000000.0,68595000000.0,3578000000.0,10407000000.0,--,777665000000.0,--,205641000000.0,-1771000000.0,134484000000.0,303466000000.0,437950000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201028
20200630,--,415229000000.0,--,151583000000.0,31063000000.0,--,283878000000.0,--,881753000000.0,111848000000.0,42930000000.0,--,101834000000.0,37066000000.0,114083000000.0,10419000000.0,--,--,751013000000.0,332833000000.0,130740000000.0,-231270000000.0,1061612000000.0,109118000000.0,300000000.0,1895000000.0,--,--,1172925000000.0,1388273000000.0,12530000000.0,3311000000.0,--,81000000.0,--,1404195000000.0,--,-231270000000.0,--,35286000000.0,121877000000.0,417157000000.0,5145000000.0,33094000000.0,--,612559000000.0,398625000000.0,53634000000.0,1679000000.0,8821000000.0,--,462759000000.0,--,149800000000.0,1198000000.0,50468000000.0,303466000000.0,353934000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200828
