报告期,流动资产*,货币资金,交易性金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收账款融资,预付款项,其他应收款（合计）,应收股利,应收利息,其他应收款,买入返售金融资产,存货,其中：消耗性生物资产,合同资产,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,其他流动资产,其他金融类流动资产,结算备付金,拆出资金,应收保费,应收分保账款,应收分保合同准备金,流动资产差额（特殊报表科目）,流动资产差额（合计平衡项目）,流动资产总计*,非流动资产*,发放贷款及垫款,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,债权投资,其他债权投资,可供出售金融资产,其他权益工具投资,持有至到期投资,其他非流动金融资产,长期应收款,长期股权投资,投资性房地产,固定资产（合计）,固定资产,固定资产清理,在建工程（合计）,在建工程,工程物资,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动性资产,非流动性资产差额（特殊报表科目）,非流动性资产差额（合计平衡项目）,非流动资产合计*,资产差额（特殊报表科目）,资产差额（合计平衡项目）,资产总计*,流动负债*,短期借款,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付款项,预收款项,合同负债,应付手续费及佣金,应付职工薪酬,应交税费,其他应付款（合计）,应付利息,应付股利,其他应付款,划分为持有待售的负债,一年内到期的非流动负债,预提费用,递延收益-流动负债,应付短期债券,其他流动负债,其他金融类流动负债,向中央银行借款,吸收存款及同业存放,拆入资金,卖出回购金融资产款,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,流动负债差额（特殊报表科目）,流动负债差额（合计平衡项目）,流动负债合计*,非流动负债*,长期借款,应付债券,长期应付款（合计）,长期应付款,专项应付款,长期应付职工薪酬,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债差额（特殊报表科目）,非流动负债差额（合计平衡项目）,非流动负债合计*,负债差额（特殊报表科目）,负债差额（合计平衡项目）,负债合计*,所得者权益(或股东权益)*,实收资本（或股本）,其他权益工具,其中：优先股,永续债,资本公积金,减：库存股,其他综合收益,专项储备,盈余公积金,一般风险准备,未分配利润,外币报表折算差额,未确认的投资损失,股东权益差额（特殊报表科目）,股权权益差额（合计平衡项目）,归属于母公司所有者权益合计*,少数股东权益,所有者权益合计*,负债及股东权益差额（特殊报表项目）,负债及股东权益差额（合计平衡项目）,负债及股东权益总计,公告日期#
20220930,--,4839329461.82,--,--,1011341569.77,--,1011341569.77,--,45158.55,235612895.27,--,--,--,--,--,--,--,--,--,--,84234643.34,0.0,--,--,--,--,--,--,--,6170563728.75,--,--,--,--,--,--,--,--,--,--,--,--,--,224760525379.24,--,--,79282648.53,79282648.53,--,--,--,57894151475.51,--,--,--,--,923599830.17,--,--,283693139315.52,--,--,289863703044.27,--,--,--,--,707650115.28,--,--,22857142.8,213092482.55,--,2426451.89,353165958.12,3229781099.86,--,--,--,--,3255748253.29,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,7784721503.79,--,72982502080.32,--,85260000.0,--,--,--,--,259048576.19,--,282240000.0,--,--,73609050656.51,--,--,81393772160.3,--,49106484611.0,--,--,--,122596155858.47,--,--,302552433.16,5255402582.06,--,7611777261.37,--,--,--,--,184872372746.06,23597558137.91,208469930883.97,--,--,289863703044.27,20221031
20220630,--,5305496637.53,--,--,1043373134.77,--,1043373134.77,--,36387.17,412868507.27,--,--,412868507.27,--,--,--,--,--,--,--,160723473.3,0.0,--,--,--,--,--,--,--,6922498140.04,--,--,--,--,--,--,--,--,--,--,--,--,--,225279844297.32,225268725179.73,11119117.59,79282648.53,79282648.53,--,--,--,58063417494.84,--,--,--,6878309.55,885900160.5,--,--,284353381428.04,--,--,291275879568.08,--,--,--,--,458745262.75,--,--,22857142.8,244931663.86,--,1557508.17,3932150.09,5111403526.55,0.0,2411128394.4,2700275132.15,--,4039838025.45,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,9883265279.67,--,73419813005.32,--,85260000.0,0.0,85260000.0,--,--,263539099.8,--,282240000.0,--,--,74050852105.12,--,--,83934117384.79,--,49106484611.0,--,--,--,122596155858.47,--,--,219763137.37,5255402582.06,--,6431755699.75,--,--,--,--,183609561888.65,23732200294.64,207341762183.29,--,--,291275879568.08,20220831
20220331,--,7721106683.83,--,--,498929412.77,--,498929412.77,--,85631.88,348754775.95,--,--,--,--,--,--,--,--,--,--,28252822.76,0.0,--,--,--,--,--,--,--,8597129327.19,--,--,--,--,--,--,--,--,--,--,--,--,--,225422414532.49,--,--,329832170.96,329832170.96,--,--,--,58242213022.17,--,--,--,330825.0,885900160.5,--,--,284921227763.65,--,--,293518357090.84,--,1001023611.11,--,--,563367346.73,--,--,22857142.8,169812476.75,--,1317191.93,341695404.04,1961738506.84,--,--,--,--,4776015839.9,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,8837827520.1,--,72785602430.32,--,85260000.0,--,--,--,1323300.0,268029623.42,--,282240000.0,--,--,73422455353.74,--,--,82260282873.84,--,49106484611.0,--,--,--,122596155858.47,--,--,123243470.45,5255402582.06,--,10090947079.0,--,--,--,--,187172233600.98,24085840616.02,211258074217.0,--,--,293518357090.84,20220430
20211231,--,8917551771.92,--,--,230774561.22,--,230774561.22,--,67664.19,42078238.02,--,--,42078238.02,--,--,--,--,--,--,--,66071260.48,0.0,--,--,--,--,--,--,--,9256543495.83,--,--,--,--,--,--,--,--,--,--,--,--,--,226670548926.39,226663646485.63,6902440.76,79282648.53,79282648.53,--,--,--,58421008549.5,--,--,--,330825.0,781524525.57,--,--,285995711062.75,--,--,295252254558.58,--,2002138888.88,--,--,806756232.88,--,--,22857142.8,229328176.74,--,1217374.81,489527547.63,2151226872.67,--,--,2151226872.67,--,3269612505.45,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,8972664741.86,--,74533722430.32,--,85260000.0,0.0,85260000.0,--,1323300.0,272520147.02,--,282240000.0,--,--,75175222618.26,--,--,84147887360.12,--,49106484611.0,--,--,--,122596155858.47,--,--,21117738.15,5255402582.06,--,9870721754.4,--,--,--,--,186849882544.08,24254484654.38,211104367198.46,--,--,295252254558.58,20220423
20210930,--,11572291395.91,--,--,633153603.66,--,633153603.66,--,43185.75,512529703.06,--,--,--,--,--,--,--,--,--,--,48832175.06,0.0,--,--,--,--,--,--,--,12766850063.44,--,--,--,--,--,--,--,--,--,--,--,--,--,226771256271.23,226771256271.23,--,963233461.2,963233461.2,--,--,--,58499208033.83,--,--,--,330825.0,984239918.48,--,--,287263762632.73,--,--,300030612696.17,--,6005833333.33,--,--,565732038.93,--,--,--,333538137.85,--,1136543.98,737933330.68,2513632988.86,--,--,--,--,3355465979.61,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,13513272353.24,--,74791772430.32,--,85260000.0,--,--,--,1323300.0,277010670.63,--,282240000.0,--,--,75437761370.94,--,--,88951033724.18,--,49106484611.0,--,--,--,122596155858.47,--,--,266997396.51,4661971594.97,--,9995330824.25,--,--,--,--,186626940285.2,24452638686.79,211079578971.99,--,--,300030612696.17,20211030
20210630,--,12341394448.85,--,--,1343625885.07,--,1343625885.07,--,58685.75,905021360.24,--,--,905021360.24,--,--,--,--,--,--,--,41926117.03,0.0,--,--,--,--,--,--,--,14632026496.94,--,--,--,--,--,--,--,--,--,--,--,--,--,227991378405.44,227991378405.44,0.0,526408011.71,526408011.71,0.0,--,--,58678003561.16,--,--,--,330825.0,920269446.46,--,--,288164362907.99,--,--,302796389404.93,--,6005833333.33,--,--,538607916.32,--,--,--,232100293.15,--,1011359.41,1072114996.56,5044758426.27,0.0,1615603343.7,3429155082.57,--,2361642614.19,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,15256068939.23,--,77386712430.32,--,85260000.0,0.0,85260000.0,--,1323300.0,281501194.24,--,282240000.0,--,--,78037190143.63,--,--,93293259082.86,--,49106484611.0,--,--,--,122596155858.47,--,--,178451266.07,4661971594.97,--,8391418365.27,--,--,--,--,184934481695.78,24568648626.29,209503130322.07,--,--,302796389404.93,20210831
20210331,--,7856777690.57,--,--,1381041895.31,--,1381041895.31,--,78913.1,1019604302.87,--,--,--,--,--,--,--,--,--,--,38106302.01,0.0,--,--,--,--,--,--,--,10295609103.86,--,--,--,--,--,--,--,--,--,--,--,--,--,229238638771.72,229238638771.72,--,750180748.14,750180748.14,--,--,--,58856799088.49,--,--,--,2830825.0,891907377.14,--,--,289790355591.05,--,--,300085964694.91,--,6006447303.24,--,--,559961495.12,--,--,--,221405215.93,--,994799.48,500137966.98,3827083041.82,--,--,--,--,2119690248.43,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,13235720071.0,--,77482162430.32,--,85260000.0,--,--,--,1323300.0,285991717.85,10000000.0,282240000.0,--,--,78146977448.17,--,--,91382697519.17,--,49106484611.0,--,--,--,122596155858.47,--,--,88992447.53,4661971594.97,--,7585865023.37,--,--,--,--,184039469535.34,24663797640.4,208703267175.74,--,--,300085964694.91,20210430
20201231,--,7949645566.3,--,--,956697124.91,--,956697124.91,--,335647.22,1295300622.5,--,--,1295300622.5,--,--,--,--,--,--,--,48893882.31,0.0,--,--,--,--,--,--,--,10250872843.24,--,--,--,--,--,--,--,--,--,--,--,--,--,230512714327.34,230512714327.34,--,110406249.57,110406249.57,--,--,--,59035594615.82,--,--,--,2500000.0,951223398.63,--,--,290612438591.36,--,--,300863311434.6,--,6006447303.24,--,--,801595655.21,--,--,--,149986722.96,--,733001.28,761612042.32,4420459917.6,--,--,4420459917.6,--,2117873932.03,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,14258708574.64,--,77453162430.32,--,85260000.0,0.0,85260000.0,--,--,290482241.46,10000000.0,282240000.0,--,--,78121144671.78,--,--,92379853246.42,--,49106484611.0,--,--,--,122596155858.47,--,--,--,4661971594.97,--,7264045786.68,--,--,--,--,183628657851.12,24854800337.06,208483458188.18,--,--,300863311434.6,20210430
20200930,--,9926256505.18,--,--,1426086304.05,--,1426086304.05,--,127031.22,1643975824.07,--,--,--,--,--,--,--,--,--,--,29709261.31,0.0,--,--,--,--,--,--,--,13026154925.83,--,--,--,--,--,--,--,--,--,--,--,--,--,231219849631.08,231219849631.08,--,310140920.46,310140920.46,--,--,--,59281817595.21,--,--,--,--,3686308136.33,--,--,294498116283.08,--,--,307524271208.91,--,10009776184.76,--,--,506019705.88,--,--,--,310051108.96,--,537346.89,740799289.37,5523750901.44,--,--,--,--,2090512835.3,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,19181447372.6,--,77654192430.32,--,--,--,--,--,--,294972725.17,--,3144378183.76,--,--,81093543339.25,--,--,100274990711.85,--,49106484611.0,--,--,--,122596155858.47,--,--,--,4203369654.71,--,6342231263.92,--,--,--,--,182248241388.1,25001039108.96,207249280497.06,--,--,307524271208.91,20201031
20200630,--,9542244875.13,--,--,871662832.51,--,871662832.51,--,449543.49,1789468844.29,--,--,1789468844.29,--,--,--,--,--,--,--,88611905.54,0.0,--,--,--,--,--,--,--,12292438000.96,--,--,--,--,--,--,--,--,--,--,--,--,--,232268188340.48,232268188340.48,0.0,330540730.1,330540730.1,0.0,--,--,59460613122.54,--,--,--,--,3207361470.6,--,--,295266703663.72,--,--,307559141664.68,--,10009776184.76,--,--,444025442.42,--,--,--,126574619.64,--,1053535.85,232709977.88,8673639571.16,0.0,2592822387.46,6080817183.7,--,3046980499.39,--,--,--,--,0.0,--,--,--,--,--,--,--,--,--,--,22534759831.1,--,75971092430.32,--,--,--,--,--,--,299463368.46,--,2712508157.1,--,--,78983063955.88,--,--,101517823786.98,--,49106484611.0,--,--,--,122596155858.47,--,--,--,4203369654.71,--,5024047791.83,--,--,--,--,180930057916.01,25111259961.69,206041317877.7,--,--,307559141664.68,20200828
