报告期,经营活动产生的现金流量*,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息和手续费净增加额,拆入/拆出资金净增加额,回购业务资金净增加额,收到其他与经营活动有关的现金,代理买卖证券收到的现金净额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出差额(特殊报表科目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目),经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20200331,--,--,--,730420890.39,--,4665431616.06,151351520.66,1094828950.91,47456253.14,--,6689489231.16,303063598.1,1890000000.0,136390486.26,247819273.09,--,--,15632263619.04,--,-8942774387.88,--,12978618019.49,431231746.73,3975.0,--,--,--,13409853741.22,--,18524225.11,217088.58,--,--,18741313.69,--,13391112427.53,--,3987623613.15,--,2100000000.0,--,--,--,6087623613.15,5358000000.0,320814000.0,988458.4,--,--,5679802458.4,--,407821154.75,421196.92,4856580391.32,12586761018.53,17443341409.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200428
20191231,--,--,--,842931057.52,--,-2737116553.43,-424209128.02,721759873.03,--,--,-1183593559.65,207784497.93,-90000000.0,85345092.78,659066596.22,--,--,-2396098719.37,--,1212505159.72,--,315570793.38,481406990.82,55566.07,0.0,--,--,797033350.27,1664369415.75,32172274.2,--,--,--,1697355604.92,--,-900322254.65,--,--,--,700000000.0,--,--,--,700000000.0,360490000.0,108370216.44,--,--,--,468860216.44,--,231139783.56,-295865.99,543026822.64,0.0,543026822.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200328
20190930,--,--,--,674970714.74,--,75414960.84,672955953.97,-1149280170.77,--,--,274061458.78,194632267.89,-200000000.0,84949664.44,-1284072003.16,--,--,2351515300.68,--,-2077453841.9,--,648429206.62,126749183.1,28736.87,0.0,--,--,775207126.59,10000000.0,30877079.53,--,--,--,40877079.53,--,734330047.06,--,--,--,0.0,--,--,--,0.0,327580000.0,136432927.95,--,--,--,464012927.95,--,-464012927.95,667923.81,-1806468798.98,0.0,-1806468798.98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20191029
20190630,--,--,--,757721415.24,--,-1697692750.18,163875558.48,-447169248.32,--,--,-1223265024.78,386043366.21,-1140000000.0,133121311.04,211406494.16,--,--,-865772136.59,--,-357492888.19,--,282000000.0,191123037.55,22046.02,0.0,--,--,473145083.57,72500000.0,29397238.82,--,--,--,101897238.82,--,371247844.75,--,--,--,1707530000.0,--,--,--,1707530000.0,1431240000.0,308239481.7,--,--,--,1739479481.7,--,-31949481.7,569204.85,-17625320.29,0.0,-17625320.29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20190824
20190331,--,--,--,726886523.09,--,7883229636.76,177329737.81,3788795359.29,--,--,12576241256.95,170665052.98,2640000000.0,54308727.42,2247581862.3,--,--,7534790570.56,--,5041450686.39,--,6000000.0,8564810.96,10839.0,261679.81,--,--,14837329.77,36500000.0,13860327.8,--,--,--,50360327.8,--,-35522998.03,--,--,--,100900000.0,--,--,--,100900000.0,1364990000.0,376468638.32,--,--,--,1741458638.32,--,-1640558638.32,-219562.93,3365149487.11,10502678828.05,13867828315.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20190427
20181231,--,2004467924.47,--,655515370.77,2200000000.0,--,161777134.01,--,262927663.0,--,5284688092.25,202188417.47,--,42260719.79,1194816138.45,4555386228.46,--,6223812213.57,--,-939124121.32,--,110000000.0,45984000.0,50359.91,0.0,3000.0,--,156037359.91,52300000.0,40932467.81,--,--,--,93232467.81,--,62804892.1,--,--,--,1842900000.0,--,--,--,1842900000.0,1619530000.0,59863893.98,--,--,--,1679393893.98,--,163506106.02,198924.68,-712614198.52,0.0,-712614198.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20190323
20180930,--,1892430907.54,--,621032895.18,200000000.0,--,309038621.35,--,849870895.62,--,3872373319.69,170603250.32,--,62683023.01,3542198827.84,-250359918.46,--,3793684637.94,--,78688681.75,--,0.0,137574000.0,3616.11,0.0,21950.0,--,137599566.11,0.0,28523545.34,--,--,--,28523545.34,--,109076020.77,--,--,--,1446710000.0,--,--,--,1446710000.0,1763900000.0,190421745.23,--,--,--,1954321745.23,--,-507611745.23,4063851.26,-315783191.45,0.0,-315783191.45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20181027
20180630,--,--,--,673210859.26,--,--,154990094.9,--,719083426.16,--,585122205.21,507306886.68,--,95084922.84,-453146386.32,--,--,2693653058.04,--,-2108530852.83,--,--,228964937.63,23203.0,0.0,-183965.67,--,833174320.44,--,17911956.31,--,--,--,34611956.31,--,798562364.13,--,--,--,2269820000.0,--,--,--,2269820000.0,762583200.0,364045709.93,--,--,--,1126628909.93,--,1143191090.07,949980.02,-165827418.61,0.0,-165827418.61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20180825
20180331,--,--,--,672563964.5,--,2437098369.46,21700298.68,106264748.46,606350001.28,--,3843977382.38,198508739.42,100000000.0,60243509.87,1454419515.52,--,--,2371144423.36,--,1472832959.02,--,--,8496000.0,34455.0,208092.78,208092.78,--,8738547.78,--,18011698.19,--,--,--,18011698.19,--,-9273150.41,--,--,--,1934140000.0,--,--,--,1934140000.0,3667150000.0,484627260.17,--,--,--,4151777260.17,--,-2217637260.17,-840950.2,-754918401.76,12451822038.39,11696903636.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20180428
20171231,--,--,--,799487496.54,800000000.0,--,-3106259777.75,--,138157971.2,--,-1368614310.01,268602561.62,--,95469512.27,1209269498.4,1594948125.51,--,659777705.32,--,-2028392015.33,--,--,--,117752.63,-5168893.15,29371361.67,--,444522139.99,0.0,27722481.59,--,--,--,24909851.05,--,419612288.94,--,--,--,1239460000.0,--,--,--,1237460000.0,1502290000.0,40397575.8,--,--,--,488702627.27,--,748757372.73,-246908.63,-860269262.29,0.0,-860269262.29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20180421
20170930,--,--,--,909860108.73,1300000000.0,--,47227627.45,--,-322114392.37,--,1934973343.81,188626048.66,--,105260402.88,-45671245.57,-1088108766.62,--,3556314687.07,--,-1621341343.26,--,--,--,288218.05,288218.05,0.0,--,288218.05,35000000.0,30029144.41,--,--,--,67841774.95,--,-67553556.9,--,--,--,3296422000.0,--,--,--,3298422000.0,1207720000.0,31047881.74,--,--,--,2292752830.27,--,1005669169.73,-302826.51,-683528556.94,0.0,-683528556.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20171027
20170630,--,--,--,754875599.65,-1300000000.0,--,1107879507.91,--,338354681.05,--,503600560.17,707831316.58,--,152546034.31,233558667.99,946822804.16,--,2541792457.87,--,-2038191897.7,--,--,--,22222615.0,22222615.0,--,--,38222615.0,2500000.0,35042403.69,--,--,--,37542403.69,--,680211.31,--,--,--,1449458000.0,--,--,--,1449458000.0,3340510000.0,667179463.63,--,--,--,4007689463.63,--,-2558231463.63,-314794.33,-4596057944.35,0.0,-4596057944.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20170829
20170331,--,--,--,868985775.54,1500000000.0,--,2810323039.57,397509228.44,202239311.76,--,5779057355.31,230208949.1,--,135095686.96,250486752.72,1821776097.06,--,5688836744.79,--,90220610.52,--,--,--,27305.79,27305.79,--,--,27305.79,1050000.0,23440076.27,--,--,--,24490076.27,--,-24462770.48,--,--,--,5290000000.0,--,--,--,5290000000.0,1884940000.0,257704715.69,--,--,--,2142644715.69,--,3147355284.31,-115927.16,3212997197.19,15378680604.78,18591677801.97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20170428
