报告期,经营活动产生的现金流量*,收到原保险合同保费取得的现金,收到再保业务现金净额,收到其他与经营活动有关的现金,保户储金净增加额,拆入/拆出资金净增加额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,支付原保险合同赔付款项的现金,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付手续费的现金,支付的各项税费,支付其他与经营活动有关的现金,支付保单红利的现金,投资活动现金流出差额(合计平衡项目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,经营活动产生的现金流量净额差值(合计平衡项目),经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,质押贷款净增加额,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差值(特殊报表科目),间接法-经营活动现金流量净额差值(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20200630,--,188064000000.0,--,82729000000.0,9324000000.0,--,62185000000.0,--,342302000000.0,60856000000.0,15646000000.0,--,48992000000.0,26023000000.0,76129000000.0,2570000000.0,--,--,339763000000.0,109547000000.0,2539000000.0,-75080000000.0,575191000000.0,65563000000.0,-99000000.0,69000000.0,--,--,640723000000.0,710009000000.0,4262000000.0,1706000000.0,--,-174000000.0,--,715803000000.0,--,-75080000000.0,--,3268000000.0,86337000000.0,216700000000.0,4384000000.0,-31168000000.0,--,279521000000.0,136572000000.0,46969000000.0,755000000.0,3838000000.0,--,188134000000.0,--,91387000000.0,60000000.0,18906000000.0,0.0,18906000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200828
20200331,--,227165000000.0,--,68854000000.0,21739000000.0,--,221693000000.0,--,539451000000.0,50992000000.0,27284000000.0,--,52842000000.0,11043000000.0,37954000000.0,7849000000.0,--,--,411250000000.0,223286000000.0,128201000000.0,-156190000000.0,486421000000.0,43555000000.0,399000000.0,1826000000.0,1000000.0,--,532202000000.0,678264000000.0,8268000000.0,1605000000.0,--,255000000.0,--,688392000000.0,--,-156190000000.0,--,32018000000.0,35540000000.0,200457000000.0,761000000.0,64262000000.0,--,333038000000.0,262053000000.0,6665000000.0,924000000.0,4983000000.0,--,274625000000.0,--,58413000000.0,1138000000.0,31562000000.0,303466000000.0,335028000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200424
20191231,--,205595000000.0,--,-4145000000.0,5523000000.0,--,49889000000.0,--,256862000000.0,62025000000.0,16621000000.0,--,49967000000.0,14758000000.0,-20574000000.0,2551000000.0,--,--,338305000000.0,212957000000.0,-81443000000.0,-172337000000.0,416171000000.0,46750000000.0,111000000.0,442000000.0,1795000000.0,--,465269000000.0,625359000000.0,6623000000.0,5228000000.0,--,372000000.0,--,637606000000.0,--,-172337000000.0,--,22874000000.0,54984000000.0,310258000000.0,786000000.0,--,--,388902000000.0,211551000000.0,2200000000.0,-1630000000.0,-54469000000.0,--,157652000000.0,--,231250000000.0,-1931000000.0,-24461000000.0,0.0,-24461000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200221
20190930,--,171328000000.0,--,73668000000.0,6260000000.0,--,247198000000.0,--,498454000000.0,52654000000.0,12697000000.0,--,51885000000.0,15534000000.0,62204000000.0,2299000000.0,--,--,349419000000.0,152146000000.0,149035000000.0,-84864000000.0,440930000000.0,53205000000.0,1101000000.0,-183000000.0,-385000000.0,--,494668000000.0,571955000000.0,4783000000.0,2794000000.0,--,10000000.0,--,579532000000.0,--,-84864000000.0,--,1082000000.0,59079000000.0,139828000000.0,-40000000.0,--,--,199949000000.0,207428000000.0,26762000000.0,3095000000.0,3390000000.0,--,240675000000.0,--,-40726000000.0,2707000000.0,26152000000.0,0.0,26152000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20191025
20190630,--,172412000000.0,--,45302000000.0,9693000000.0,--,63865000000.0,--,291272000000.0,51412000000.0,18617000000.0,--,63619000000.0,25327000000.0,54524000000.0,2069000000.0,--,--,269493000000.0,53925000000.0,21779000000.0,-86091000000.0,328223000000.0,47679000000.0,0.0,657000000.0,--,--,378065000000.0,455588000000.0,6228000000.0,2725000000.0,--,-371000000.0,--,464156000000.0,--,-86091000000.0,--,101000000.0,61278000000.0,149677000000.0,258000000.0,--,--,211314000000.0,153271000000.0,34832000000.0,2325000000.0,26345000000.0,--,216773000000.0,--,-5459000000.0,1474000000.0,-68297000000.0,0.0,-68297000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20190816
20190331,--,243235000000.0,--,27458000000.0,21936000000.0,--,183563000000.0,--,476192000000.0,56682000000.0,26521000000.0,--,39791000000.0,21757000000.0,54805000000.0,7772000000.0,--,--,316118000000.0,108790000000.0,160074000000.0,-36865000000.0,351111000000.0,36001000000.0,1294000000.0,535000000.0,--,--,388941000000.0,414091000000.0,9867000000.0,1463000000.0,--,385000000.0,--,425806000000.0,--,-36865000000.0,--,4888000000.0,35566000000.0,78071000000.0,22000000.0,--,--,118547000000.0,99332000000.0,6132000000.0,1262000000.0,71809000000.0,--,178535000000.0,--,-59988000000.0,-1173000000.0,62048000000.0,308024000000.0,370072000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20190430
20181231,--,187197000000.0,--,54655000000.0,6268000000.0,--,65603000000.0,--,313723000000.0,50535000000.0,14920000000.0,--,59226000000.0,4178000000.0,46419000000.0,2282000000.0,--,--,266224000000.0,88664000000.0,47499000000.0,-149750000000.0,254869000000.0,39083000000.0,2619000000.0,-955000000.0,--,--,296822000000.0,436715000000.0,5450000000.0,5589000000.0,--,-1182000000.0,--,446572000000.0,--,-149750000000.0,--,2218000000.0,3946000000.0,207560000000.0,2910000000.0,--,--,264016000000.0,167180000000.0,8627000000.0,66000000.0,--,--,140156000000.0,--,123860000000.0,-138000000.0,21471000000.0,0.0,21471000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20190313
20180930,--,155509000000.0,--,7715000000.0,8370000000.0,--,87362000000.0,--,258956000000.0,47082000000.0,13702000000.0,--,54952000000.0,14625000000.0,19693000000.0,1977000000.0,--,--,239131000000.0,87100000000.0,19825000000.0,-49586000000.0,309431000000.0,38935000000.0,498000000.0,5000000.0,--,--,348869000000.0,391383000000.0,4694000000.0,2413000000.0,--,-35000000.0,--,398455000000.0,--,-49586000000.0,--,0.0,23813000000.0,207440000000.0,10000000.0,--,--,231263000000.0,269439000000.0,29463000000.0,1217000000.0,-12609000000.0,--,287510000000.0,--,-56247000000.0,1461000000.0,-84547000000.0,0.0,-84547000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20181030
20180630,--,155086000000.0,--,19062000000.0,12406000000.0,--,106214000000.0,--,292768000000.0,42600000000.0,14748000000.0,--,50472000000.0,40875000000.0,28631000000.0,1749000000.0,--,--,293699000000.0,114624000000.0,-931000000.0,41430000000.0,384461000000.0,41986000000.0,455000000.0,2361000000.0,--,--,429263000000.0,379387000000.0,6224000000.0,1356000000.0,--,866000000.0,--,387833000000.0,--,41430000000.0,--,1000000000.0,54582000000.0,234208000000.0,387000000.0,--,--,290177000000.0,286638000000.0,17608000000.0,812000000.0,19631000000.0,--,324689000000.0,--,-34512000000.0,2679000000.0,8666000000.0,0.0,8666000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20180822
20180331,--,214228000000.0,--,42956000000.0,29892000000.0,--,193358000000.0,--,480434000000.0,58233000000.0,23120000000.0,--,49306000000.0,9937000000.0,65976000000.0,5163000000.0,--,--,340567000000.0,128832000000.0,139867000000.0,-82520000000.0,398302000000.0,33233000000.0,1000000.0,1503000000.0,--,--,433039000000.0,503806000000.0,9913000000.0,1305000000.0,--,535000000.0,--,515559000000.0,--,-82520000000.0,--,2000000.0,84197000000.0,211574000000.0,294000000.0,--,--,296067000000.0,263389000000.0,5303000000.0,517000000.0,28695000000.0,--,297904000000.0,--,-1837000000.0,-1740000000.0,53770000000.0,308664000000.0,362434000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20180427
20171231,--,177085000000.0,--,27618000000.0,8566000000.0,--,167925000000.0,--,381194000000.0,42018000000.0,10408000000.0,--,42129000000.0,14214000000.0,53900000000.0,1702000000.0,--,--,267732000000.0,103361000000.0,113462000000.0,-74225000000.0,531586000000.0,32621000000.0,17000000.0,-41000000.0,--,--,564183000000.0,619723000000.0,5093000000.0,7510000000.0,--,6082000000.0,--,638408000000.0,--,-74225000000.0,--,4894000000.0,85567000000.0,192080000000.0,1839000000.0,19955000000.0,--,304335000000.0,271738000000.0,4967000000.0,183000000.0,--,--,276888000000.0,--,27447000000.0,-1051000000.0,65633000000.0,0.0,65633000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20180321
20170930,--,122920000000.0,--,34009000000.0,10641000000.0,--,47305000000.0,--,214875000000.0,37076000000.0,13221000000.0,--,43895000000.0,11489000000.0,25023000000.0,1512000000.0,--,--,193079000000.0,60863000000.0,21796000000.0,-40548000000.0,485958000000.0,51795000000.0,124000000.0,301000000.0,--,--,538178000000.0,571889000000.0,3773000000.0,3064000000.0,--,0.0,--,578726000000.0,--,-40548000000.0,--,338000000.0,113493000000.0,213703000000.0,711000000.0,-4086000000.0,--,324159000000.0,263216000000.0,23398000000.0,350000000.0,--,--,286964000000.0,--,37195000000.0,-1342000000.0,17101000000.0,0.0,17101000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20171028
20170630,--,132532000000.0,--,9035000000.0,13470000000.0,--,153326000000.0,--,308363000000.0,36264000000.0,12811000000.0,--,42266000000.0,30088000000.0,18635000000.0,1365000000.0,--,--,280653000000.0,139224000000.0,27710000000.0,-146877000000.0,318276000000.0,39362000000.0,367000000.0,-346000000.0,--,--,357659000000.0,495304000000.0,3500000000.0,5881000000.0,--,-149000000.0,--,504536000000.0,--,-146877000000.0,--,-2027000000.0,60597000000.0,232528000000.0,1059000000.0,--,--,327903000000.0,272806000000.0,4263000000.0,-1691000000.0,--,--,264224000000.0,--,63679000000.0,-1085000000.0,-56573000000.0,0.0,-56573000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20170818
20170331,--,172432000000.0,--,31129000000.0,18215000000.0,--,50365000000.0,--,272141000000.0,37994000000.0,21606000000.0,--,39604000000.0,9440000000.0,71259000000.0,3608000000.0,--,--,313826000000.0,130315000000.0,-41685000000.0,-93117000000.0,623322000000.0,41053000000.0,63000000.0,1071000000.0,--,--,665509000000.0,748212000000.0,5790000000.0,2802000000.0,--,1822000000.0,--,758626000000.0,--,-93117000000.0,--,2390000000.0,88389000000.0,315328000000.0,2227000000.0,--,--,408334000000.0,339495000000.0,4759000000.0,2659000000.0,11154000000.0,--,358067000000.0,--,50267000000.0,-514000000.0,-85049000000.0,367552000000.0,282503000000.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20170428
