报告期,经营活动产生的现金流量*,销售商品、提供劳务收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入（金融类）,保户储金净增加额,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息和手续费净增加额,收到原保险合同保费取得的现金,收到再保业务现金净额,处置交易性金融资产净增加额,拆入资金净增加额,回购业务资金净增加额,经营活动现金流入差额（特殊报表项目）,经营活动现金流入差额（合计平衡项目）,经营活动现金流入小计*,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出（金融类）,客户贷款及垫款净增加额,存放央行和同业款项净增加额,支付原保险合同赔付款项的现金,支付手续费的现金,支付保单红利的现金,经营活动现金流出差额（特殊报表科目）,经营活动现金流出差额（合计平衡项目）,经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目)）,经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额（特殊报表科目）,投资活动现金流入差额（合计平衡项目）,投资活动现金流入小计*,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出差额（特殊报表科目）,投资活动现金流出差额（合计平衡项目）,投资活动现金流出小计*,投资活动产生的现金流量净额差额（合计平衡项目）,投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,发行债券收到的现金,筹资活动现金流入差额（特殊报表科目）,筹资活动现金流入差额（合计平衡项目）,筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出差额（特殊报表科目）,筹资活动现金流出差额（合计平衡项目）,筹资活动现金流出小计*,筹资活动产生的现金流量净额差额（合计平衡项目）,筹资活动产生的现金流量净额*,汇率变动对现金的影响*,直接法-现金及现金等价物净增加额差值（特殊报表科目）,直接法-现金及现金等价物净增加额差值（合计平衡项目）,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,未确认投资损失,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),公告日期#
20220930,--,511652942.48,--,2748762.82,0.0,--,--,--,--,--,--,--,--,--,--,--,--,514401705.3,308339819.54,30596503.54,12139864.72,9300738.09,0.0,--,--,--,--,--,--,--,360376925.89,--,154024779.41,--,--,--,10086085.0,--,--,--,--,10086085.0,1215065.12,--,--,--,--,--,25470065.12,--,-15383980.12,--,--,--,405000000.0,--,--,--,--,405000000.0,535000000.0,16169251.06,--,0.0,--,--,551169251.06,--,-146169251.06,--,--,--,-7528451.77,0.0,-7528451.77,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221031
20220630,--,592662313.95,--,13964046.1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,606626360.05,423732859.03,31810256.53,37831990.04,8123591.49,0.0,--,--,--,--,--,--,--,501498697.09,--,105127662.96,--,--,--,23597.0,--,--,--,--,23597.0,2238276.02,--,--,--,--,--,2238276.02,--,-2214679.02,--,--,--,1669000000.0,--,--,--,--,1669000000.0,1730000000.0,17513928.97,--,--,--,--,1754007428.97,--,-85007428.97,--,--,--,17905554.97,0.0,17905554.97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220827
20220331,--,478666546.86,--,10326275.56,0.0,--,--,--,--,--,--,--,--,--,--,--,--,488992822.42,372973850.97,40512977.47,9020661.98,20668955.26,0.0,--,--,--,--,--,--,--,443176445.68,--,45816376.74,--,--,--,7000.0,--,--,--,--,7000.0,4880515.41,--,--,--,--,--,4880515.41,--,-4873515.41,--,--,--,162500000.0,--,--,--,--,162500000.0,292500000.0,17932413.13,--,--,--,--,310432413.13,--,-147932413.13,--,--,--,-106989551.8,127009848.25,20020296.45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220430
20211231,--,535175945.07,--,8652177.44,0.0,--,--,--,--,--,--,--,--,--,--,--,--,543828122.51,367564369.01,31382379.12,34756170.12,927392.51,0.0,--,--,--,--,--,--,--,434630310.76,--,109197811.75,--,--,--,569908.8,--,--,--,--,569908.8,379352.91,--,--,--,--,--,379352.91,--,190555.89,--,--,--,0.0,--,--,--,--,0.0,110000000.0,18971027.72,--,3705506.42,--,--,132676534.14,--,-132676534.14,--,--,--,-23296200.5,0.0,-23296200.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220430
20210930,--,577130437.65,--,13599624.54,0.0,--,--,--,--,--,--,--,--,--,--,--,--,590730062.19,307019044.51,29805675.41,10837606.21,14685516.86,0.0,--,--,--,--,--,--,--,362347842.99,--,228382219.2,--,--,--,100000.0,--,--,--,--,100000.0,6235240.41,--,--,--,--,--,6235240.41,--,-6135240.41,--,--,--,10000000.0,--,--,--,--,10000000.0,190000000.0,20979997.19,--,0.0,--,--,210979997.19,--,-200979997.19,--,--,--,21266981.6,0.0,21266981.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211030
20210630,--,417304747.5,--,-173752.65,0.0,--,--,--,--,--,--,--,--,--,--,--,--,417130994.85,317119708.29,29905560.39,5833203.19,12333078.4,0.0,--,--,--,--,--,--,--,365191550.27,--,51939444.58,--,--,--,--,--,--,--,--,--,31103816.12,--,--,--,--,--,31103816.12,--,-31081516.12,--,--,--,--,--,--,--,--,--,1029750000.0,21439547.5,--,--,--,--,1057279547.5,--,90470452.5,--,--,--,111328380.96,0.0,111328380.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210831
20210331,--,412996700.26,--,13337822.6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,426334522.86,492361504.84,39267902.44,6952241.64,10307040.82,0.0,--,--,--,--,--,--,--,548888689.74,--,-122554166.88,--,--,--,--,--,--,--,--,--,6832026.94,--,--,--,--,--,6832026.94,--,-6832026.94,--,--,--,--,--,--,--,--,--,118000000.0,20487426.1,--,--,--,--,138487426.1,--,-138487426.1,--,--,--,-267873619.92,285584306.11,17710686.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210430
20201231,--,804214187.83,--,8557778.64,0.0,--,--,--,--,--,--,--,--,--,--,--,--,812771966.47,597540910.61,24908319.19,6212052.94,5016193.4,0.0,--,--,--,--,--,--,--,633677476.14,--,179094490.33,--,--,--,--,--,--,--,--,--,27961824.48,--,--,4309592.04,--,--,32271416.52,--,-31719116.38,--,--,--,20000000.0,--,--,--,--,20000000.0,0.0,12537353.87,--,--,--,--,18627353.87,--,1372646.13,--,--,--,148748020.08,0.0,148748020.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210430
20200930,--,447178963.56,--,36384296.62,0.0,--,--,--,--,--,--,--,--,--,--,--,--,483563260.18,433520554.29,30266011.57,3298729.18,14636210.45,0.0,--,--,--,--,--,--,--,481721505.49,--,1841754.69,--,--,--,--,--,--,--,--,--,41609658.03,--,--,5052201.55,--,--,46661859.58,--,-46661859.58,--,--,--,80000000.0,--,--,--,--,80000000.0,0.0,25786559.86,--,--,--,--,25786559.86,--,54213440.14,--,--,--,9393335.25,0.0,9393335.25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201031
20200630,--,353083564.03,--,13320918.76,0.0,--,--,--,--,--,--,--,--,--,--,--,--,366404482.79,289258649.37,28324140.94,4529024.23,7472269.49,0.0,--,--,--,--,--,--,--,329584084.03,--,36820398.76,--,--,--,--,--,--,--,--,--,6870756.53,--,--,2285300.38,--,--,9156056.91,--,-9156056.91,--,--,--,--,--,--,--,--,--,--,23112702.79,--,--,--,--,1100862702.79,--,-23112702.79,--,--,--,4551639.06,0.0,4551639.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200831
