报告期,营业收入*,手续费及佣金净收入,代理买卖证券业务净收入,证券承销业务净收入,受托客户资产管理业务净收入,利息净收入,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出,营业支出*,营业税金及附加,管理费用,其他资产减值损失,其他业务成本,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20190930,5218241623.62,2386656822.41,1513738111.5,519796882.18,269235523.35,555080328.83,1465368625.07,45233058.98,--,706080497.94,-548316.09,12768099.76,92691470.01,144095.69,3340251635.87,3340251635.87,33266380.81,3068812211.61,401735.43,87191239.8,--,--,1877989987.75,19739657.2,20111858.87,--,--,--,1877617786.08,459261856.91,--,--,--,1418355929.17,-44353540.17,1462709469.34,136850060.06,1555205989.23,-39070196.8,1594276186.03,--,0.26,0.26,20191026
20190630,3728303476.93,1682526798.26,1038849732.97,395802689.07,191563832.85,353846185.15,1152968135.78,27169298.39,--,450787010.33,233673.72,9980582.91,77909880.13,51210.65,2309377889.81,2309377889.81,23454155.93,2216421961.16,401735.43,74059941.23,--,--,1418925587.12,15039855.6,19636682.22,--,--,--,1414328760.5,348145038.61,--,--,--,1066183721.89,-20554810.83,1086738532.72,131362539.62,1197546261.51,-19594058.3,1217140319.81,--,0.2,0.19,20190830
20190331,2419243689.78,873154125.81,521398348.88,234840560.38,99699018.4,156943980.27,535650225.97,17685250.57,--,817040044.98,-729772.15,1297405.82,35879663.74,8015.34,1405335879.05,1405335879.05,11989279.46,1452642377.06,-71122.66,34086626.3,--,--,1013907810.73,9468225.81,18448146.98,--,--,--,1004927889.56,249450127.41,--,--,--,755477762.15,-9719490.2,765197252.35,126910709.21,882388471.36,-14741077.75,897129549.11,--,0.14,0.13,20190427
20181231,4369208710.77,2720300911.85,1589253860.42,551450872.75,466528508.04,472755273.32,1857054909.29,38272496.86,--,-918775029.72,2918777.74,32783092.59,202053359.82,117415.88,4137920645.75,4137920645.75,39232646.65,3587967694.73,--,198236746.09,--,--,231288065.02,34651735.48,17754282.92,--,--,--,248185517.58,21215727.51,--,--,--,226969790.07,-30232168.62,257201958.69,-318431025.71,-91461235.64,-18863944.97,-72597290.67,--,0.05,0.05,20190420
20180930,3584696916.32,1976492024.12,1263130017.78,347526664.97,303082699.02,423100604.72,1319644725.77,61088653.97,--,-316790283.14,2975121.61,6991652.24,172167219.56,115851.44,2892370063.69,2892370063.69,30759523.33,2562580742.07,--,168780239.77,--,--,692326852.63,51092966.52,5625996.45,--,--,--,737793822.7,154075044.2,--,--,--,583718778.5,12582213.79,571136564.71,-70022639.75,513696138.75,24330483.01,489365655.74,--,0.1,0.1,20181030
20180630,2351027926.23,1398183367.04,891346951.15,243593247.49,218186864.36,315552849.69,761999542.23,45261500.74,--,-259930693.83,1254525.28,5321295.93,128524482.47,122557.42,1868272429.23,1868272429.23,21423356.86,1671106264.18,--,126813547.94,--,--,482755497.0,12634535.9,3298610.42,--,--,--,492091422.48,105316941.61,--,--,--,386774480.87,8908973.19,377865507.68,-149741694.63,237032786.24,10368805.64,226663980.6,--,0.07,0.07,20180811
20180331,1376119685.31,773618544.5,470903722.69,160484992.36,120600836.57,167512347.3,338968894.32,22635568.26,--,27390935.34,-1212098.23,2113545.52,67729270.58,-1754.02,945776563.23,945776563.23,11247987.62,856143242.52,--,67092545.87,--,--,430343122.08,1742052.99,391002.78,--,--,--,431694172.29,104082306.77,--,--,--,327611865.52,5426659.71,322185205.81,-18320324.41,309291541.11,-3960459.1,313252000.21,--,0.06,0.06,20180428
20171231,5664107738.63,3205526881.26,1773215162.38,708070669.21,639033712.95,1130854910.67,1138659246.76,110326262.2,--,48059935.34,-264321.17,24056813.49,117189341.92,24930.36,3732026037.33,3732026037.33,42891665.23,3500642461.12,--,112849259.2,--,--,1932081701.3,39901791.57,11292671.1,--,--,--,1960690821.77,417346878.35,--,--,--,1543343943.42,-1768430.9,1545112374.32,258717929.48,1802061872.9,-15943007.11,1818004880.01,--,0.28,0.28,20180426
20170930,4373992386.06,2414269743.44,1329387705.01,554312441.98,479613889.36,893841996.87,871149843.59,86261118.93,--,105251240.24,-192912.07,6636110.46,83011433.17,24930.36,2479720629.09,2479720629.09,32566296.53,2367657944.39,--,79859271.16,--,--,1894271756.97,17389156.66,4571316.97,2724106.79,--,--,1907089596.66,402405403.74,--,--,--,1504684192.92,18744030.85,1485940162.07,333926007.7,1838610200.62,7581047.07,1831029153.55,--,0.27,0.27,20171027
20170630,2763663277.55,1472490541.07,794953031.11,350045818.71,285997504.87,662659692.0,477141084.12,56083123.19,--,97795975.23,38217.15,--,53512837.62,24930.36,1518261965.69,1518261965.69,20974605.99,1439626095.02,--,53046804.62,--,--,1245401311.86,15232984.46,3353894.07,2198950.04,--,--,1257280402.25,249213014.9,--,--,--,1008067387.35,13051995.61,995015391.74,246816982.42,1254884369.77,6651215.69,1248233154.08,--,0.18,0.18,20170812
20170331,1203788277.04,669277612.8,392646479.96,133872757.27,128179449.29,337165031.47,235905834.53,26635128.78,--,-46712404.5,164528.26,--,7942488.56,45185.92,702688263.65,702688263.65,10028333.26,679463713.44,--,7306559.25,--,--,501100013.39,7143658.78,939013.07,50843.61,--,--,507304659.1,72248895.81,--,--,--,435055763.29,2807403.76,432248359.53,135323473.78,570379237.07,1374176.41,569005060.66,--,0.08,0.08,20170422
20161231,5857472375.4,3502006216.18,2111083760.15,690320140.08,628505026.29,1354563710.05,1148409420.68,120082881.49,--,-227375985.51,1948459.12,--,77803518.55,117036.33,3157238065.7,3157238065.7,186649497.85,2811362049.48,--,70999113.93,--,--,2700234309.7,39583892.72,3959405.11,2066702.11,--,--,2735858797.31,518982497.88,--,--,--,2216876299.43,10300259.29,2206576040.14,-113773208.62,2103103090.81,21935835.72,2081167255.09,--,0.44,0.44,20170322
