报告期,营业总收入*,营业收入,其他类金融业务收入,利息收入,已赚保费,手续费及佣金收入,营业总成本*,营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,资产减值损失,信用减值损失,其他业务成本（金融类）,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,加：其他收益,投资净收益,其中：对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,资产处置收益,汇兑净收益,加：营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加：营业外收入,减：营业外支出,其中:非流动资产处置净损失,加：利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减：所得税,加：未确认的投资损失,加：净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,持续经营净利润,终止经营净利润,减：少数股东损益,归属于母公司所有者净利润,加：其他综合收益,综合收益总额*,减：归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,767600367.4,767600367.4,0.0,--,--,--,684297911.36,577198142.61,6633050.64,7952713.57,62623783.9,27114222.73,2775997.91,8147796.85,-276364.45,811901.39,392460.18,0.0,--,--,--,--,--,--,--,1911574.71,165693.59,165693.59,--,-370562.69,-1708.96,--,--,--,86211814.26,777080.0,881282.33,--,--,--,86107611.93,8278978.53,--,--,--,77828633.4,77828633.4,--,2523500.34,75305133.06,--,77828633.4,2523500.34,75305133.06,--,0.16,0.15,20221031
20220630,1018682445.84,1018682445.84,0.0,--,--,--,856720910.73,747628154.38,7363317.21,7553448.81,62265347.95,27953455.99,3957186.39,15862114.5,-669491.53,962078.8,55929.39,0.0,--,--,--,--,--,--,--,1968686.48,322307.48,--,--,-346640.07,14357.21,--,--,--,164938254.4,458459.11,1209830.04,--,--,--,164186883.47,19140355.17,--,--,--,145046528.3,145046528.3,--,1909077.98,143137450.32,--,145046528.3,1909077.98,143137450.32,--,0.28,0.28,20220819
20220331,790212377.27,790212377.27,0.0,--,--,--,668614533.92,549284120.74,3878603.42,7581391.5,72320174.85,27318027.86,8232215.55,748027.7,62121.51,-2306065.79,-1120440.64,0.0,--,--,--,--,--,--,--,2464215.57,-2019030.45,--,--,-554261.75,137317.17,--,--,--,118199577.46,1174432.25,2217187.91,--,--,--,117156821.8,17460357.3,--,--,--,99696464.5,99696464.5,--,136304.68,99560159.82,--,99696464.5,136304.68,99560159.82,--,0.2,0.2,20220422
20211231,665526361.14,665526361.14,0.0,--,--,--,581016589.86,478479230.79,7227974.45,5780209.37,58522901.37,23507989.87,7498284.01,7048599.24,2600024.58,-3202028.27,-684899.86,0.0,--,--,--,--,--,--,--,1695888.54,91806.02,--,--,-607562.44,-238808.03,--,--,--,81564167.24,592365.34,11410084.0,--,--,--,70746448.58,7106937.75,--,--,--,63639510.83,63639510.83,--,438531.29,63200979.54,--,63639510.83,438531.29,63200979.54,--,0.13,0.13,20220422
20210930,799676830.15,799676830.15,0.0,--,--,--,704189250.28,596605885.22,7905272.29,6236069.67,63838976.8,22554562.24,7048484.06,7227452.45,-388760.85,14406.91,976014.69,0.0,--,--,--,--,--,--,--,1679416.26,118786.23,--,--,-59568.25,343771.7,--,--,--,98560407.41,-42531.41,1476072.4,--,--,--,97041803.6,3312220.48,--,--,--,93729583.12,93729583.12,--,84065.88,93645517.24,--,93729583.12,84065.88,93645517.24,--,0.18,0.18,20211022
20210630,860396212.83,860396212.83,0.0,--,--,--,737976111.58,636744389.02,9875526.08,6785564.06,51330428.28,21192889.29,12047314.85,11186483.76,-1144161.84,203353.17,3834164.04,0.0,--,--,--,--,--,--,--,1139030.51,531026.38,--,--,-446956.8,-413163.63,--,--,--,127267554.92,1741041.72,2688255.85,--,--,--,126320340.79,8636632.49,--,--,--,117683708.3,117683708.3,--,296587.47,117387120.83,--,117683708.3,296587.47,117387120.83,--,0.24,0.24,20210820
20210331,667629736.56,667629736.56,0.0,--,--,--,629599761.44,534403766.17,5722935.01,6289495.85,57032807.87,15486690.2,10664066.34,11410691.83,428456.0,2502966.15,-2126659.12,0.0,--,--,--,--,--,--,--,2508496.11,1817626.91,--,--,-926661.78,-42791.31,--,--,--,41762952.08,38953.85,1653686.39,--,--,--,40148219.54,3374930.51,--,--,--,36773289.03,36773289.03,--,337316.88,36435972.15,--,36773289.03,337316.88,36435972.15,--,0.08,0.08,20210427
20201231,353485474.78,353485474.78,0.0,--,--,--,325522598.36,281707134.4,1513208.37,-19183222.26,45289476.65,11863169.92,4332831.28,3395048.82,2273527.82,-1405678.5,-616740.94,0.0,--,--,--,--,--,--,--,789433.96,2137304.7,--,--,-644990.08,-2142860.76,--,--,--,26079344.8,1779078.29,2995392.14,--,--,--,24863030.95,999735.09,--,--,--,23863295.86,23863295.86,--,743286.15,23120009.71,--,23863295.86,743286.15,23120009.71,--,0.06,0.06,20210330
20200930,377146954.2,377146954.2,0.0,--,--,--,326740669.25,253243790.21,1718613.79,15769664.58,40023518.54,13883535.48,2101546.65,55055.24,-1458752.01,-208017.01,50352.21,0.0,--,--,--,--,--,--,--,1449029.02,729183.57,--,--,-149969.34,18546.26,--,--,--,52295409.66,111710.25,573460.97,--,--,--,51833658.94,6352301.41,--,--,--,45481357.53,45481357.53,--,152352.11,45329005.42,--,45481357.53,152352.11,45329005.42,--,0.1,0.1,20201028
20200630,337988972.63,337988972.63,0.0,--,--,--,279749801.08,219492776.72,2459424.67,12009072.5,34610611.93,11182997.99,-5082.73,--,322920.78,-347960.5,1039102.94,0.0,--,--,--,--,--,--,--,919653.82,1714948.49,--,--,--,-262818.45,--,--,--,60092089.47,--,865893.98,--,--,--,62280703.32,8576292.21,--,--,--,53704411.11,53704411.11,--,491184.59,53213226.52,--,53704411.11,491184.59,53213226.52,--,0.12,0.12,20200821
