报告期,经营活动产生的现金流量*,处置交易性金融资产净增加额,处置可供出售金融资产净增加额,收取利息和手续费净增加额,拆入/拆出资金净增加额,回购业务资金净增加额,收到其他与经营活动有关的现金,代理买卖证券收到的现金净额,经营活动现金流入差额(特殊报表科目),经营活动现金流入差额(合计平衡项目),经营活动现金流入小计*,支付给职工以及为职工支付的现金,拆入/拆出资金净减少额,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出差额(特殊报表科目),经营活动现金流出差额(合计平衡项目),经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目),经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额(特殊报表科目),投资活动现金流入差额(合计平衡项目),投资活动现金流入小计*,投资支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,支付其他与投资活动有关的现金,投资活动现金流出差额(特殊报表科目),投资活动现金流出差额(合计平衡项目),投资活动现金流出小计*,投资活动产生的现金流量净额差额(合计平衡项目),投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入差额(特殊报表科目),筹资活动现金流入差额(合计平衡项目),筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出差额(特殊报表科目),筹资活动现金流出差额(合计平衡项目),筹资活动现金流出小计*,筹资活动产生的现金流量净额差额(合计平衡项目),筹资活动产生的现金流量净额*,汇率变动对现金的影响*,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加:资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),间接法-经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减:现金的期初余额,加:现金等价物的期末余额,减:现金等价物的期初余额,加:间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),间接法-现金及现金等价物净增加额,公告日期#
20200630,--,--,--,4619240717.84,--,--,1132054000.34,176339824.13,--,--,-5074195187.64,685389945.61,360000000.0,1009151720.05,2508840007.37,-7223694280.76,--,3198100567.6,--,-8272295755.24,--,2536682795.39,444991018.12,--,356163.62,--,--,2982029977.13,--,30945930.37,--,--,--,-157632487.14,--,3139662464.27,--,--,--,38399270000.0,0.0,--,--,37687965992.84,34866808622.87,1785070767.76,--,--,--,36651879390.63,--,1036086602.21,6904110.1,-4089642578.66,0.0,-4089642578.66,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200829
20200331,--,11001829729.95,--,4539864065.62,--,--,1995959148.63,15277419816.53,--,--,32815072760.73,1352785829.91,2500000000.0,964115176.32,1674636092.3,7668983427.04,--,16439042863.55,--,16376029897.18,--,491614148.84,489270207.32,--,63861.72,--,--,980948217.88,188578417.51,16361836.59,--,--,--,204940254.1,--,776007963.78,--,--,711304007.16,37614520000.0,663954452.56,--,--,38989778459.72,34406208837.42,1701161447.48,--,--,--,36107370284.9,--,2882408174.82,194488875.86,20228934911.64,74339314719.3,94568249630.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200429
20191231,--,--,--,3722471517.76,--,-597037316.36,1602801147.3,-987795480.28,--,--,7240439868.42,866726501.33,--,679987819.62,3814843211.74,1364443052.19,--,8538631509.96,--,-1298191641.54,--,--,1114621264.18,--,730467.11,--,--,1115351731.29,-881785426.28,115184533.75,--,--,--,-766600892.53,--,1881952623.82,--,--,1347360046.94,33472700000.0,--,--,--,34820060046.94,37343201626.22,991528255.57,--,--,--,38998684334.35,--,-4178624287.41,-19576491.9,-3614439797.03,0.0,-3614439797.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20200328
20190930,--,--,--,3925975072.97,--,1199139539.28,2562450453.94,-1976338392.94,--,--,2711226673.25,992311080.19,--,362311045.05,1437378833.69,--,--,13170915328.87,--,-10459688655.62,--,--,445037711.28,--,205811.96,--,--,-3019336137.18,--,43739387.89,--,--,--,4907604337.25,--,-7926940474.43,--,--,-233507316.93,29290550000.0,--,--,--,29057042683.07,12021672844.04,2353755511.38,--,--,--,14375428355.42,--,14681614327.65,212939252.19,-3492075550.21,0.0,-3492075550.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20191030
20190630,--,--,--,3922756114.45,--,26609993974.74,583200433.41,-8317869812.07,--,--,24272629804.23,1413474750.13,--,818603681.69,570476231.52,--,--,25408625351.92,--,-1135995547.69,--,-1922883211.71,451482190.54,--,177476.45,--,--,-1471223544.72,--,37329292.94,--,--,--,37329292.94,--,-1508552837.66,--,--,-675412720.35,24654790000.0,--,--,--,23979377279.65,23505384000.55,1685104676.24,--,--,--,25190488676.79,--,-1211111397.14,222631005.96,-3633028776.53,0.0,-3633028776.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20190829
20190331,--,1525450906.3,--,3717076196.63,--,6326926142.92,1487898050.39,23750007308.25,--,--,36807358604.49,1171034586.79,3500000000.0,1027093636.13,1145085406.82,--,--,13924930024.14,--,22882428580.35,--,5387462872.13,411384021.33,--,679721.38,--,--,5799526614.84,--,45084322.16,--,--,--,45084322.16,--,5754442292.68,--,--,1009093541.86,21866800000.0,--,--,--,22875893541.86,25428158285.02,1979444480.8,87079981.65,--,--,27407602765.82,--,-4531709223.96,-196953237.63,23908208411.44,61170650431.63,85078858843.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20190426
20181231,--,--,--,3689887839.68,--,10103602177.72,151648580.51,--,4547784934.0,--,18055731768.64,916485846.45,--,250645581.28,797362176.34,--,--,12325074734.43,--,5730657034.21,--,--,1063882467.12,--,722938.06,--,--,1064605405.18,11363604058.7,275098355.6,--,--,--,11638702414.3,--,-10574097009.12,--,--,256816500.0,18259680000.0,--,--,--,18516496500.0,18708208199.92,1130445622.5,4900000.0,--,--,19843553822.42,--,-1327057322.42,-44295129.35,-6214792426.68,0.0,-6214792426.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20190329
20180930,--,--,--,3061288574.79,--,11751244464.22,307535776.41,-2631653528.46,5938518609.09,--,16896933896.05,1973842086.85,--,259193906.0,995361427.16,--,--,5431446632.46,--,11465487263.59,--,--,236775214.53,--,285962.15,--,--,237061176.68,5420167495.58,74495627.54,--,--,--,5494663123.12,--,-5257601946.44,--,--,0.0,20299780000.0,--,--,--,20299780000.0,27459748806.06,3174082392.23,6615000.0,--,--,30640446198.29,--,-10340666198.29,388872058.44,-3743908822.7,0.0,-3743908822.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20181030
20180630,--,--,--,4234327413.74,-2000000000.0,--,-465852394.04,-4013714396.53,5483456880.01,--,3358005191.02,866913908.28,--,531774480.36,-276575454.09,--,--,1787704658.57,--,1570300532.45,--,--,309899818.25,--,-102107.52,--,--,-899887956.41,--,68082749.99,--,--,--,2992472620.77,--,-3892360577.18,--,--,19938064.02,20648940000.0,--,--,--,20668878064.02,20875537377.56,1446320105.26,--,--,--,22322340954.87,--,-1653462890.85,440817281.88,-3534705653.7,0.0,-3534705653.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20180830
20180331,--,8893164999.19,--,3902671068.11,3530000000.0,--,1929521103.43,9112559688.26,1269828923.95,--,28637745782.94,1039257778.36,--,624725306.23,1823542018.54,9086614763.26,--,13238482764.19,--,15399263018.75,--,1209685667.14,289617102.91,--,389721.83,--,--,1499692491.88,--,43662122.9,--,--,--,43662122.9,--,1456030368.98,--,--,22613186.87,19727320000.0,--,--,--,19749933186.87,25807679679.69,1703732086.21,--,--,--,27511411765.9,--,-7761478579.03,-354194467.46,8739620341.24,65924436993.47,74664057334.71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20180427
20171231,--,--,--,4086594315.61,--,--,-825891166.89,--,--,--,-2809296851.28,817061908.43,--,530918369.15,676640028.14,-433677133.39,--,22612068250.22,--,-25421365101.5,--,--,276396133.08,--,328708.94,--,--,276724842.02,2513972810.72,135733556.51,--,--,--,2649706367.23,--,-2372981525.21,--,0.0,789551412.61,38598060000.0,--,--,--,39387611412.61,14658990668.44,422831359.74,--,--,--,15111251963.43,--,24276359449.18,-143251716.85,-3661238894.38,0.0,-3661238894.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20180328
20170930,--,--,--,4251842319.82,5820000000.0,--,1300302460.67,--,--,--,5780716118.77,1887778875.9,--,304294131.68,846374451.25,12012661799.36,--,23929053112.82,--,-18148336994.05,--,--,301151875.77,--,260094.03,--,--,301411969.8,5249308529.63,60249724.65,--,--,--,5309558254.28,--,-5008146284.48,--,0.0,1818335854.47,25364790000.0,--,--,--,27183125854.47,6340870000.0,1411210708.37,--,--,--,7752080708.37,--,19431045146.1,-255327399.15,-3980765531.58,0.0,-3980765531.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20171028
20170630,--,--,--,4003736986.04,--,--,1084065852.97,--,--,--,10929231500.73,863592808.91,--,721039998.17,1335476142.81,2220213157.3,--,4697291734.9,--,6231939765.83,--,--,202316295.31,--,406095.88,--,--,-2718390766.73,--,48466253.75,--,--,--,580639779.31,--,-3299030546.04,--,6004500000.0,653970578.09,9042780000.0,--,--,--,15701250578.09,19066720000.0,1323210860.51,--,--,--,20389930860.51,--,-4688680282.42,-192347847.34,-1948118909.97,0.0,-1948118909.97,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20170825
20170331,--,--,--,3418403584.96,--,--,839003386.44,--,--,--,4257406971.4,883690110.71,300000000.0,319598620.58,621297677.85,5390731774.5,--,9473739567.92,--,-5216332596.52,--,2921113157.92,151291308.63,--,518460.06,--,--,3072922926.61,--,24467237.86,--,--,--,24467237.86,--,3048455688.75,--,9000000000.0,1583119524.88,19843950000.0,--,--,--,30427069524.88,30794220000.0,1991843217.8,--,--,--,32786063217.8,--,-2358993692.92,-79937538.66,-4606808139.35,80121368468.75,75514560329.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20170429
