报告期,营业收入*,已赚保费,保费业务收入,其中:分保费收入,减:分出保费,提取未到期责任准备金,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出*,退保金,赔付支出,减:摊回赔付支出,提取保险责任准备金,减:摊回保险责任准备金,保户红利支出,分保费用,营业税金及附加,手续费及佣金支出,管理费用,减:摊回分保费用,其他业务成本,资产减值损失,信用减值损失,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20200630,629956000000.0,415754000000.0,445505000000.0,67000000.0,12069000000.0,17682000000.0,55945000000.0,8007000000.0,--,-4863000000.0,140000000.0,1501000000.0,30889000000.0,59000000.0,538931000000.0,17300000000.0,113098000000.0,4885000000.0,177676000000.0,963000000.0,13374000000.0,5000000.0,2388000000.0,57349000000.0,80884000000.0,3400000000.0,30772000000.0,--,40526000000.0,--,--,91025000000.0,150000000.0,415000000.0,--,--,--,90760000000.0,14792000000.0,--,--,--,75968000000.0,7285000000.0,68683000000.0,-12013000000.0,63955000000.0,7111000000.0,56844000000.0,--,3.88,3.86,20200828
20200331,328172000000.0,240722000000.0,257940000000.0,24000000.0,6608000000.0,10610000000.0,23881000000.0,4623000000.0,--,-16841000000.0,-44000000.0,727000000.0,15268000000.0,36000000.0,290699000000.0,6936000000.0,52470000000.0,2219000000.0,112584000000.0,738000000.0,10199000000.0,3000000.0,1200000000.0,29463000000.0,39820000000.0,1790000000.0,19016000000.0,--,16705000000.0,--,--,37473000000.0,76000000.0,197000000.0,--,--,--,37352000000.0,7018000000.0,--,--,--,30334000000.0,4271000000.0,26063000000.0,-2874000000.0,27460000000.0,4994000000.0,22466000000.0,--,1.47,1.46,20200424
20191231,1168867000000.0,748779000000.0,795064000000.0,115000000.0,21370000000.0,24915000000.0,77497000000.0,23224000000.0,--,44091000000.0,779000000.0,3036000000.0,60172000000.0,105000000.0,983839000000.0,26661000000.0,225030000000.0,11263000000.0,287028000000.0,107000000.0,19329000000.0,13000000.0,4272000000.0,114753000000.0,172892000000.0,7572000000.0,85537000000.0,--,65270000000.0,--,--,185028000000.0,427000000.0,716000000.0,--,--,--,184739000000.0,20374000000.0,--,--,--,164365000000.0,14958000000.0,149407000000.0,9232000000.0,173597000000.0,15671000000.0,157926000000.0,--,8.41,8.38,20200221
20190930,892751000000.0,580666000000.0,615067000000.0,77000000.0,16365000000.0,18036000000.0,63330000000.0,17288000000.0,--,28809000000.0,241000000.0,2137000000.0,43938000000.0,91000000.0,731628000000.0,19610000000.0,164939000000.0,7753000000.0,219731000000.0,508000000.0,16358000000.0,108000000.0,3137000000.0,88395000000.0,123486000000.0,5248000000.0,48846000000.0,--,44423000000.0,--,--,161123000000.0,306000000.0,528000000.0,--,--,--,160901000000.0,19153000000.0,--,--,--,141748000000.0,12181000000.0,129567000000.0,-1616000000.0,140132000000.0,12733000000.0,127399000000.0,--,7.29,7.26,20191025
20190630,639155000000.0,421432000000.0,446481000000.0,74000000.0,11623000000.0,13426000000.0,44398000000.0,12164000000.0,--,27876000000.0,457000000.0,1250000000.0,28474000000.0,99000000.0,522760000000.0,13110000000.0,111455000000.0,4899000000.0,175227000000.0,310000000.0,13776000000.0,134000000.0,2044000000.0,61523000000.0,81010000000.0,3667000000.0,32619000000.0,--,30003000000.0,--,--,116395000000.0,204000000.0,360000000.0,--,--,--,116239000000.0,10501000000.0,--,--,--,105738000000.0,8062000000.0,97676000000.0,-814000000.0,104924000000.0,8455000000.0,96469000000.0,--,5.48,5.47,20190816
20190331,378161000000.0,256098000000.0,274386000000.0,38000000.0,6574000000.0,11714000000.0,16078000000.0,4711000000.0,--,34170000000.0,555000000.0,498000000.0,14587000000.0,22000000.0,314857000000.0,6790000000.0,58850000000.0,2439000000.0,129471000000.0,134000000.0,10477000000.0,82000000.0,1053000000.0,32767000000.0,40759000000.0,2078000000.0,20239000000.0,--,14244000000.0,--,--,63304000000.0,101000000.0,145000000.0,--,--,--,63260000000.0,13936000000.0,--,--,--,49324000000.0,3807000000.0,45517000000.0,-2318000000.0,47006000000.0,4086000000.0,42920000000.0,--,2.55,2.55,20190430
20181231,976832000000.0,677703000000.0,719556000000.0,115000000.0,19417000000.0,22436000000.0,74589000000.0,18074000000.0,--,-28284000000.0,-946000000.0,2785000000.0,50503000000.0,-38000000.0,813494000000.0,21539000000.0,203323000000.0,9466000000.0,190990000000.0,642000000.0,16445000000.0,11000000.0,3884000000.0,130383000000.0,147697000000.0,7966000000.0,45255000000.0,--,52105000000.0,--,--,163338000000.0,385000000.0,572000000.0,--,--,--,163151000000.0,42699000000.0,--,--,--,120452000000.0,13048000000.0,107404000000.0,2137000000.0,122589000000.0,13602000000.0,108987000000.0,--,6.02,6.01,20190313
20180930,752478000000.0,530265000000.0,561835000000.0,70000000.0,14727000000.0,16843000000.0,53877000000.0,11702000000.0,--,-18902000000.0,-1135000000.0,1410000000.0,37430000000.0,27000000.0,630115000000.0,16572000000.0,152267000000.0,6726000000.0,167443000000.0,291000000.0,13251000000.0,5000000.0,2840000000.0,102926000000.0,103533000000.0,5472000000.0,33648000000.0,872000000.0,35809000000.0,--,--,122363000000.0,268000000.0,220000000.0,--,--,--,122411000000.0,32922000000.0,--,--,--,89489000000.0,10092000000.0,79397000000.0,1603000000.0,91092000000.0,10470000000.0,80622000000.0,--,4.45,4.44,20181030
20180630,536300000000.0,386286000000.0,408194000000.0,52000000.0,10491000000.0,11417000000.0,33798000000.0,8798000000.0,--,-11147000000.0,-769000000.0,599000000.0,24178000000.0,67000000.0,449576000000.0,11604000000.0,104402000000.0,4329000000.0,140840000000.0,111000000.0,10506000000.0,4000000.0,1895000000.0,70319000000.0,64274000000.0,3810000000.0,30449000000.0,609000000.0,22924000000.0,--,--,86724000000.0,187000000.0,148000000.0,--,--,--,86763000000.0,21993000000.0,--,--,--,64770000000.0,6675000000.0,58095000000.0,130000000.0,64900000000.0,7026000000.0,57874000000.0,--,3.26,3.25,20180822
20180331,311221000000.0,238686000000.0,253109000000.0,76000000.0,5755000000.0,8668000000.0,15089000000.0,3881000000.0,--,-4795000000.0,-124000000.0,137000000.0,10974000000.0,44000000.0,271646000000.0,6891000000.0,60182000000.0,1982000000.0,104669000000.0,47000000.0,7576000000.0,13000000.0,929000000.0,37190000000.0,30723000000.0,1992000000.0,11949000000.0,11075000000.0,10851000000.0,--,--,39575000000.0,69000000.0,60000000.0,--,--,--,39584000000.0,10633000000.0,--,--,--,28951000000.0,3249000000.0,25702000000.0,-658000000.0,28293000000.0,3482000000.0,24811000000.0,--,1.44,1.44,20180427
20171231,890882000000.0,572990000000.0,605035000000.0,127000000.0,17420000000.0,14625000000.0,67543000000.0,7145000000.0,--,3271000000.0,-128000000.0,2060000000.0,44078000000.0,-1000000.0,756124000000.0,20519000000.0,159113000000.0,8923000000.0,220024000000.0,492000000.0,13129000000.0,28000000.0,3735000000.0,114559000000.0,139688000000.0,6728000000.0,56221000000.0,45251000000.0,--,--,--,134758000000.0,354000000.0,372000000.0,--,--,--,134740000000.0,34762000000.0,--,--,--,99978000000.0,10890000000.0,89088000000.0,21881000000.0,121859000000.0,11187000000.0,110672000000.0,--,4.99,4.99,20180321
20170930,663002000000.0,444436000000.0,471772000000.0,123000000.0,13540000000.0,13796000000.0,99267000000.0,--,--,1443000000.0,-45000000.0,675000000.0,32662000000.0,-4000000.0,562474000000.0,16884000000.0,115990000000.0,6449000000.0,174525000000.0,1290000000.0,10600000000.0,28000000.0,2747000000.0,84539000000.0,95556000000.0,5286000000.0,39621000000.0,35009000000.0,--,--,--,100528000000.0,288000000.0,258000000.0,--,--,--,100558000000.0,25339000000.0,--,--,--,75219000000.0,8901000000.0,66318000000.0,17846000000.0,93065000000.0,9366000000.0,83699000000.0,--,3.72,3.71,20171028
20170630,463762000000.0,321171000000.0,341390000000.0,94000000.0,9442000000.0,10777000000.0,64020000000.0,--,--,875000000.0,-256000000.0,483000000.0,20523000000.0,-3000000.0,398259000000.0,13242000000.0,78107000000.0,4006000000.0,135892000000.0,901000000.0,8403000000.0,22000000.0,1827000000.0,57780000000.0,62380000000.0,3709000000.0,24647000000.0,24575000000.0,--,--,--,65503000000.0,183000000.0,138000000.0,--,--,--,65548000000.0,16455000000.0,--,--,--,49093000000.0,5666000000.0,43427000000.0,9927000000.0,59020000000.0,5867000000.0,53153000000.0,--,2.43,2.43,20170818
20170331,265755000000.0,197203000000.0,211093000000.0,14000000.0,5020000000.0,8870000000.0,29428000000.0,--,--,-85000000.0,-115000000.0,109000000.0,10349000000.0,3000000.0,232984000000.0,9545000000.0,40260000000.0,2093000000.0,93897000000.0,390000000.0,5900000000.0,--,838000000.0,30187000000.0,29952000000.0,1407000000.0,13551000000.0,12744000000.0,--,--,--,32771000000.0,27000000.0,70000000.0,--,--,--,32728000000.0,6988000000.0,--,--,--,25740000000.0,2687000000.0,23053000000.0,6311000000.0,32051000000.0,2815000000.0,29236000000.0,--,1.29,1.29,20170428
20161231,712453000000.0,441620000000.0,469555000000.0,106000000.0,17827000000.0,10108000000.0,109678000000.0,--,--,3831000000.0,1401000000.0,--,42318000000.0,--,619085000000.0,16050000000.0,140236000000.0,11208000000.0,149613000000.0,-1522000000.0,11236000000.0,12000000.0,9268000000.0,78742000000.0,129997000000.0,6353000000.0,51076000000.0,48894000000.0,--,--,--,93368000000.0,1402000000.0,359000000.0,--,--,--,94411000000.0,22043000000.0,--,--,--,72368000000.0,9974000000.0,62394000000.0,-7567000000.0,64801000000.0,10091000000.0,54710000000.0,--,3.5,3.49,20170323
