报告期,营业收入*,已赚保费,保费业务收入,其中:分保费收入,减:分出保费,提取未到期责任准备金,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出*,退保金,赔付支出,减:摊回赔付支出,提取保险责任准备金,减:摊回保险责任准备金,保户红利支出,分保费用,营业税金及附加,手续费及佣金支出,管理费用,减:摊回分保费用,其他业务成本,资产减值损失,信用减值损失,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20200331,17613172533.85,14403682065.62,14433297599.86,--,18423515.35,11192018.89,2740826700.52,--,--,24236584.05,19512997.69,1221280.69,423737513.15,-44607.87,17271159047.73,337050329.47,326971558.23,11780042.78,14728301221.98,18667438.02,7000387.16,--,7429943.43,733745695.14,286909281.0,-92167.29,844334537.6,1704.0,--,--,--,342013486.12,492383487.76,43442525.79,--,--,--,790954448.09,39075880.26,--,--,--,751878567.83,367534125.69,384344442.14,-824939620.91,-73061053.08,-36686288.56,-36374764.52,--,0.08,0.08,20200430
20191231,7734551276.64,4386577005.98,4408486543.68,--,24656385.81,-2746848.11,2996282313.52,--,--,-15475570.31,-103149.2,631783.44,374424107.17,-7785213.96,6507810364.38,272073023.4,421830556.86,17953496.79,3794247946.7,15691148.97,7344089.88,--,22422435.92,599603536.8,510824053.68,1356153.87,766592198.6,158810412.85,--,--,--,1226740912.26,12238791.64,6693913.25,--,--,--,1232285790.65,184889713.06,--,--,--,1047396077.59,287538889.87,759857187.72,268728489.42,1316124567.01,419215849.68,896908717.33,--,0.15,0.15,20200415
20190930,9304010352.55,6599360047.92,6598197660.04,--,2717572.31,-3879960.19,2376580130.74,--,--,--,-1497091.44,2116713.51,303395346.74,9474588.85,8779201837.27,296503457.88,390256124.35,21822971.79,5658848325.45,12500790.21,7831695.04,--,9045029.88,832793117.71,404663516.41,888770.31,660509783.07,512498783.49,--,--,--,524808515.28,369797.07,4347294.43,--,--,--,520831017.92,144363104.9,--,--,--,376467913.02,107967978.97,268499934.05,-253147696.48,123320216.54,-16074392.3,139394608.84,--,0.06,0.06,20191031
20190630,10478683637.05,7578781544.28,7605368540.42,--,25912167.22,674828.92,2425424962.73,--,--,--,1069627.48,2305399.55,471166869.77,-64766.76,9627719559.52,380615512.58,288915652.92,10761198.25,6509048836.61,4584922.71,8297531.28,--,21554986.36,977303367.77,715039820.71,5373614.08,740597749.21,6008081.68,--,--,--,850964077.53,200529108.22,2448436.63,--,--,--,1049044749.12,215152871.22,--,--,--,833891877.9,415658752.76,418233125.14,-684911849.19,148980028.71,80051946.65,68928082.06,--,0.08,0.08,20190831
20190331,22674839056.08,19011335603.36,19083919807.21,--,73928056.1,-1343852.25,2751412977.75,--,--,--,-992060.78,2563947.85,910553712.9,-35125.0,21846483556.33,6260640555.1,341213611.54,24491313.86,12542465312.74,-14589888978.02,8357105.27,--,10915944.38,1122422096.66,485931869.24,1195655.66,1114436163.91,1137053.35,--,--,--,828355499.75,5608966.91,2682179.58,--,--,--,831282287.08,170485086.43,--,--,--,660797200.65,331452236.43,329344964.22,1857973436.05,2518770636.7,1241859220.1,1276911416.6,--,0.07,0.07,20190429
20181231,6750991402.7,2852384685.15,3057956984.47,--,211153095.38,-5580796.06,2890475037.07,71053065.65,--,478592879.8,-228299.53,14022177.3,949674351.33,-2783928.11,6020520890.33,969043026.3,320021590.14,11931610.45,2231764607.29,143040617.24,8943759.93,--,24545755.11,-165699418.59,532944403.94,-49065.09,1503400218.51,1055639476.19,--,--,--,730470512.37,2003064.62,12059480.9,--,--,--,720414096.09,117421302.2,--,--,--,602992793.89,288497629.19,314495164.7,-10120182.25,592872611.64,283538739.88,309333871.76,--,0.07,0.07,20190429
20180930,4040985879.35,2185644693.61,2387684317.12,--,207149050.47,-5109426.96,1625634300.04,--,--,0.0,1389995.83,96092.85,116511151.01,-146782.6,3718711770.22,1161387784.38,286465621.5,12421665.33,1463754383.45,137957486.41,9347819.27,--,4657061.2,65423513.05,390453224.6,1140334.07,413791260.0,-669952.83,--,--,--,322274109.13,1361548.2,5175897.64,--,--,--,318459759.69,14791390.25,--,--,--,303668369.44,139152743.09,164515626.35,-462669251.74,-159000882.3,-87555190.25,-71445692.05,--,0.03,0.03,20181031
20180630,4365094142.85,1902950752.39,1920413388.24,--,19389907.62,-1927271.77,2144448051.79,--,--,0.0,1738657.84,703554.67,136590236.41,-50750.32,3524178545.3,1783246243.47,297844009.77,11052627.36,631789670.55,167752216.39,9636288.03,--,21358563.98,77491614.5,334832449.23,2353090.53,422747746.74,343374.66,--,--,--,840915597.55,772867.11,2072362.8,--,--,--,839616101.86,27996817.87,--,--,--,811619283.99,302476257.59,509143026.4,-1631177607.17,-819558323.18,-496800769.93,-322757553.25,--,0.1,0.1,20180831
20180331,15793772924.15,12962722371.81,27158894201.22,--,14196876517.21,-704687.8,2126776456.99,--,--,1134800.0,-1302325.28,160494.85,563620764.67,84929.48,15033859922.59,18938392078.57,510586042.43,6599202.58,7375532996.03,14217431045.29,10142395.54,--,6724064.04,1152481474.74,395713969.05,398314.69,765313076.3,-89917.38,--,--,--,759913001.56,44934.31,2097543.92,--,--,--,757860391.95,98880473.55,--,--,--,658979918.4,320613643.06,338366275.34,-838565730.12,-179585811.72,-90283564.7,-89302247.02,--,0.07,0.07,20180428
20171231,6816849248.48,4107466732.52,5800858356.73,--,1690329699.92,3061924.29,2279218353.33,147497100.75,--,-312043.67,-543424.94,--,276450971.66,--,5803229237.44,5053366329.71,372705256.52,8283712.03,825067710.66,1645065631.98,11435686.77,--,19805697.86,1286825694.91,-510372485.98,203035226.9,475536588.13,2215104.22,--,--,--,1013620011.04,2546179.2,8889400.85,--,--,--,1007276789.39,30824500.47,--,--,--,976452288.92,489114737.04,487337551.88,138067655.9,1114519944.82,556767888.42,557752056.4,--,0.1,0.1,20180428
20170930,8372168005.49,6056789280.0,6067528219.85,--,10182313.45,556626.4,1937168698.86,80082289.79,--,-1559500.0,-741878.96,--,290125782.44,--,7920430003.14,5288711318.58,468494437.4,6457057.93,994741712.54,1012025.08,12298489.72,--,4397950.11,-202510962.67,933011922.72,2274564.84,346716670.22,-731243.95,--,--,--,451738002.35,2475299.85,1195944.05,--,--,--,453017358.15,11581447.86,--,--,--,441435910.29,228425969.33,213009940.96,558443108.78,999879019.07,502063092.64,497815926.43,--,0.05,0.05,20171031
20170630,14275870734.25,11975725757.6,11980232931.9,--,5055423.4,-548249.1,2084114068.76,--,--,1524000.0,-660718.37,--,92930851.97,--,13245403944.7,3580559542.31,506357141.17,1129497.45,7771869931.24,1246990.43,13336896.88,--,23120283.02,167470637.93,731884630.15,-6033720.11,341210776.83,-317160.23,--,--,--,1030466789.55,3001748.3,697462.99,--,--,--,1032771074.86,1609036.69,--,--,--,1031162038.17,515389624.26,515772413.91,-1509035548.54,-477873510.37,-224037794.53,-253835715.84,--,0.12,0.12,20170720
20170331,23940692065.83,22280586779.85,22283088995.88,--,-1165498.8,3667714.83,1382290219.21,--,--,200000.0,-199403.9,--,119498750.29,--,23709125454.0,7808611648.85,564834020.93,-5856003.55,13651647395.82,-2545969.95,14515519.47,--,3242274.05,652925746.01,420953269.79,-109008.99,452645414.31,1307557.32,--,--,--,231566611.83,701593.63,1026776.95,--,--,--,231241428.51,2005061.78,--,--,--,229236366.73,119192094.95,110044271.78,-206160067.7,23076299.03,18173661.78,4902637.25,--,0.03,0.03,20170426
