报告期,营业总收入*,营业收入,其他类金融业务收入,利息收入,已赚保费,手续费及佣金收入,营业总成本*,营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,资产减值损失,信用减值损失,其他业务成本（金融类）,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,加：其他收益,投资净收益,其中：对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,资产处置收益,汇兑净收益,加：营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加：营业外收入,减：营业外支出,其中:非流动资产处置净损失,加：利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减：所得税,加：未确认的投资损失,加：净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,持续经营净利润,终止经营净利润,减：少数股东损益,归属于母公司所有者净利润,加：其他综合收益,综合收益总额*,减：归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,3568634533.95,3568634533.95,0.0,--,--,--,3308167844.36,3053156384.31,7091823.91,172735025.35,35393441.59,28554796.28,11236372.92,13719764.71,3680712.04,-1478993.29,-16000738.8,0.0,--,--,--,--,--,--,--,34326542.81,-496049.89,--,--,68041888.7,-8250.63,--,--,--,344851088.49,--,1501440.16,--,--,--,343349648.33,41301156.01,--,--,--,302048492.32,302048492.32,--,-64204.97,302112697.29,--,302048492.32,-64204.97,302112697.29,--,3.6,3.6,20221021
20220630,2032836542.22,2032836542.22,0.0,--,--,--,1865936311.72,1713281200.74,3836155.65,103275788.11,21758444.76,18048579.09,5736143.37,7533429.9,2851248.6,-1234520.6,-11461507.43,0.0,--,--,--,--,--,--,--,17986926.22,6779435.54,--,--,56420855.38,-6909.12,--,--,--,235384510.49,--,1500316.69,--,--,--,233884193.8,17743599.35,--,--,--,216140594.45,216140594.45,--,--,216140594.45,--,216140594.45,--,216140594.45,--,2.88,2.88,20220810
20220331,894769497.38,894769497.38,0.0,--,--,--,833298828.36,767696712.8,2017501.29,43397308.11,11499737.41,8876233.67,-188664.92,1853326.19,2087917.91,-109295.16,-1758681.87,0.0,--,--,--,--,--,--,--,9545388.26,5704200.41,--,--,-7251576.92,-6909.12,--,--,--,67593794.62,--,500000.0,--,--,--,67093794.62,6954796.81,--,--,--,60138997.81,60138997.81,--,--,60138997.81,--,60138997.81,--,60138997.81,--,0.86,0.86,20220416
20211231,3570965777.1,3570965777.1,0.0,--,--,--,3059716167.82,2815689061.7,7218689.6,148485892.05,62925943.72,31012577.85,-5615997.1,2675992.2,8438251.44,-194783.3,-5338954.81,0.0,--,--,--,--,--,--,--,34780989.95,5151066.8,--,--,35821735.3,-13656.24,--,--,--,581456006.98,--,1818603.36,--,--,--,579637403.62,74657227.1,--,--,--,504980176.52,504980176.52,--,--,504980176.52,--,504980176.52,--,504980176.52,--,7.25,7.25,20220409
20210930,2141724744.76,2141724744.76,0.0,--,--,--,1883950792.56,1718783978.36,3173202.62,102794434.71,43534965.19,20419544.79,-4755333.11,2048872.53,6906176.44,-535256.63,-2183892.46,0.0,--,--,--,--,--,--,--,26444226.89,6123300.43,--,--,13067915.81,-24261.17,--,--,--,300665985.07,13.44,1818600.2,--,--,--,298847398.31,38138393.95,--,--,--,260709004.36,260709004.36,--,--,260709004.36,--,260709004.36,--,260709004.36,--,3.74,3.74,20211018
20210630,1403377908.96,1403377908.96,0.0,--,--,--,1245264927.1,1140373752.02,2160641.58,64927215.9,28919600.32,13078704.68,-4194987.4,896759.47,5158684.61,-322395.62,-1195031.25,0.0,--,--,--,--,--,--,--,9237363.75,5258877.82,--,--,23919088.48,--,--,--,--,195010885.04,12.57,800000.0,--,--,--,194210897.61,27322995.19,--,--,--,166887902.42,166887902.42,--,--,166887902.42,--,166887902.42,--,166887902.42,--,2.4,2.4,20210818
20210331,563364035.44,563364035.44,0.0,--,--,--,512795730.78,465804734.95,713308.59,29717596.13,13595678.44,6139155.56,-3174742.89,-415511.45,2800152.83,-557595.66,386477.4,0.0,--,--,--,--,--,--,--,8185473.1,2940246.58,--,--,--,--,--,--,--,61522906.08,12.33,200000.0,--,--,--,61322918.41,8134652.69,--,--,--,53188265.72,53188265.72,--,--,53188265.72,--,53188265.72,--,53188265.72,--,0.76,0.76,20210419
20201231,2807747169.33,2807747169.33,0.0,--,--,--,2418485590.77,2260480000.47,6044063.88,111131843.65,36846683.41,7539754.62,-3556755.26,1040446.09,4968018.45,-313715.41,-4432997.31,0.0,--,--,--,--,--,--,--,30710293.71,4268680.36,--,--,2682098.4,42494.29,--,--,--,422218432.6,2105.9,760000.0,--,--,--,421460538.5,58635951.59,--,--,--,362824586.91,362824586.91,--,--,362824586.91,--,362824586.91,--,362824586.91,--,5.86,5.86,20210415
20200930,1836988974.87,1836988974.87,0.0,--,--,--,1638472432.22,1535915151.66,4224896.45,73511655.3,24567050.56,1429173.76,-1175495.51,1058425.47,2577642.04,--,-5432677.53,0.0,--,--,--,--,--,--,--,20564257.07,1500301.37,--,--,--,48694.84,--,--,--,215197118.4,2103.19,459999.92,--,--,--,214739221.67,32071272.75,--,--,--,182667948.92,182667948.92,--,--,182667948.92,--,182667948.92,--,182667948.92,--,3.07,3.07,20201023
20200630,1149487542.89,1149487542.89,0.0,--,--,--,1031441640.73,964196436.15,2949066.82,46612810.14,15671984.7,867697.86,1143645.06,1824334.99,940548.2,--,-4841248.84,0.0,--,--,--,--,--,--,--,6909460.11,--,--,--,--,52106.37,--,--,--,120166219.8,2102.63,459999.92,--,--,--,119708322.51,16986819.12,--,--,--,102721503.39,102721503.39,--,--,102721503.39,--,102721503.39,--,102721503.39,--,1.88,1.88,20200807
