报告期,营业收入*,手续费及佣金净收入,代理买卖证券业务净收入,证券承销业务净收入,受托客户资产管理业务净收入,利息净收入,投资净收益,其中:对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,汇兑净收益,其他收益,其他业务收入,资产处置收益,营业支出,营业支出*,营业税金及附加,管理费用,其他资产减值损失,其他业务成本,加:营业利润差额(特殊报表科目),营业利润差额(合计平衡项目),营业利润*,加:营业外收入,减:营业外支出,其中:非流动资产处置净损失,加:利润总额差额(特殊报表科目),利润总额差额(合计平衡项目),利润总额*,减:所得税,加:未确认的投资损失,加:净利润差额(特殊报表科目),净利润差额(合计平衡项目),净利润*,减:少数股东损益,归属于母公司所有者的净利润,加:其他综合收益,综合收益总额*,减:归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20191231,6594941981.46,3670492803.69,2756328754.26,501257276.28,331419236.48,1376192562.28,1918070762.16,--,--,-703790131.19,1124965.79,61831934.87,267726770.88,3292312.98,5489422214.43,5489422214.43,47981025.95,4744571416.74,--,227526855.56,--,--,1105519767.03,42421475.47,18679111.46,--,--,--,1129262131.04,146391644.65,--,--,--,982870486.39,-24725145.2,1007595631.59,194340160.59,1177210646.98,-24725145.2,1201935792.18,--,0.12,0.12,20200425
20190930,4967250879.34,2835434844.46,2171628654.66,351051790.56,311391712.81,1020931900.87,1284395890.97,--,--,-447622699.7,2355941.16,7752318.37,261662140.16,2340543.05,3770343041.43,3770343041.43,37646703.37,3045450666.25,--,226432862.73,--,--,1196907837.91,35387589.5,44626703.07,--,--,--,1187668724.34,128537358.63,--,--,--,1059131365.71,-15830768.39,1074962134.1,231848306.99,1290979672.7,-15830768.39,1306810441.09,--,0.13,0.13,20191030
20190630,3588331627.34,1934958688.75,1518702535.05,227097754.08,158745227.2,685928376.57,1041473649.93,--,--,-300030944.0,2352068.54,5323666.31,218216672.39,109448.85,2656654903.23,2656654903.23,26116431.93,2092506630.5,--,209946330.29,--,--,931676724.11,1778173.11,18543073.65,--,--,--,914911823.57,168336937.1,--,--,--,746574886.47,-16837485.75,763412372.22,211722378.52,958297264.99,-16837485.75,975134750.74,--,0.09,0.09,20190820
20190331,1844944432.34,908347940.85,750159309.36,74852889.76,66189505.88,321833081.93,619178868.58,--,--,-165326251.67,-140416.98,3235411.51,157926296.93,-110498.81,1089103549.23,1089103549.23,12992292.11,1037579796.27,--,150910005.05,--,--,755840883.11,505739.12,1095022.88,--,--,--,755251599.35,173057676.54,--,--,--,582193922.81,-5477217.92,587671140.73,231892320.63,814086243.44,-5477217.92,819563461.36,--,0.07,0.07,20190430
20181231,5722593356.59,2979850243.21,2232234195.6,335013903.64,336119526.79,113591580.89,2920680394.81,--,--,-711739083.41,15963.26,54691959.1,336680277.5,28822021.23,4847018437.7,4847018437.7,44916202.59,4016739198.97,--,313799402.97,--,--,875574918.89,8643969.54,130493328.37,--,--,--,753725560.06,73396815.18,--,--,--,680328744.88,18962854.37,661365890.51,-207183214.35,473145530.53,16700022.26,456445508.27,--,0.08,0.08,20190330
20180930,3708224136.62,2247939859.57,1760002641.6,194716004.73,228143948.47,250482011.43,1491663510.73,--,--,-517394869.5,1911084.47,13393469.63,186801294.1,33427776.19,3064255941.54,3064255941.54,29104686.15,2660989721.84,--,168902159.12,--,--,643968195.08,265314.7,51818069.99,--,--,--,592415439.79,117935886.07,--,--,--,474479553.72,19915009.78,454564543.94,109087311.2,583566864.92,18371636.52,565195228.4,--,0.06,0.06,20181031
20180630,2312497883.86,1561388413.76,1241309868.35,123972402.21,153197146.17,215551498.57,1070805616.31,--,--,-619964915.33,500950.92,3868678.44,80473387.66,-125746.47,2013454295.78,2013454295.78,19681224.13,1748929687.04,--,69884225.12,--,--,299043588.08,142373.51,47309374.09,--,--,--,251876587.5,54279857.84,--,--,--,197596729.66,-8235135.32,205831864.98,-97720872.33,99875857.33,-9501525.81,109377383.14,--,0.03,0.03,20180831
20180331,1295667661.13,796791921.51,647926862.14,59349026.52,68454990.26,150827806.04,502834909.9,--,--,-183559490.82,-10142.44,1050917.43,27796763.92,-65024.41,876710424.54,876710424.54,8497474.3,853762244.6,--,21970071.16,--,--,418957236.59,15917.08,4149274.97,--,--,--,414823878.7,104936861.96,--,--,--,309887016.74,-6647287.48,316534304.22,40426214.77,350313231.51,-7190482.69,357503714.2,--,0.04,0.04,20180428
20171231,5961533467.39,3691082836.3,2898269172.22,391160119.98,290109666.92,607442983.45,2410090580.5,-15636004.13,--,-848523644.4,-1050197.64,13864556.71,88509667.55,116684.92,4259274411.53,4259274411.53,49415319.26,4079920158.53,--,55713386.55,--,--,1702259055.86,221648727.17,37286617.61,--,--,--,1886621165.42,434033844.53,--,--,--,1452587320.89,-370592.53,1452957913.42,598097278.41,2050684599.3,980334.48,2049704264.82,--,0.18,0.18,20180331
20170930,4712264459.99,2823790384.14,2212169556.53,304432081.51,219145237.94,868459146.44,1444064996.45,--,--,-531286875.11,-815196.25,13495000.21,95392325.99,-835321.88,2949278441.24,2949278441.24,37382599.08,2853563766.15,--,52047778.66,--,--,1762986018.75,1629121.41,14671733.29,--,--,--,1749943406.87,419073708.35,--,--,--,1330869698.52,239335.14,1330630363.38,480320945.58,1811190644.1,1970283.7,1809220360.4,--,0.16,0.16,20171031
20170630,2967352967.17,1736323532.26,1392478953.77,143028125.32,134889844.94,314902943.74,1149731934.26,--,--,-290644309.15,-544864.55,--,58405804.49,-822073.88,1905186659.51,1905186659.51,22911545.24,1832976406.19,--,42956827.57,--,--,1062166307.66,6779183.38,11541522.32,--,--,--,1057403968.72,244767122.46,--,--,--,812636846.26,-11557673.97,824194520.23,237526095.88,1050162942.14,-10606393.83,1060769335.97,--,0.1,0.1,20170825
20170331,1324513410.57,802513831.15,660278530.58,70242200.21,37973676.39,250266530.16,444354979.13,--,--,-191386508.31,-140778.41,--,18915785.55,-10428.7,776658476.57,776658476.57,10401797.9,751950499.56,--,14418335.19,--,--,547854934.0,607331.49,3151730.51,--,--,--,545310534.98,132758004.2,--,--,--,412552530.78,7723423.8,404829106.98,73890473.86,486443004.64,7824168.06,478618836.58,--,0.05,0.05,20170429
20161231,7759738629.42,4551146729.83,3662159567.1,581827025.98,171463261.04,81725773.39,3587046962.46,-31113475.95,--,-499509770.07,2620958.21,--,36866185.32,-158209.72,4609271132.49,4609271132.49,198577629.08,4356764268.87,--,5185178.47,--,--,3150467496.93,65746976.12,54095057.15,--,--,--,3162119415.9,579797104.99,--,--,--,2582322310.91,12985428.34,2569336882.57,-1360634124.38,1221688186.53,9693396.84,1211994789.69,--,0.31,0.31,20170331
