报告期,营业总收入*,营业收入,其他类金融业务收入,利息收入,已赚保费,手续费及佣金收入,营业总成本*,营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,减：利息收入,资产减值损失,信用减值损失,其他业务成本（金融类）,利息支出,手续费及佣金支出,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,加：其他收益,投资净收益,其中：对联营企业和合营企业的投资收益,净敞口套期收益,公允价值变动净收益,资产处置收益,汇兑净收益,加：营业利润差额（特殊报表科目）,营业利润差额（合计平衡项目）,营业利润*,加：营业外收入,减：营业外支出,其中:非流动资产处置净损失,加：利润总额差额（特殊报表科目）,利润总额差额（合计平衡项目）,利润总额*,减：所得税,加：未确认的投资损失,加：净利润差额（特殊报表科目）,净利润差额（合计平衡项目）,净利润*,持续经营净利润,终止经营净利润,减：少数股东损益,归属于母公司所有者净利润,加：其他综合收益,综合收益总额*,减：归属于少数股东的综合收益总额,归属于母公司普通股东综合收益总额,每股收益*,基本每股收益,稀释每股收益,公告日期#
20220930,1839197710.24,1839197710.24,0.0,--,--,--,1510760575.93,1193073849.7,75747082.45,3930228.43,111950305.7,58202651.89,67856457.76,85805206.51,18785745.61,--,14825030.2,0.0,--,--,--,--,--,--,--,221897287.17,--,--,--,--,--,--,--,--,565159451.68,548004.56,1972213.79,--,--,--,563735242.45,119978826.88,--,--,--,443756415.57,443756415.57,--,-15586114.58,459342530.15,--,443756415.57,-15586114.58,459342530.15,--,0.47,0.47,20221020
20220630,1128431815.89,1128431815.89,0.0,--,--,--,920326802.32,698341140.51,62540511.53,2621271.46,67685741.72,41482902.16,47655234.94,56987046.01,9937975.23,-28242.07,14451272.27,0.0,--,--,--,--,--,--,--,189420265.5,--,--,--,--,--,--,--,--,411948309.27,370115.46,2087670.36,--,--,--,410230754.37,74601300.44,--,--,--,335629453.93,335629453.93,--,-30406222.31,366035676.24,--,335629453.93,-30406222.31,366035676.24,--,0.38,0.38,20220817
20220331,519408680.74,519408680.74,0.0,--,--,--,390169381.5,305752304.86,16906013.36,1274004.61,26697796.55,14876463.63,24662798.49,27945219.43,3620147.91,--,6190534.09,0.0,--,--,--,--,--,--,--,176240350.22,--,--,--,--,--,--,--,--,311670183.55,115053.1,1120421.69,--,--,--,310664814.96,51693952.85,--,--,--,258970862.11,258970862.11,--,-13109264.45,272080126.56,--,258970862.11,-13109264.45,272080126.56,--,0.28,0.28,20220422
20211231,1977632342.26,1977632342.26,0.0,--,--,--,1661204521.2,1275817938.76,31397142.11,3906598.63,176081833.09,82599256.49,91401752.12,114227828.42,24118000.44,-9910213.1,-7374343.47,0.0,--,--,--,--,--,--,--,101747674.55,--,--,--,--,--,--,--,--,400890939.04,390958.6,1667193.39,--,--,--,399614704.25,111556050.05,--,--,--,288058654.2,288058654.2,--,-17082859.03,305141513.23,--,288058654.2,-17082859.03,305141513.23,--,0.32,0.32,20220422
20210930,1393578733.81,1393578733.81,0.0,--,--,--,1172291341.87,928497335.93,20925465.25,3584650.3,108858179.52,43353006.48,67072704.39,81134115.17,15024116.15,119182.25,-3184545.54,0.0,--,--,--,--,--,--,--,22720889.28,--,--,--,--,--,--,--,--,240942917.93,203161.69,319481.12,--,--,--,240826598.5,54865092.39,--,--,--,185961506.11,185961506.11,--,-44334444.97,230295951.08,--,185961506.11,-44334444.97,230295951.08,--,0.24,0.24,20211021
20210630,882568417.59,882568417.59,0.0,--,--,--,731013905.3,593765474.74,12402760.04,2570677.46,72933060.95,3971523.41,45370408.7,51846519.33,7211384.85,19182.25,-3462175.06,0.0,--,--,--,--,--,--,--,21667860.36,--,--,--,--,--,--,--,--,169779379.84,68789.47,300133.47,--,--,--,169548035.84,39263734.46,--,--,--,130284301.38,130284301.38,--,-39002404.13,169286705.51,--,130284301.38,-39002404.13,169286705.51,--,0.17,0.17,20210819
20210331,433076196.04,433076196.04,0.0,--,--,--,323869289.4,266393414.93,3858346.79,1017352.03,28153695.29,1009947.16,23436533.2,24778977.34,1595277.95,--,32642.46,0.0,--,--,--,--,--,--,--,4573071.77,--,--,--,--,--,--,--,--,113812620.87,29891.07,98040.87,--,--,--,113744471.07,23511397.36,--,--,--,90233073.71,90233073.71,--,-11160191.61,101393265.32,--,90233073.71,-11160191.61,101393265.32,--,0.1,0.1,20210423
20201231,1440988098.6,1440988098.6,0.0,--,--,--,1404462880.73,1045706930.33,22564281.18,4702897.13,172940781.9,61989744.29,96558245.9,106987033.59,16510855.51,-936201.2,-8962090.75,0.0,--,--,--,--,--,--,--,96653983.2,--,--,--,--,--,--,--,--,123280909.12,37167356.1,2648063.88,--,--,--,157800201.34,59440060.12,--,--,--,98360141.22,98360141.22,--,-26512009.7,124872150.92,--,98360141.22,-26512009.7,124872150.92,--,0.13,0.13,20210423
20200930,1011726549.48,1011726549.48,0.0,--,--,--,991824225.07,788631158.79,16469170.85,3403361.98,97942065.93,12348492.24,73029975.28,78276231.47,10894698.49,--,1100686.01,0.0,--,--,--,--,--,--,--,199070912.22,--,--,--,--,--,--,--,--,220073922.64,37714692.95,573846.98,--,--,--,257214768.61,54165139.63,--,--,--,203049628.98,203049628.98,--,-26115411.75,229165040.73,--,203049628.98,-26115411.75,229165040.73,--,0.24,0.24,20201026
20200630,708219321.4,708219321.4,0.0,--,--,--,653044611.5,520088387.46,12197044.9,2940903.55,57074019.97,7603534.48,53140721.14,52194566.23,4077008.63,--,309292.2,0.0,--,--,--,--,--,--,--,171134558.97,--,--,--,--,--,--,--,--,226618561.07,106720.82,43013.92,--,--,--,226682267.97,48934896.04,--,--,--,177747371.93,177747371.93,--,-29328085.2,207075457.13,--,177747371.93,-29328085.2,207075457.13,--,0.21,0.21,20200819
20200331,371972567.58,371972567.58,0.0,--,--,--,277252722.1,226796926.56,3295993.04,773089.34,19798299.89,1436836.17,25151577.1,25441189.01,1591954.03,--,--,0.0,--,--,--,--,--,--,--,19788409.92,--,--,--,--,--,--,--,--,114508255.4,64300.0,600187.71,--,--,--,113972367.69,21677711.3,--,--,--,92294656.39,92294656.39,--,-7252251.87,99546908.26,--,92294656.39,-7252251.87,99546908.26,--,0.1,0.1,20200423
20191231,1886941951.18,1886941951.18,0.0,--,--,--,1493497913.27,1097654208.38,28666832.94,26483827.04,159451468.62,50723924.81,130517651.48,126164545.24,5919791.31,--,-1493850.46,0.0,--,--,--,--,--,--,--,267903887.08,--,--,--,--,--,--,--,--,659854074.53,852967.14,1393418.45,--,--,--,659313623.22,122283091.84,--,--,--,537030531.38,537030531.38,--,-20379709.44,557410240.82,--,537030531.38,-20379709.44,557410240.82,--,0.58,0.58,20200423
20190930,1465228077.29,1465228077.29,0.0,--,--,--,1083738321.52,839129235.14,23202572.73,6342156.23,96538321.65,22734591.17,95791444.6,91309084.97,3099462.7,3478303.35,--,0.0,--,--,--,--,--,--,--,224050391.39,--,--,--,--,--,--,--,--,609018450.51,713779.54,585662.17,--,--,--,609146567.88,104185083.17,--,--,--,504961484.71,504961484.71,--,-1347432.11,506308916.82,--,504961484.71,-1347432.11,506308916.82,--,0.52,0.52,20191023
