报告期,经营活动产生的现金流量*,销售商品、提供劳务收到的现金,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入（金融类）,保户储金净增加额,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收取利息和手续费净增加额,收到原保险合同保费取得的现金,收到再保业务现金净额,处置交易性金融资产净增加额,拆入资金净增加额,回购业务资金净增加额,经营活动现金流入差额（特殊报表项目）,经营活动现金流入差额（合计平衡项目）,经营活动现金流入小计*,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出（金融类）,客户贷款及垫款净增加额,存放央行和同业款项净增加额,支付原保险合同赔付款项的现金,支付手续费的现金,支付保单红利的现金,经营活动现金流出差额（特殊报表科目）,经营活动现金流出差额（合计平衡项目）,经营活动现金流出小计*,经营活动产生的现金流量净额差额(合计平衡项目)）,经营活动产生的现金流量净额*,投资活动产生的现金流量*,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入差额（特殊报表科目）,投资活动现金流入差额（合计平衡项目）,投资活动现金流入小计*,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出差额（特殊报表科目）,投资活动现金流出差额（合计平衡项目）,投资活动现金流出小计*,投资活动产生的现金流量净额差额（合计平衡项目）,投资活动产生的现金流量净额*,筹资活动产生的现金流量*,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,发行债券收到的现金,筹资活动现金流入差额（特殊报表科目）,筹资活动现金流入差额（合计平衡项目）,筹资活动现金流入小计*,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出差额（特殊报表科目）,筹资活动现金流出差额（合计平衡项目）,筹资活动现金流出小计*,筹资活动产生的现金流量净额差额（合计平衡项目）,筹资活动产生的现金流量净额*,汇率变动对现金的影响*,直接法-现金及现金等价物净增加额差值（特殊报表科目）,直接法-现金及现金等价物净增加额差值（合计平衡项目）,现金及现金等价物净增加额*,期初现金及现金等价物余额,期末现金及现金等价物余额,补充资料*,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,待摊费用减少,预提费用增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,未确认投资损失,其他,间接法-经营活动现金流量净额差额(特殊报表科目),间接法-经营活动现金流量净额差额(合计平衡项目),债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：间接法-现金净增加额差额(特殊报表科目),间接法-现金净增加额差额(合计平衡项目),公告日期#
20220930,--,993344610.01,56523069.23,32447291.21,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1082314970.45,341074847.62,484013850.31,236983447.63,84623478.82,0.0,--,--,--,--,--,--,--,1146695624.38,--,-64380653.93,--,--,421865.62,151163.6,1523630647.04,106457252.63,--,--,1630660928.89,229042465.91,2296500.0,--,103767273.49,--,--,335106239.4,--,1295554689.49,--,--,--,226000000.0,--,--,--,--,226000000.0,828843786.72,26113010.47,--,76535563.84,--,--,931492361.03,--,-705492361.03,24954418.25,--,--,550636092.78,152993047.81,703629140.59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20221027
20220630,--,641357303.95,41221825.87,11484906.8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,694064036.62,218564240.21,341673917.98,27742519.83,63350206.97,0.0,--,--,--,--,--,--,--,651330884.99,--,42733151.63,--,0.0,421865.62,137439.8,1495430647.04,122617252.63,--,--,1618607205.09,151907837.69,0.0,0.0,103767234.9,--,--,255675072.59,--,1362932132.5,--,0.0,--,116000000.0,--,--,--,--,116000000.0,738708178.39,22196064.08,--,31663181.54,--,--,792567424.01,--,-676567424.01,-6364511.27,--,--,722733348.85,152993047.81,875726396.66,--,956537485.31,8875194.34,48871212.01,10372275.37,27295340.23,--,--,205214.76,298173.15,42615.66,19362869.45,-1356398357.98,-14112330.26,-14150212.19,-27914222.98,-86831353.86,427917668.44,--,--,--,--,--,--,--,875726396.66,152993047.81,--,--,--,--,20220830
20220331,--,319618183.71,10462101.72,12069119.93,0.0,--,--,--,--,--,--,--,--,--,--,--,--,342149405.36,95528415.3,179261192.61,16072461.16,16342559.99,0.0,--,--,--,--,--,--,--,307204629.06,--,34944776.3,--,--,222601.39,10230.0,--,36524411.0,--,--,36757242.39,50494458.7,--,--,24592479.38,--,--,75086938.08,--,-38329695.69,--,--,--,20000000.0,--,--,--,--,20000000.0,92549776.0,10099079.23,--,12984370.9,--,--,115633226.13,--,-95633226.13,-392232.43,--,--,-99410377.95,152993047.81,53582669.86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20220430
20211231,--,1799167191.36,49869314.58,23419376.44,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1872455882.38,721205183.6,689196339.11,48893021.13,34941447.29,0.0,--,--,--,--,--,--,--,1494235991.13,--,378219891.25,--,--,5624392.39,414158.4,10000000.0,452806667.41,--,--,468845218.2,286000511.64,16771309.08,--,376960623.02,--,--,679732443.74,--,-210887225.54,--,--,--,394765300.0,--,--,--,--,394765300.0,453542962.94,81144177.2,--,119438721.32,--,--,654125861.46,--,-259360561.46,-813040.35,--,--,-92840936.1,245833983.91,152993047.81,--,-402096756.41,371484691.43,89985843.83,21678339.16,54400033.72,--,--,21637.42,5668458.61,-62868.29,84850352.36,-10989670.82,8210155.4,-7360859.43,-17129401.71,64963814.48,29692233.16,--,--,--,--,--,--,--,152993047.81,245833983.91,--,--,--,--,20220430
20210930,--,1315426854.98,60815390.06,102338410.34,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1478580655.38,479982162.06,523923099.69,62261257.14,150278985.62,0.0,--,--,--,--,--,--,--,1216445504.51,--,262135150.87,--,--,5296272.22,-53844.16,--,310740400.0,--,--,315982828.06,215855404.62,18296763.13,--,330987227.15,--,--,565139394.9,--,-249156566.84,--,--,--,433558281.11,--,--,--,--,433558281.11,296527198.18,69299954.15,--,20442829.41,--,--,386269981.74,--,47288299.37,-768057.53,--,--,59498825.87,245833983.91,305332809.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20211029
20210630,--,839225273.94,41978854.42,84308379.21,0.0,--,--,--,--,--,--,--,--,--,--,--,--,965512507.57,318357808.16,353414205.35,43475074.87,81421216.68,0.0,--,--,--,--,--,--,--,796668305.06,--,168844202.51,--,0.0,5032259.1,-159215.07,0.0,253278180.66,--,--,258151224.69,127875093.17,17873187.98,0.0,264176643.34,--,--,409924924.49,--,-151773699.8,--,0.0,--,290458281.11,--,--,--,--,290458281.11,195513222.18,64450517.19,--,20442829.41,--,--,280406568.78,--,10051712.33,467660.96,--,--,27589876.0,245833983.91,273423859.91,--,4991543.29,3981003.92,44985764.16,10715504.73,24999664.85,--,--,7342.35,599256.56,--,25126544.32,-4426506.02,-11996954.4,-17811114.1,-1412238.95,-38050868.06,82164115.68,--,--,--,--,--,--,--,273423859.91,245833983.91,--,--,--,--,20210830
20210331,--,395537010.87,15085800.05,5152033.29,0.0,--,--,--,--,--,--,--,--,--,--,--,--,415774844.21,113729276.17,159775618.53,16695013.49,60549512.27,0.0,--,--,--,--,--,--,--,350749420.46,--,65025423.75,--,0.0,4485097.16,0.0,0.0,98231341.77,--,--,102716438.93,81787906.98,16083445.77,--,94710575.18,--,--,192581927.93,--,-89865489.0,--,0.0,--,211126481.11,0.0,--,--,--,211126481.11,114973709.28,11772216.98,--,20442829.41,--,--,147188755.67,--,63937725.44,144072.21,--,--,39241732.4,245833983.91,285075716.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20210429
20201231,--,1519802340.71,43353896.14,26749276.85,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1589905513.7,577419211.86,540183434.3,52830070.99,76312438.99,0.0,--,--,--,--,--,--,--,1246745156.14,--,343160357.56,--,--,5023148.03,18244.3,--,792952028.94,--,--,797993421.27,394033420.26,62343266.69,--,748626700.0,--,--,1205003386.95,--,-407009965.68,--,22500000.0,22500000.0,642300953.59,--,--,--,--,664800953.59,483171969.18,57097063.22,--,10371090.0,--,--,550640122.4,--,114160831.19,-2158818.7,--,--,48152404.37,197681579.54,245833983.91,--,154029118.3,43229193.7,83913274.66,21317285.41,41661397.99,--,--,34264.37,577562.78,--,54309444.78,-94254855.98,2504111.35,11959282.04,10605806.48,-103892950.36,108290179.02,--,--,-4263303.2,--,--,--,8784049.55,245833983.91,197681579.54,--,--,--,--,20210428
20200930,--,1065140303.11,22684907.13,9962409.88,0.0,--,--,--,--,--,--,--,--,--,--,--,--,1097787620.12,314267803.56,393489969.36,27627043.66,152155293.14,0.0,--,--,--,--,--,--,--,887540109.72,--,210247510.4,--,--,3885465.42,--,--,576206117.94,--,--,580091583.36,275695447.81,53480564.94,--,559106562.79,--,--,888282575.54,--,-308190992.18,--,--,--,335456616.0,--,--,--,--,335456616.0,147850000.0,39435498.0,--,10371090.0,--,--,197656588.0,--,137800028.0,-559942.09,--,--,39296604.13,197681579.54,236978183.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20201030
20200630,--,650363479.28,16345615.28,4269947.73,0.0,--,--,--,--,--,--,--,--,--,--,--,--,670979042.29,235939560.64,268647688.66,25866520.08,25268919.2,0.0,--,--,--,--,--,--,--,555722688.58,--,115256353.71,--,--,3719000.67,15841.63,--,377689613.1,--,--,381424455.4,211344574.06,49530193.23,--,353289495.87,--,--,614164263.16,--,-232739807.76,--,--,--,221796893.16,--,--,--,--,221796893.16,101280000.0,22837673.5,--,10371089.98,--,--,134488763.48,--,87308129.68,579243.16,--,--,-29596081.21,197681579.54,168085498.33,--,40466380.09,9482870.85,42152616.03,10775414.49,20526008.04,--,--,--,426.29,--,24416538.01,-7816070.65,-4409159.22,1643992.57,5814621.23,-77245716.32,51268793.66,--,--,--,--,--,--,--,168085498.33,197681579.54,--,--,--,--,20200828
