timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
2017-03-20,6500,11.5535,13.8675,11.5535,13.8675,4.2382,44.01,0.03,107145,,,32.511,2.7889,1.7838,22.0228,1694404800,,,,,,,
2017-03-21,4830,15.2526,15.2526,15.2526,15.2526,1.3851,9.99,0.02,88823.7,,,35.7582,3.0675,1.962,24.2224,1863642600,,,,,,,
2017-03-22,2112,16.7786,16.7786,16.7786,16.7786,1.526,10,0.01,42725.76,,,39.336,3.3744,2.1583,26.646,2050108200,,,,,,,
2017-03-23,7700,18.454,18.454,18.454,18.454,1.6754,9.99,0.03,171325,,,43.2638,3.7114,2.3738,29.3067,2254815000,,,,,,,
2017-03-24,7121,20.3036,20.3036,20.3036,20.3036,1.8496,10.02,0.03,174322.08,,,47.5999,4.0833,2.6117,32.2439,2480803200,,,,,,,
2017-03-27,5930,22.3356,22.3356,22.3356,22.3356,2.032,10.01,0.02,159694.9,,,52.3638,4.492,2.8731,35.4709,2729086200,,,,,,,
2017-03-28,5500,24.5666,24.5666,24.5666,24.5666,2.231,9.99,0.02,162910,,,57.5943,4.9407,3.16,39.0141,3001690800,,,,,,,
2017-03-29,14700,27.0216,27.0216,27.0216,27.0216,2.455,9.99,0.06,478926,,,63.3499,5.4344,3.4758,42.9128,3301657200,,,,,,,
2017-03-30,80095,29.7255,29.7255,29.7255,29.7255,2.7039,10.01,0.32,2870604.8,,,69.6887,5.9782,3.8236,47.2068,3632025600,,,,,,,
2017-03-31,119132,32.6947,32.6947,32.6947,32.6947,2.9692,9.99,0.47,4696183.44,,,75.7777,6.4549,4.4514,44.9418,3994822800,,,,,,,
2017-04-05,12895937,35.9625,35.9625,30.9944,33.69,0.9953,3.04,50.89,522163439.63,,,78.0844,6.6514,4.5869,46.3099,4116430800,,,,,,,
2017-04-06,13799896,33.7231,37.0573,32.844,37.0573,3.3673,9.99,54.46,595791096.69,,,85.889,7.3162,5.0453,50.9386,4527871200,,,,,,,
2017-04-07,10967997,35.6639,36.3109,34.3535,34.6023,-2.455,-6.62,43.28,467867142.71,,,80.199,6.8315,4.7111,47.5639,4227904800,,,,,,,
2017-04-10,7790620,33.7149,34.1047,31.1852,31.235,-3.3673,-9.73,30.74,305302851.56,,,72.3944,6.1667,4.2526,42.9352,3816464400,,,,,,,
2017-04-11,6329535,30.588,32.6698,30.5217,32.4956,1.2606,4.04,24.98,242588425.76,,,75.3163,6.4156,4.4243,44.6681,3970501200,,,,,,,
2017-04-12,8087734,32.0892,34.9755,31.857,33.0182,0.5226,1.61,31.92,325705706.06,,,76.5274,6.5187,4.4954,45.3864,4034345400,,,,,,,
2017-04-13,5444949,32.3546,34.0715,32.1639,32.4293,-0.5889,-1.78,21.49,217247371.92,,,75.1625,6.4025,4.4152,44.5769,3962394000,,,,,,,
2017-04-14,6531267,32.4293,33.6319,31.4506,32.9352,0.5059,1.56,25.77,258849622.82,,,76.3351,6.5024,4.4841,45.2724,4024211400,,,,,,,
2017-04-17,4026018,30.6046,30.6046,29.6425,29.6425,-3.2927,-10,15.89,144781648.52,,,68.7036,5.8523,4.0358,40.7463,3621891600,,,,,,,
2017-04-18,4379895,28.4897,29.4269,27.934,28.0086,-1.6339,-5.51,17.28,150613810.02,,,64.9166,5.5297,3.8134,38.5003,3422251800,,,,,,,
2017-04-19,3121747,27.5193,28.9458,27.3949,28.6638,0.6552,2.34,12.32,106403335.9,,,66.4352,5.6591,3.9026,39.401,3502310400,,,,,,,
2017-04-20,3500228,28.4482,28.8878,26.1342,27.5359,-1.1279,-3.93,13.81,117783148.39,,,63.8209,5.4364,3.749,37.8505,3364488000,,,,,,,
2017-04-21,1901162,27.7349,27.8262,26.7977,27.2041,-0.3318,-1.2,7.5,62546355.26,,,63.0519,5.3709,3.7038,37.3945,3323952000,,,,,,,
