timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
2010-10-28,647894,11.9811,12.216,11.9811,12.0345,-0.1228,-1.01,0.15,14669529.62,,,32.9664,5.531,2.4206,265.6941,13017032600,,,,,,,
2010-10-29,1015298,12.216,12.216,11.7944,12.0986,0.0641,0.53,0.23,22772982.32,,,33.1418,5.5604,2.4335,267.108,13086302840,,,,,,,
2010-11-01,701502,12.1359,12.5095,12.0399,12.4508,0.3522,2.91,0.16,16256044.43,,,34.1067,5.7223,2.5044,274.8844,13467289160,,,,,,,
2010-11-02,1095957,12.4881,12.6963,12.2213,12.5575,0.1067,0.86,0.25,25646610.17,,,34.3991,5.7714,2.5258,277.2409,13582739560,,,,,,,
2010-11-03,1111397,12.5415,12.9685,12.1573,12.264,-0.2935,-2.34,0.26,26173218.51,,,33.595,5.6365,2.4668,270.7606,13265250960,,,,,,,
2010-11-04,517555,12.1199,12.4081,12.1199,12.3867,0.1227,1,0.12,11931602.61,,,33.9313,5.6929,2.4915,273.4705,13398018920,,,,,,,
2010-11-05,2664748,12.3814,12.5042,12.2053,12.3814,-0.0053,-0.04,0.62,61465664.98,,,33.9167,5.6904,2.4904,273.3527,13392246400,,,,,,,
2010-11-08,1965345,12.3867,12.5682,12.2213,12.5682,0.1868,1.51,0.45,45780968.17,,,34.4283,5.7763,2.528,277.4766,13594284600,,,,,,,
2010-11-09,1222597,12.5415,12.5842,12.264,12.3547,-0.2135,-1.7,0.28,28292034.45,,,33.8436,5.6782,2.485,272.7636,13363383800,,,,,,,
2010-11-10,1595616,12.3601,12.5895,12.0879,12.5895,0.2348,1.9,0.37,36958068.2,,,34.4868,5.7861,2.5323,277.9479,13617374680,,,,,,,
2010-11-12,3830430,12.4134,13.0912,12.216,12.9151,0.3256,2.59,0.88,92058027.04,,,35.3786,5.9357,2.5977,285.1351,13969498400,,,,,,,
2010-11-15,5488665,13.3314,14.2066,12.8671,13.9291,1.014,7.85,1.27,140329994.97,,,38.1562,6.4017,2.8017,307.5218,15066277200,,,,,,,
2010-11-16,2807113,13.8223,13.8223,12.8671,13.3314,-0.5977,-4.29,0.65,70625025.18,,,36.5189,6.127,2.6815,294.3255,14419754960,,,,,,,
2010-11-17,2207438,13.31,13.31,12.0078,12.2,-1.1314,-8.49,0.51,52578090.35,,,33.4196,5.607,2.4539,269.3467,13195980720,,,,,,,
2010-11-18,1546293,12.2853,12.6482,11.9811,12.6056,0.4056,3.32,0.36,35672046.21,,,34.5307,5.7934,2.5355,278.3013,13634692240,,,,,,,
2010-11-19,1662332,12.5415,12.9151,12.2853,12.835,0.2294,1.82,0.38,39179186.66,,,35.1593,5.8989,2.5816,283.3678,13882910600,,,,,,,
2010-11-22,1700301,12.8084,13.326,12.6482,12.9685,0.1335,1.04,0.39,41166161.11,,,35.5248,5.9602,2.6085,286.3134,14027223600,,,,,,,
2010-11-23,2237596,12.8137,13.0112,11.9865,12.8084,-0.1601,-1.23,0.52,52591090.1,,,35.0862,5.8866,2.5763,282.7787,13854048000,,,,,,,
2010-11-24,1421549,12.6216,13.0432,12.5415,12.9524,0.144,1.12,0.33,34279765.98,,,35.4809,5.9529,2.6053,285.9599,14009906040,,,,,,,
2010-11-25,1693554,12.9845,13.214,12.8617,13.1392,0.1868,1.44,0.39,41447411.39,,,35.9926,6.0387,2.6428,290.0838,14211944240,,,,,,,
2010-11-26,1231077,13.1392,13.31,12.723,12.819,-0.3202,-2.44,0.28,29875558.95,,,35.1154,5.8916,2.5784,283.0143,13865593040,,,,,,,
2010-11-29,2191288,12.8244,12.9204,12.4348,12.4508,-0.3682,-2.87,0.51,51408917.23,,,34.1067,5.7223,2.5044,274.8844,13467289160,,,,,,,
2010-11-30,2143015,12.3761,12.6429,12.2,12.4881,0.0373,0.3,0.5,49979711.72,,,34.209,5.7395,2.5119,275.7092,13507696800,,,,,,,
2010-12-01,2173513,12.5255,13.1286,12.2747,13.1179,0.6298,5.04,0.5,51781630.51,,,35.9341,6.0289,2.6385,289.6125,14188854160,,,,,,,
2010-12-02,1106543,13.2353,13.342,12.8991,13.0432,-0.0747,-0.57,0.26,27077227.66,,,35.7294,5.9946,2.6235,287.9629,14108038880,,,,,,,
