timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
2015-02-16,29000,2.3788,2.5944,2.3788,2.5944,0.7925,43.98,0.16,634190,,,29.2112,2.4221,6.7062,65.3014,1182600000,,,,,,,
2015-02-17,4600,2.8538,2.8538,2.8538,2.8538,0.2594,10,0.03,110814,,,32.1324,2.6644,7.3768,71.8315,1734480000,,,,,,,
2015-02-25,5100,3.1393,3.1393,3.1393,3.1393,0.2855,10,0.03,135150,,,35.3469,2.9309,8.1148,79.0177,1908000000,,,,,,,
2015-02-26,6600,3.4533,3.4533,3.4533,3.4533,0.314,10,0.04,192390,,,38.8816,3.224,8.9263,86.9194,2098800000,,,,,,,
2015-02-27,16600,3.7992,3.7992,3.7992,3.7992,0.3459,10.02,0.09,532362,,,42.7764,3.5469,9.8204,95.6263,2309040000,,,,,,,
2015-03-02,33100,4.1795,4.1795,4.1795,4.1795,0.3803,10.01,0.18,1167768,,,47.0581,3.902,10.8034,105.1979,2540160000,,,,,,,
2015-03-03,85208,4.5977,4.5977,4.5977,4.5977,0.4182,10.01,0.47,3306922.48,,,51.7666,4.2924,11.8843,115.7236,2794320000,,,,,,,
2015-03-04,130000,5.0573,5.0573,5.0573,5.0573,0.4596,10,0.72,5549700,,,56.9419,4.7215,13.0725,127.293,3073680000,,,,,,,
2015-03-05,80700,5.5632,5.5632,5.5632,5.5632,0.5059,10,0.45,3789672,,,62.6374,5.1938,14.38,140.0253,3381120000,,,,,,,
2015-03-06,252978,6.12,6.12,6.12,6.12,0.5568,10.01,1.41,13068843.48,,,68.9065,5.7136,15.8193,154.0397,3719520000,,,,,,,
2015-03-09,11558021,6.7324,6.7324,6.4327,6.7324,0.6124,10.01,64.21,653437282.04,,,75.8025,6.2854,17.4024,169.4557,4091760000,,,,,,,
2015-03-10,8622320,6.8698,6.8698,6.12,6.2183,-0.5141,-7.64,47.9,465066443.25,,,70.0136,5.8054,16.0734,156.5146,3779280000,,,,,,,
2015-03-11,5465529,6.0418,6.3142,5.9363,6.1223,-0.096,-1.54,30.36,281094364.81,,,68.9332,5.7158,15.8254,154.0994,3720960000,,,,,,,
2015-03-12,5272720,6.0655,6.1081,5.5561,5.7764,-0.3459,-5.65,29.29,258232552.2,,,65.0383,5.3929,14.9312,145.3925,3510720000,,,,,,,
2015-03-13,2840583,5.7693,6.0039,5.7681,5.9482,0.1718,2.97,15.78,141284801.65,,,66.9724,5.5532,15.3752,149.7161,3615120000,,,,,,,
2015-03-16,4254959,6.024,6.2301,5.9861,6.0951,0.1469,2.47,23.64,218919735.28,,,68.6264,5.6904,15.755,153.4136,3704400000,,,,,,,
2015-03-17,3263496,6.0465,6.1697,5.9956,6.0951,0,0,18.13,167456255.8,,,68.6264,5.6904,15.755,153.4136,3704400000,,,,,,,
2015-03-18,4135797,6.1057,6.3498,6.0441,6.1922,0.0971,1.59,22.98,216851870.81,,,69.7201,5.7811,16.0061,155.8586,3763440000,,,,,,,
2015-03-19,3962295,6.1496,6.4931,6.101,6.4931,0.3009,4.86,22.01,210270348.55,,,73.1081,6.062,16.7838,163.4324,3946320000,,,,,,,
2015-03-20,3085508,6.4564,6.5156,6.3048,6.3924,-0.1007,-1.55,17.14,166602625.38,,,71.9743,5.968,16.5236,160.8979,3885120000,,,,,,,
2015-03-23,3049531,6.4327,6.4777,6.3119,6.4623,0.0699,1.09,16.94,164308071.9,,,72.7613,6.0332,16.7042,162.6571,3927600000,,,,,,,
2015-03-24,4578489,6.505,7.1008,6.4066,6.9717,0.5094,7.88,25.44,262125154.04,,,78.4968,6.5088,18.021,175.4789,4237200000,,,,,,,
